bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
171,115746,1,129,1,32,1,56,1,,,60,1,2175,1,27,1,34,1,24,1,238,1,30,1,26,1,35,1,423,1,19,1,65,1,239,1,14,1,52,1,136,1,13,1,266,1,24,1,25,1,23,1,702,1,11,1,45,1,560,1,5747,1,20,1,15,1,429,3,,,32512,1,60,1,18847,1,362,1,73,1,1187,2,914,1,29,1,4070,1,22,1,22,1,18,1,23,1,15,1,53,1,71,1,1069,1,999,1,31,1,378,1,17,1,4,1,944,1,152,1,26,1,1558,1,21,1,21,1,28,1,161,1,3336,1,4438,2,38,1,26,2,258,1,343,1,58,1,565,3,18,1,,,22,1,52,1,25,1,23,1,19,1,310,2,289,1,13,2,,,95,1,59,1,81,1,346,1,119,2,19,1,15,1,15,1,26,1,26,1,13,1,1148,5,37,1,772,1,,,21,1,22,1,13,1,14,1,,,2569,1,25,1,15,1,4204,1,19,1,616,1,8451,3,14,1,22,1,8,1,26,1,25,1,15,1,159,2,24,1,387,1,155,1,,,219,1,701,1,,,18,2,1249,1,49,1,,,98,1,98,1,1,1,599,1,20,1,108,1,2692,1,31,1,,,452,2,42,1,79,1,19,1,14,1,2172,1,,,21,1,,,27,1,,,47,1,9,1,18,1,12,1,2162,1
1406,45796,2,15,3,,,,,,,,,25,9,,,,,,,,,,,,,,,200,3,,,,,,,,,,,,,,,31,7,,,,,,,142,10,,,8,4,352,2,3092,7,,,,,436,2,,,22457,2,23,3,2847,3,37,5,16,3,176,3,9,84,,,3139,3,,,,,,,,,,,,,,,324,3,,,,,191,4,,,,,194,8,24,2,5,2,926,2,,,,,,,5,7,1408,4,1949,8,7,3,14,4,,,,,,,,,,,,,,,5,4,,,,,,,87,5,,,,,,,,,,,,,,,68,4,,,,,,,,,,,,,1388,2,8,5,225,3,,,5,4,,,,,,,,,450,13,,,,,252,14,,,79,7,2656,7,,,,,,,8,3,4,3,,,270,1,,,25,12,,,,,,,319,3,,,,,327,5,,,,,,,,,,,,,,,,,160,8,,,,,80,7,,,,,,,,,168,5,,,,,,,2,4,,,,,,,,,6,3,1152,6
10816,39091,3,,,,,,,,,,,347,4,,,,,,,,,,,,,11,3,127,6,,,,,,,,,,,3,3,,,28,9,,,,,,,178,7,,,,,241,3,3375,6,,,,,52,7,,,15564,4,,,3004,2,47,4,,,150,4,18,51,,,2983,4,,,,,,,,,,,,,,,235,5,7,6,,,88,8,,,,,292,3,,,,,152,9,,,,,,,,,1235,5,2302,6,,,,,,,,,5,3,273,7,,,,,,,,,,,,,,,,,31,5,,,,,,,,,,,,,,,,,,,,,,,7,2,,,2088,1,6,6,187,5,7,1,,,,,,,,,,,826,5,,,,,832,4,,,94,6,3139,6,,,,,,,,,,,,,40,4,,,73,4,,,,,,,,,,,,,459,3,,,,,,,4,3,,,,,,,7,4,350,7,,,,,105,5,,,,,,,,,104,6,,,,,,,5,3,,,,,,,,,,,10,108
2397,33050,4,12,4,9,3,,,15,1,,,451,2,,,,,11,2,65,2,,,,,11,2,398,2,,,,,,,,,20,3,15,2,,,38,3,,,10,2,13,2,211,6,,,10,3,128,8,4430,3,,,,,223,5,,,10795,7,34,2,1853,5,17,11,10,5,1408,1,152,8,,,1916,5,,,5,3,,,,,,,18,2,,,676,2,,,7,2,94,7,,,,,211,7,23,3,5,3,21,13,,,,,8,2,22,2,616,11,3434,4,,,,,32,2,17,2,,,22,35,10,2,,,,,7,2,,,,,7,2,67,6,35,4,,,,,21,2,5,5,,,,,10,8,,,,,,,,,,,,,414,16,10,4,196,4,,,9,3,,,,,5,2,,,409,14,7,2,,,607,7,,,,,1491,11,,,,,,,9,2,,,,,50,3,,,56,7,39,5,,,,,48,4,,,,,287,7,32,2,,,8,5,,,,,59,6,,,13,2,1277,3,,,,,,,7,3,,,,,7,2,35,10,9,1,,,,,9,2,,,,,,,,,12,2,317,14
2162,28586,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,7,37,,,,,,,125,11,,,,,16,36,1680,15,,,,,,,,,13488,5,,,2,124,,,,,,,120,13,,,928,18,,,3,4,,,,,,,,,,,23,34,,,,,,,,,,,245,4,,,,,,,,,,,,,9,5,766,7,8,94,,,,,7,4,,,,,106,9,,,,,,,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,40,4,13,,,,,,,,,,,,,,,667,6,,,,,262,12,,,14,11,8965,2,,,,,,,,,,,,,5,5,,,,,6,13,,,,,,,,,,,159,16,,,,,,,,,,,,,,,,,41,21,,,,,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,8
2223,28354,6,,,,,,,,,,,432,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,13,,,,,,,259,4,,,,,,,1528,16,,,,,,,,,9006,10,,,131,49,,,,,,,735,2,,,1792,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,194,8,,,,,,,,,2039,2,1974,7,,,4,5,,,,,,,,,,,,,,,,,,,,,,,359,1,,,,,,,,,,,,,,,44,6,,,,,,,,,,,,,507,14,,,228,2,,,,,,,,,,,,,1001,3,,,,,2017,2,,,,,3174,5,,,,,,,,,,,,,,,11,3,,,80,2,,,,,26,6,,,,,163,14,,,,,,,,,,,161,3,,,,,456,6,,,,,219,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784,4
29351,26078,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842,12,,,,,,,,,6298,16,,,95,57,138,2,,,,,112,17,,,104,88,,,,,,,,,,,,,,,171,8,,,,,,,,,,,27,28,8,5,,,,,,,,,,,,,,,78,53,,,,,,,,,,,,,,,,,,,,,,,,,,,255,3,97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,38,65,,,,,,,,,,,,,,,,,289,18,,,,,,,,,,,14919,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,41,,,,,,,,,,,,,,,,,,,,,,,1383,1,,,,,,,,,191,4,,,,,,,,,,,,,,,,,,,,
463,24944,8,,,10,2,,,,,,,,,,,,,,,,,,,,,,,44,10,,,,,,,,,4,7,,,,,27,10,,,,,,,328,3,,,,,108,13,2224,11,,,,,,,,,12905,6,,,,,13,12,,,,,134,11,,,,,,,,,,,,,,,,,,,86,16,,,,,28,14,,,,,106,18,,,,,32,11,,,,,,,,,842,6,2350,5,,,,,,,,,,,94,11,,,,,,,,,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,17,5,9,78,9,,,,,,,,,,,,,521,9,,,,,1176,3,,,,,2470,9,,,,,,,,,,,,,,,,,,,21,8,,,,,23,7,,,,,161,15,,,,,,,,,,,35,8,,,,,92,16,,,,,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,10
2093,23176,9,,,,,,,,,,,25,10,,,,,,,7,3,,,,,,,28,11,,,,,6,4,3,2,,,,,,,24,12,5,2,,,,,74,18,,,,,49,21,915,28,,,,,,,,,9456,8,11,7,952,16,,,,,10,13,50,29,,,679,28,,,,,,,7,2,,,,,,,43,24,4,7,,,30,12,,,,,79,21,,,,,141,10,,,,,,,,,394,22,4974,1,15,2,,,,,1,3,,,399,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,3,,,,,,,,,,,,,201,29,,,37,25,,,,,,,,,,,,,210,24,,,,,261,13,,,,,1406,13,,,,,3,2,,,,,,,,,,,28,11,10,11,,,,,,,9,1,,,89,26,,,,,,,,,,,219,2,,,,,32,23,,,,,12,22,,,,,,,,,269,3,,,,,,,,,,,26,2,,,,,,,1900,3
2181,22611,10,,,,,,,,,,,,,,,,,,,,,7,2,,,,,143,5,,,,,,,,,,,,,,,25,11,,,,,,,105,13,,,,,143,5,1779,13,,,,,246,4,,,5796,17,9,8,1463,10,80,3,8,6,,,144,10,,,1404,10,,,,,,,,,,,,,,,237,4,,,,,124,6,,,,,141,13,,,,,353,5,,,,,,,14,4,83,63,1312,11,,,,,18,3,,,,,38,22,,,,,,,,,,,,,,,60,7,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,697,8,12,3,155,6,,,,,,,,,,,,,1819,2,,,,,284,10,,,153,5,2607,8,,,,,,,5,5,,,,,,,,,89,2,29,7,,,,,,,4,3,,,943,2,,,,,,,,,,,130,5,,,,,870,5,,,,,122,4,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,923,7
