bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,169146,1,215,1,47,1,61,1,38,1,44,1,5842,1,30,1,36,1,31,2,490,1,59,1,34,1,25,2,,,49,1,855,1,314,1,315,1,859,1,31,1,40,1,536,1,41,1,496,1,33,1,31,1,54,1,968,2,24,1,99,1,540,2,9454,2,27,1,30,1,41,1,847,3,34,1,41137,1,85,1,20665,1,885,1,74,1,3468,3,1462,3,31,1,43,1,8396,2,,,32,1,27,1,50,1,30,1,34,1,45,1,62,1,465,1,41,1,,,2651,3,2361,1,244,1,821,2,39,1,35,1,1712,1,678,1,,,32,1,2311,2,38,1,39,1,52,1,123,1,8881,2,3226,6,43,1,40,2,25,2,684,1,1785,1,202,1,438,3,21,1,,,223,1,72,1,52,1,29,1,38,1,32,1,771,1,331,1,35,1,29,2,39,2,268,1,470,1,129,1,2112,1,144,4,43,1,69,1,30,1,37,1,52,1,23,1,2165,6,39,1,656,2,32,1,,,34,1,26,2,45,1,28,1,30,1,54,1,,,43,1,4330,2,34,1,36,1,5014,2,32,1,73,1,645,3,9372,2,34,1,37,1,29,1,31,1,36,1,48,1,40,1,30,1,211,3,211,1,458,1,334,2,,,530,1,641,4,,,37,2,893,2,67,1,,,470,3,,,866,1,4,1,572,2,65,1,128,1,1955,2,33,1,,,697,2,202,1,973,1,51,1,38,1,2413,1,,,25,1,,,29,1,,,57,1,57,1,33,1,40,1,44,1,,,2828,4
2223,143550,2,,,,,,,,,,,4290,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,10,,,,,,,1656,1,,,,,242,5,3566,14,,,,,,,,,,,33011,3,,,11789,2,,,,,7536,1,2451,1,,,,,9879,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,4,,,,,261,9,,,,,,,,,13047,1,5645,3,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,301,3,,,,,,,,,,,98,3,,,,,316,2,,,,,,,,,,,,,1484,11,,,755,1,,,,,,,,,,,,,,,,,,,,,7800,1,,,,,21811,1,,,,,,,4222,6,,,,,,,,,,,,,,,,,,,32,3,,,345,1,,,,,219,7,,,,,278,9,,,,,,,,,,,,,427,4,,,,,7199,1,,,,,499,4,,,,,,,,,1711,2,,,,,,,,,,,9,9,,,,,,,,,,,2502,7
1406,107214,3,96,2,,,,,,,,,25,23,,,,,15,4,109,3,,,,,,,,,,,609,4,,,,,,,,,,,,,,,113,8,,,,,,,365,8,,,13,4,401,3,6046,4,,,,,,,1524,1,,,38848,2,22,2,9921,3,109,4,16,5,623,6,1573,2,,,,,6582,5,59,1,,,,,11,2,,,,,,,,,,,,,,,1686,4,,,,,1493,1,,,,,401,11,121,3,,,16,3,5395,1,,,,,,,24,3,3163,6,4749,4,,,45,1,16,3,,,,,,,130,9,,,,,,,11,4,,,,,,,,,188,4,66,7,,,,,,,,,,,,,,,242,3,,,,,,,,,,,,,4060,1,11,9,563,3,,,,,,,54,1,,,,,,,,,,,,,1502,12,,,,,1074,7,,,,,344,5,7531,3,,,,,,,,,,,9,5,18,2,,,2539,1,,,66,12,148,5,,,,,1171,3,,,,,778,3,,,,,,,,,,,,,,,,,,,392,10,,,,,361,5,13,4,,,,,,,333,7,,,,,,,11,4,,,10,7,,,,,,,14,3,,,1386,10
2397,75140,4,20,3,22,2,,,17,2,,,3024,4,,,,,12,5,301,2,,,13,2,,,,,12,5,802,2,,,,,53,4,,,24,2,22,2,,,114,7,,,23,2,19,2,387,6,,,17,2,608,1,9765,1,,,,,,,844,4,,,25777,4,20,4,5459,8,41,8,20,4,4465,2,322,10,,,,,3889,8,,,,,11,2,,,,,,,,,26,2,,,,,,,1648,5,,,20,2,350,8,,,,,647,5,211,2,,,17,2,54,13,,,,,11,2,35,2,2390,9,3503,5,,,,,,,137,2,36,2,,,42,28,17,2,,,,,23,2,,,,,31,2,19,2,93,7,84,5,,,,,,,223,2,13,7,,,,,19,8,,,,,,,,,,,,,947,13,13,7,388,4,,,,,,,12,3,,,,,,,10,2,,,,,1533,11,15,2,,,977,10,,,,,,,2251,10,,,,,,,,,,,15,2,,,,,93,4,,,139,8,114,7,,,,,316,6,,,,,595,4,20,3,,,125,4,,,,,,,93,8,,,15,4,755,5,,,,,141,9,37,3,,,,,18,2,104,10,23,1,,,,,13,3,,,14,5,,,,,,,21,2,,,591,17
10816,57232,5,,,,,,,,,,,670,6,,,,,39,1,,,,,,,26,1,,,22,3,186,8,,,,,,,,,,,19,3,,,122,5,,,,,,,355,9,,,,,188,7,4225,8,,,,,,,133,9,,,14434,15,,,9777,4,94,5,,,1083,5,406,9,,,,,2724,11,,,,,,,,,,,,,,,,,,,,,,,736,8,78,6,,,277,9,,,,,737,4,,,,,,,459,5,,,,,,,,,3783,5,1814,11,,,,,,,,,,,30,2,186,6,,,,,,,,,,,,,,,,,,,105,3,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,1030,12,17,5,237,6,,,20,1,,,,,,,,,,,,,,,,,1986,7,,,,,3158,3,,,,,217,8,3983,7,,,,,,,,,,,,,,,,,28,7,,,169,5,,,,,,,150,8,,,,,472,6,,,,,,,,,,,,,,,,,24,3,420,8,,,,,182,7,,,,,,,,,578,5,,,,,,,16,2,,,18,3,,,,,,,,,,,1794,8
2425,45086,6,,,,,,,,,,,289,12,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,109,9,,,,,,,374,7,,,,,167,8,3591,13,,,,,,,,,,,9542,23,11,8,4585,9,,,6,12,219,10,574,6,,,,,5602,7,,,,,,,,,,,,,,,,,,,,,,,404,9,,,,,,,,,,,445,8,,,,,,,,,,,,,,,,,4046,4,1469,13,,,,,,,,,,,,,17,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,21,,,,,,,,,,,,,,,,,,,,,,,,,2903,4,,,,,1688,4,,,,,714,2,6554,5,,,,,,,,,,,,,,,,,,,,,167,6,,,,,,,,,,,,,180,15,,,,,10,8,,,,,,,,,,,,,,,,,,,513,3,,,,,,,,,49,18,,,,,,,,,,,,,,,,,,,,,,,234,28
2243,43916,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,12,,,,,,,,,,,,,,,27,33,,,,,,,,,,,,,,,8845,3,,,,,,,,,,,13490,17,,,,,,,,,,,,,,,,,6028,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,7,,,,,340,12,,,,,,,,,,,,,,,,,1320,18,460,27,,,,,,,,,,,,,15,68,,,,,,,,,,,,,,,,,103,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2204,5,,,,,,,,,,,6,5,,,,,,,,,,,,,3703,3,,,,,1057,9,,,,,87,9,1486,14,,,,,,,,,,,6,7,,,,,,,,,,,248,3,,,,,3950,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,53
811,42777,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,3,,,,,,,45,31,,,,,,,3942,11,,,,,,,,,,,13155,18,5,25,5975,7,,,,,,,419,8,,,,,3710,10,,,,,,,,,,,,,,,14,3,,,,,,,3180,1,,,,,,,,,,,428,10,,,,,,,,,,,,,,,,,327,55,767,20,,,,,,,,,,,,,466,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468,2,,,38,30,,,,,,,,,,,,,,,,,,,,,1659,10,,,,,952,11,,,,,912,1,522,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3522,2
2093,42265,9,,,,,,,,,,,99,17,,,,,,,14,5,,,,,,,,,,,97,10,,,,,10,6,15,2,,,,,,,79,15,12,2,,,,,168,19,,,,,67,18,1680,28,,,,,,,,,,,16687,11,11,6,2225,19,,,,,178,12,182,24,,,,,1648,21,,,,,,,,,11,2,,,,,,,,,12,2,,,190,21,10,7,,,95,13,,,,,127,20,20,6,,,,,152,10,,,,,,,,,1593,11,7308,2,,,30,3,11,4,,,,,,,157,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,7,,,,,,,,,,,,,590,22,,,84,20,,,,,,,,,,,,,,,,,,,,,573,21,,,,,843,12,,,,,,,1552,13,,,,,12,2,,,,,,,,,,,,,,,81,11,25,12,,,,,,,22,2,,,170,17,,,13,2,,,,,,,,,469,3,,,,,115,14,,,,,79,14,,,,,,,,,683,4,,,,,,,,,,,19,2,,,,,,,,,23,1,3987,1
320,41715,10,,,,,,,,,,,289,11,,,,,25,3,,,,,,,,,18,1,,,401,6,,,,,,,,,12,3,,,,,115,6,,,,,,,163,20,,,16,3,331,4,3978,10,,,,,,,434,5,,,12159,19,20,3,4260,11,35,10,,,111,15,486,7,,,,,7329,4,,,,,5,3,6,3,,,,,18,2,,,43,3,,,,,274,14,118,5,,,,,,,,,927,3,,,,,,,465,4,,,,,,,12,7,730,32,342,37,,,,,9,5,,,,,29,3,76,17,,,,,,,11,3,,,,,,,,,92,8,39,9,,,,,,,,,14,6,,,,,108,5,,,,,,,,,,,,,1691,9,36,2,140,13,,,,,,,8,4,,,,,,,,,,,,,2282,6,,,,,651,13,,,,,308,6,1796,12,,,,,,,,,,,,,12,3,,,,,,,174,4,227,4,,,,,66,14,,,,,112,25,,,,,27,5,,,,,,,19,14,,,,,91,16,,,16,1,79,13,,,,,,,,,66,16,,,,,,,,,,,15,4,,,,,,,,,,,399,23
