bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,129103,1,209,1,28,1,31,1,34,1,24,1,3558,1,20,1,43,1,43,1,548,1,39,1,28,1,23,1,,,61,1,584,1,54,1,70,1,388,1,18,1,54,1,315,1,24,1,320,1,47,1,30,1,55,1,903,1,25,1,52,1,778,1,6028,1,31,1,24,1,554,2,,,35107,1,60,1,14902,1,477,1,60,1,2365,2,1149,2,59,1,4782,2,,,25,1,44,1,31,1,30,1,2633,1,66,1,225,1,27,1,1814,2,2235,1,34,1,629,1,31,1,23,1,1036,1,934,1,24,1,2329,1,28,1,31,1,44,1,87,1,4037,2,3901,2,34,1,41,1,37,2,468,1,526,1,160,1,473,3,30,1,,,48,1,80,1,32,1,63,1,37,1,326,3,299,1,24,1,29,1,,,139,1,110,1,111,1,1753,1,233,2,35,1,18,1,28,1,40,1,22,1,21,1,1299,1,45,1,1310,1,7,1,,,34,1,28,1,28,1,21,1,19,1,20,1,,,38,1,2845,2,30,1,26,1,2876,2,31,1,570,1,9516,2,23,1,33,1,35,1,39,1,30,1,30,1,210,3,56,1,432,1,323,1,,,415,1,610,3,,,26,2,1103,2,28,2,,,351,1,,,169,1,2,1,630,1,49,1,282,1,462,1,26,1,,,461,2,92,1,282,1,40,1,29,1,1632,1,,,35,1,,,25,1,,,27,1,19,1,24,1,23,1,24,1,,,2764,3
2223,55968,2,,,,,,,,,,,597,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,23,,,,,,,796,3,,,,,,,2136,13,,,,,,,,,10828,7,,,3885,3,,,,,2019,3,1705,1,,,2630,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,,,129,9,,,,,,,,,5923,1,2162,7,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,516,1,,,,,,,,,,,5,7,,,,,52,4,,,,,,,,,,,,,693,10,,,531,2,,,,,,,,,,,,,,,,,,,,,4256,1,,,,,9908,1,,,,,2889,7,,,,,,,,,,,,,,,8,4,,,185,2,,,,,98,5,,,,,296,8,,,,,,,,,,,,,294,4,,,,,315,2,,,,,406,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2643,4
1406,49787,3,30,2,,,,,,,,,33,14,,,,,13,3,14,4,,,,,,,,,,,396,3,,,,,,,,,,,,,,,62,4,,,,,,,148,14,,,25,2,246,4,3275,7,,,,,597,1,,,18141,2,11,7,4236,2,48,5,29,2,438,5,571,4,,,5210,1,53,1,,,,,13,2,,,,,,,,,,,493,5,,,,,386,3,,,,,184,9,49,2,7,3,1800,2,,,,,,,9,7,1234,5,2550,6,,,18,3,12,4,,,,,,,,,,,,,,,9,5,,,,,,,87,4,,,,,,,,,,,,,,,,,45,5,,,,,,,,,,,,,1296,2,11,4,238,4,,,,,,,,,,,,,,,,,,,,,587,13,,,,,295,15,,,133,7,3378,5,,,,,,,11,4,9,3,,,528,1,,,30,12,78,6,,,,,669,2,,,,,432,4,,,,,,,,,,,,,,,,,,,151,5,,,,,174,4,,,,,,,,,157,6,,,,,,,9,3,,,,,,,,,,,10,3,,,1119,7
10816,41445,4,,,,,,,,,,,530,4,,,,,11,4,,,,,,,13,2,,,14,3,210,6,,,,,,,,,,,25,3,,,32,15,,,,,,,242,7,,,,,211,5,3432,6,,,,,70,8,,,15944,3,,,3551,4,62,4,,,371,6,336,6,,,1905,6,,,,,,,,,,,,,,,,,,,257,7,50,5,,,184,7,,,,,401,3,,,,,143,8,,,,,,,,,1466,4,3011,4,,,,,,,,,,,13,3,257,4,,,,,,,,,,,,,,,,,45,6,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,773,9,11,6,196,5,,,13,1,,,,,,,,,,,,,,,,,1170,6,,,,,955,4,,,172,4,4270,4,,,,,,,,,,,,,94,5,,,58,9,,,,,,,,,,,,,476,3,,,,,,,,,9,3,,,,,,,11,4,81,8,,,,,157,5,,,,,,,,,179,5,,,,,,,9,4,,,,,,,,,,,,,,,11,132
2397,37840,5,21,3,18,2,,,11,2,,,788,2,,,,,18,2,182,2,,,11,3,,,,,10,4,528,2,,,,,11,5,,,37,2,39,2,,,74,3,,,13,2,14,2,317,6,,,12,3,606,2,3631,5,,,,,329,4,,,13207,4,15,4,1990,10,48,6,13,6,2922,1,281,7,,,1361,8,,,,,12,2,,,,,,,12,3,,,,,2131,1,,,13,2,257,5,,,,,333,4,32,4,19,2,151,7,,,,,14,2,17,2,843,11,1470,9,,,,,,,81,2,33,2,,,44,19,16,2,,,,,11,3,,,,,12,3,71,6,57,4,,,,,,,69,2,12,4,,,,,10,8,,,,,,,,,,,,,467,14,22,2,333,3,,,,,,,15,2,,,,,,,10,2,,,,,715,9,9,2,,,592,9,,,,,1430,12,,,,,,,15,2,,,,,97,4,,,75,7,58,7,,,,,436,4,,,,,359,6,14,3,,,23,5,,,,,,,73,9,,,16,3,213,3,,,,,72,11,17,3,,,,,9,2,49,8,20,1,,,,,12,2,,,,,,,,,,,13,2,,,449,15
2093,28559,6,,,,,,,,,,,79,10,,,,,,,9,5,,,,,,,,,,,30,12,,,,,11,4,10,3,,,,,,,42,10,8,2,,,,,160,13,,,,,42,23,1117,25,,,,,,,,,10883,6,8,14,1450,13,,,,,36,15,136,15,,,941,17,,,,,,,,,17,2,,,,,,,15,2,81,18,9,7,,,51,12,,,,,70,23,10,5,,,90,11,,,,,,,,,801,13,4515,1,,,27,2,6,5,,,,,,,143,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,,,,,,,,,,,,,403,16,,,50,20,,,,,,,,,,,,,,,,,,,,,288,23,,,,,410,11,,,,,1845,9,,,,,7,2,,,,,,,,,,,28,13,14,13,,,,,,,15,1,,,170,14,,,12,2,,,,,,,,,295,3,,,,,34,12,,,,,50,12,,,,,,,,,579,3,,,,,,,,,,,19,2,,,,,,,,,11,1,3508,1
29351,27581,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,,,,,,,,,,,,,,,,,,,,,,,,,117,16,,,,,,,2417,10,,,,,,,,,3924,25,,,183,46,134,2,,,,,113,20,,,132,84,,,,,,,,,,,,,,,,,,,224,8,,,,,,,,,,,33,29,8,7,,,,,,,,,,,,,,,154,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,2,98,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,30,,,,,,,,,,,,,,,,,,,,,,,,,692,10,,,,,,,,,,,16834,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,36,,,,,,,,,,,,,,,,,,,,,,,,,1508,1,,,,,,,,,356,4,,,,,,,,,,,,,,,,,,,,,,,62,49
2181,24925,8,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,257,5,,,,,,,,,,,,,,,35,13,,,,,,,176,11,,,,,354,3,2178,12,,,,,286,5,,,7949,12,16,3,2022,9,132,3,14,4,,,239,8,,,1294,10,,,,,,,,,,,,,,,,,,,302,6,,,,,101,11,,,,,298,6,,,,,202,5,,,,,,,10,5,69,86,931,15,,,,,,,51,3,,,,,34,22,,,,,,,,,,,,,15,2,42,7,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791,8,11,5,194,6,,,,,,,,,,,,,,,,,,,,,1353,3,,,,,361,13,,,155,6,1963,8,,,,,,,14,3,,,,,54,6,,,73,8,45,9,,,,,,,13,2,,,1264,1,,,,,,,,,,,,,162,5,,,,,102,7,,,,,139,7,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151,6
2162,20730,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,,,,,3,75,,,,,,,119,15,,,,,27,25,1285,18,,,,,,,,,9725,9,,,624,26,,,,,,,81,26,,,708,25,,,,,10,3,,,,,,,,,,,,,24,35,,,,,,,,,,,160,15,,,,,,,,,,,,,4,9,523,19,8,108,,,,,,,4,4,,,,,91,11,,,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,45,5,14,,,,,,,,,,,,,,,,,,,,,,,617,11,,,,,163,23,,,10,12,5659,3,,,,,,,,,,,,,6,9,,,,,10,16,,,,,,,,,,,93,21,,,,,,,,,,,,,,,,,,,30,16,,,,,84,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,10
463,20690,10,,,7,3,,,,,,,,,,,,,,,5,6,,,,,,,,,,,26,14,,,,,,,,,6,7,,,,,32,14,,,,,,,229,8,,,,,71,14,1687,16,,,,,,,,,10635,8,10,8,,,14,11,11,8,27,16,112,21,,,856,20,,,,,,,,,,,,,,,,,,,72,20,,,,,24,15,,,,,58,24,,,,,29,14,,,,,,,,,721,15,1844,8,,,,,,,,,,,,,50,15,,,,,,,11,2,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,19,6,12,50,19,,,,,,,,,,,,,,,,,,,,,338,20,,,,,738,6,,,,,1424,13,,,,,,,,,,,,,,,,,,,19,12,,,,,20,8,,,,,229,10,,,,,,,,,,,,,43,10,,,,,29,17,,,,,43,13,,,,,,,,,30,10,,,,,,,,,,,,,,,,,,,,,,,847,8
