bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,128819,1,188,1,49,1,48,1,,,68,1,3670,1,26,1,33,1,26,1,406,1,33,1,35,1,49,1,625,1,29,1,69,1,154,1,30,1,62,1,257,1,29,1,679,1,36,1,38,1,47,1,860,1,19,1,55,1,647,1,6780,1,29,1,38,1,511,2,,,36240,1,71,1,15744,1,470,1,128,1,1740,1,1199,1,31,1,5270,1,35,1,32,1,36,1,28,1,21,1,52,1,77,1,15,1,1054,1,777,1,41,1,622,1,24,1,18,1,1137,1,208,1,38,1,2447,1,26,1,26,1,55,1,121,1,4544,1,4577,3,42,1,30,2,318,1,480,1,66,1,536,4,21,1,,,40,1,76,1,32,1,26,1,25,1,340,2,330,1,22,1,1,2,89,1,62,2,102,1,439,1,202,2,25,1,31,1,28,1,30,1,25,1,22,1,1660,1,43,2,769,1,,,35,1,42,1,28,1,23,1,,,3019,1,45,1,28,1,3838,1,23,1,623,1,9352,3,27,1,24,1,33,1,32,1,35,1,26,1,193,2,47,1,476,1,333,1,,,282,1,343,2,,,28,2,1140,2,26,2,,,134,1,61,1,1,1,678,1,50,1,301,1,3439,1,34,1,,,519,2,67,1,100,1,49,1,28,1,1783,1,,,32,1,,,25,1,,,45,1,31,1,34,1,38,1,,,2828,2
1406,47499,2,22,3,,,,,,,,,27,13,,,,,,,,,,,,,,,304,3,,,,,,,,,,,,,,,51,5,,,,,,,129,13,,,16,3,323,2,2931,9,,,,,563,1,,,23244,2,9,13,2561,5,56,4,9,7,185,4,12,72,,,2556,3,,,,,28,2,,,,,,,,,,,349,3,,,,,325,4,,,,,191,10,23,3,10,3,1093,2,,,,,,,7,7,1335,5,2510,5,11,3,12,4,,,,,,,,,,,,,,,9,5,,,,,,,77,5,,,,,,,,,,,,,,,52,5,,,,,,,,,,,,,1492,2,11,9,221,3,,,12,3,,,,,,,,,481,13,,,,,281,11,,,54,7,2991,6,,,,,,,16,2,11,2,,,343,1,,,41,11,,,,,,,218,3,,,,,494,3,,,,,,,,,,,,,,,,,271,9,,,,,89,7,,,,,,,,,234,5,,,,,,,14,2,,,,,,,,,10,2,,,1185,6
10816,39601,3,,,,,,,,,,,324,4,,,,,,,,,,,,,12,3,141,8,,,,,,,,,,,14,3,,,56,4,,,,,,,213,8,,,,,262,3,3367,7,,,,,37,8,,,15923,4,,,3206,3,56,5,,,172,5,9,91,,,2324,4,,,,,,,,,,,,,,,,,268,5,11,6,,,156,7,,,,,251,5,,,,,191,9,,,,,,,,,1395,4,3154,4,,,,,,,,,12,2,265,8,,,,,,,,,,,,,,,,,26,6,,,,,,,,,,,,,,,,,,,,,,,9,2,,,844,6,12,8,192,6,12,1,,,,,,,,,,,1095,4,,,,,749,4,,,81,5,3411,4,,,,,,,,,,,,,75,3,,,64,9,,,,,,,,,,,,,458,4,,,,,,,6,4,,,,,,,11,3,487,7,,,,,95,6,,,,,,,,,129,6,,,,,,,12,4,,,,,,,,,,,,,14,117
2223,37878,4,,,,,,,,,,,534,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,17,,,,,,,520,3,,,,,,,1670,15,,,,,,,,,9016,11,,,5048,2,,,,,,,902,2,,,1938,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,262,7,,,,,,,,,3477,2,2490,6,,,6,5,,,,,,,,,,,,,,,,,,,,,,,391,1,,,,,,,,,71,1,,,,,65,4,,,,,,,,,,,,,667,10,,,400,2,,,,,,,,,,,,,1431,3,,,,,1923,2,,,,,3197,5,,,,,,,,,,,,,,,27,2,,,125,2,,,,,41,6,,,,,252,10,,,,,,,,,,,249,3,,,,,1070,5,,,,,179,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1891,5
2397,34708,5,23,2,18,2,,,18,1,,,590,2,,,,,18,2,82,2,,,,,19,2,611,2,,,,,,,,,25,2,46,2,,,50,6,,,19,2,15,2,283,7,,,22,2,163,5,4864,3,,,,,260,5,,,12569,7,16,4,1728,6,34,6,21,2,1715,2,163,11,,,1395,10,,,15,2,,,,,,,25,2,,,,,572,2,,,25,2,159,6,,,,,294,4,36,2,22,2,34,12,,,,,18,2,29,2,710,10,1693,8,,,,,51,2,23,2,,,52,20,21,2,,,,,16,2,,,,,13,2,60,7,47,4,,,,,22,3,14,3,,,,,33,7,,,,,,,,,,,,,363,17,19,5,208,4,,,15,2,,,,,12,2,,,713,8,14,2,,,654,5,,,,,1527,11,,,,,,,13,3,,,,,73,4,,,73,8,57,3,,,,,76,4,,,,,372,5,15,3,,,22,4,,,,,47,8,,,18,2,1202,4,,,,,,,17,2,,,,,14,2,60,7,16,1,,,,,13,3,,,,,,,,,9,3,,,335,15
2181,32053,6,,,,,,,,,,,,,,,,,,,,,20,2,,,,,263,4,,,,,,,,,,,,,,,40,9,,,,,,,158,9,,,,,210,4,1901,12,,,,,189,6,,,13882,5,12,9,1446,11,213,2,20,3,,,206,6,,,1601,8,,,,,,,,,,,,,,,,,230,6,,,,,92,9,,,,,193,9,,,,,307,5,,,,,,,13,4,119,57,1075,12,,,,,24,3,,,,,30,26,,,,,,,,,,,,,,,52,8,44,5,,,,,,,,,,,,,,,,,,,,,,,,,,,841,7,28,3,203,5,,,,,,,,,,,,,1470,2,,,,,361,10,,,129,3,2550,7,,,,,,,5,5,,,,,,,,,110,3,24,9,,,,,,,14,2,,,1454,1,,,,,,,,,,,226,4,,,,,998,6,,,,,117,5,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169,7
2093,30670,7,,,,,,,,,,,54,10,,,,,,,15,4,,,,,,,45,10,,,,,10,4,7,4,,,,,,,23,19,7,2,,,,,107,15,,,,,37,21,1054,25,,,,,,,,,10403,10,16,3,1431,12,,,,,57,9,75,26,,,875,21,,,,,,,15,2,,,,,,,,,41,24,8,7,,,34,13,,,,,78,21,,,,,104,10,,,,,,,,,516,22,8583,1,25,2,,,,,1,3,,,380,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,6,,,,,,,,,,,,,252,20,,,48,20,,,,,,,,,,,,,260,24,,,,,272,14,,,,,1510,12,,,,,10,2,,,,,,,,,,,19,15,16,11,,,,,,,15,1,,,105,18,,,,,,,,,,,260,2,,,,,76,17,,,,,34,13,,,,,,,,,464,3,,,,,,,,,,,25,2,,,,,,,11,1,3255,1
2162,28835,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,,,,,13,31,,,,,,,141,11,,,,,16,38,1437,17,,,,,,,,,10956,9,,,2,125,,,,,,,85,24,,,943,19,,,7,3,,,,,,,,,,,,,21,32,,,,,,,,,,,228,6,,,,,,,,,,,,,11,6,644,13,2,96,,,,,7,4,,,,,160,10,,,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,44,16,6,,,,,,,,,,,,,,,978,6,,,,,115,25,,,9,13,9994,2,,,,,,,,,,,,,5,6,,,,,8,13,,,,,,,,,,,90,21,,,,,,,,,,,,,,,,,49,22,,,,,159,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621,3
463,24985,9,,,14,3,,,,,,,,,,,,,,,,,,,,,,,36,11,,,,,,,,,8,7,,,,,25,18,,,,,,,284,6,,,,,110,9,2165,11,,,,,,,,,13790,6,,,,,25,8,,,,,163,10,,,,,,,,,,,,,,,,,,,,,85,14,,,,,30,14,,,,,98,20,,,,,37,11,,,,,,,,,920,6,2099,7,,,,,,,,,,,59,17,,,,,,,,,,,,,,,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,16,10,11,93,8,,,,,,,,,,,,,573,10,,,,,843,3,,,,,2031,10,,,,,,,,,,,,,,,,,,,24,8,,,,,24,8,,,,,144,16,,,,,,,,,,,60,7,,,,,71,19,,,,,43,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707,9
29351,24494,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854,13,,,,,,,,,5942,17,,,135,53,136,3,,,,,113,19,,,132,81,,,,,,,,,,,,,,,,,205,7,,,,,,,,,,,28,30,16,4,,,,,,,,,,,,,,,104,48,,,,,,,,,,,,,,,,,,,,,,,,,,,271,3,131,2,,,,,,,,,,,,,,,,,,,,,,,,,,,53,57,,,,,,,,,,,,,,,,,439,15,,,,,,,,,,,13257,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,33,,,,,,,,,,,,,,,,,,,,,,,1336,1,,,,,,,,,290,4,,,,,,,,,,,,,,,,,,,,,,
