bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,110730,1,90,1,35,1,22,1,21,1,19,1,2451,1,21,1,18,1,20,1,23,2,6,1,13,1,374,1,26,1,33,1,20,2,,,40,2,405,2,178,1,184,1,587,1,12,1,22,1,224,1,21,1,152,1,15,1,12,1,27,1,586,3,13,1,26,1,384,2,5908,2,17,1,18,1,13,1,533,4,16,1,41350,1,56,1,9469,1,405,1,31,1,1980,3,906,2,20,1,38,1,3735,4,,,19,1,29,1,31,1,12,1,14,1,14,1,37,1,177,1,13,1,,,1464,2,1243,1,99,1,303,4,17,1,14,1,924,1,174,1,,,33,1,1953,2,19,1,29,1,18,1,59,1,3625,3,4076,2,17,1,22,1,26,2,315,1,231,1,120,1,335,2,19,1,21,1,23,1,32,1,92,1,10,1,21,1,16,1,212,2,153,1,18,1,17,2,15,2,54,2,182,1,49,1,682,1,394,2,17,1,48,1,13,1,27,1,26,2,8,1,887,8,19,2,425,2,13,1,,,12,1,18,2,14,1,16,1,10,1,27,1,,,18,1,2020,2,13,1,16,1,4354,2,18,1,23,1,299,2,4993,4,17,1,27,1,15,1,9,1,14,1,16,1,20,1,16,1,98,3,72,1,270,1,161,2,,,195,1,257,3,,,15,3,816,3,35,2,,,158,1,,,287,1,19,1,522,3,17,1,21,1,79,1,910,3,101,1,,,255,4,77,1,161,1,46,1,17,1,1856,2,,,24,1,,,17,2,,,21,2,12,1,18,1,13,1,37,1,,,2628,5
2223,105885,2,,,,,,,,,,,1139,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,10,,,,,,,1738,1,,,,,210,5,2853,12,,,,,,,,,,,32542,2,,,6483,2,,,,,3212,2,1431,1,,,,,6842,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,3,,,,,233,7,,,,,,,,,12989,1,3328,4,,,,,7,5,,,,,,,116,10,,,,,,,,,,,,,,,,,125,3,,,,,,,,,,,21,4,,,,,130,4,,,,,,,,,,,,,1218,5,,,446,1,,,,,,,,,,,,,,,,,,,,,7269,1,,,,,10563,1,,,,,,,3153,6,,,,,,,,,,,,,,,,,,,11,4,,,350,1,,,,,124,5,,,,,234,11,,,,,,,,,,,,,771,1,,,,,,,2769,1,,,,,314,3,,,,,,,,,2131,1,,,,,,,,,,,5,9,,,,,,,,,,,2994,3
1406,61721,3,32,2,,,,,,,,,834,4,,,,,,,11,4,,,,,45,3,,,,,,,,,,,235,5,,,,,,,,,,,,,,,58,8,,,,,,,143,15,,,14,3,254,3,3161,10,,,,,,,542,3,,,21319,3,20,2,3390,4,45,5,7,4,521,5,682,3,,,,,2980,5,27,1,,,,,9,2,,,,,,,,,,,,,,,1283,3,,,,,418,2,,,,,257,8,64,4,,,5,3,2986,1,,,,,,,12,5,2453,5,2525,5,,,12,3,12,3,,,,,,,96,12,,,,,,,10,3,,,,,,,,,61,6,32,7,,,,,,,,,,,,,,,71,6,,,,,,,,,,,,,1709,3,7,10,281,3,,,,,,,31,1,,,,,,,,,,,,,545,14,,,,,666,10,,,,,98,7,2805,7,,,,,,,,,,,7,6,10,2,,,588,1,,,29,12,37,10,,,,,179,4,,,,,8037,1,,,,,,,,,,,,,,,,,,,,,125,8,,,,,159,7,9,4,,,,,,,402,9,,,,,,,6,4,,,10,4,,,,,,,6,3,,,1349,8
10816,52732,4,,,,,,,,,,,412,7,,,,,,,32,1,,,,,,,,,,,41,1,,,50,1,138,7,,,,,,,,,,,45,2,,,102,4,,,,,,,299,8,,,,,159,6,4086,6,,,,,,,100,8,,,12005,7,,,4147,3,71,4,,,491,6,312,6,,,,,2874,6,,,,,,,,,,,,,,,,,,,,,,,368,6,68,4,,,189,6,,,,,525,4,,,,,,,602,4,,,,,,,,,2556,4,2082,9,,,,,,,,,,,43,2,185,7,,,,,,,,,,,,,,,,,,,91,2,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,,989,7,24,1,248,4,,,27,1,,,,,,,,,,,,,,,,,1867,3,,,,,1867,3,,,,,216,3,10855,1,,,,,,,,,,,,,,,,,31,5,,,96,6,,,,,,,118,6,,,,,384,8,,,,,,,,,,,,,,,,,,,25,2,347,6,,,,,361,2,,,,,,,,,485,7,,,,,,,25,1,,,35,1,,,,,,,,,,,2627,6
2397,46616,5,11,5,12,2,,,8,2,,,1373,2,,,,,,,8,5,,,,,168,2,,,7,3,,,,,10,4,565,1,,,,,21,5,,,11,3,20,3,,,74,6,,,9,2,7,2,317,7,,,9,5,481,1,5022,4,,,,,,,861,2,,,16586,4,13,5,2801,6,32,7,7,5,3294,1,246,7,,,,,2149,10,,,,,8,2,,,,,,,,,16,2,,,,,,,1479,1,,,13,2,172,7,,,,,374,6,107,2,,,13,2,33,13,,,,,6,3,20,2,1439,7,2314,7,,,,,,,93,2,20,3,,,39,26,12,2,,,,,12,2,,,,,15,2,10,3,59,7,41,5,,,,,,,96,1,10,7,,,,,15,9,,,,,,,,,,,,,702,13,10,8,198,5,,,,,,,6,6,,,,,,,8,2,,,,,631,11,6,2,,,653,11,,,,,,,1586,10,,,,,,,,,,,9,5,,,,,61,4,,,77,7,43,9,,,,,116,7,,,,,546,4,9,3,,,23,4,,,,,,,43,10,,,,,13,3,472,5,,,,,125,9,24,2,,,,,9,2,89,14,12,1,,,,,9,3,,,7,7,,,,,,,15,2,,,576,18
2093,34926,6,,,,,,,,,,,74,16,,,,,,,,,,,,,10,4,,,,,,,,,,,60,13,,,,,10,6,8,2,,,,,,,41,11,7,2,,,,,114,19,,,,,63,16,1288,23,,,,,,,,,,,13995,6,10,7,1560,15,,,,,52,15,158,13,,,,,1228,15,,,,,,,,,10,2,,,,,,,,,10,2,,,84,21,10,7,,,36,13,,,,,108,18,11,8,,,,,168,9,,,,,,,,,679,16,6000,1,,,16,2,7,4,,,21,2,,,182,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,7,,,,,,,,,,,,,407,17,,,79,10,,,,,,,,,,,,,,,,,,,,,412,17,,,,,842,6,,,,,,,1384,12,,,,,6,2,,,,,,,,,,,,,,,34,11,19,13,,,,,,,13,1,,,164,15,,,14,1,,,,,,,,,477,4,,,,,,,58,14,,,,,68,12,,,,,,,,,785,5,,,,,,,,,,,15,3,,,,,,,,,7,1,4059,1
2243,28222,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,14,,,,,,,,,,,,,,,21,27,,,,,,,,,,,,,,,5655,3,,,,,,,,,,,10205,9,,,,,,,,,,,,,,,,,2834,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,8,,,,,235,9,,,,,,,,,,,,,,,,,940,12,1548,13,,,,,,,,,,,,,40,25,,,,,,,,,,,,,,,,,79,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868,1,,,,,,,,,,,3,8,,,,,,,,,,,,,1825,4,,,,,681,9,,,,,40,10,893,15,,,,,,,,,,,9,4,,,,,,,,,,,129,3,,,,,721,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,25
2162,27832,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,17,32,,,,,,,183,12,,,,,25,28,1742,18,,,,,,,,,,,15213,5,,,1078,21,,,,,,,136,20,,,,,1077,19,,,,,5,5,,,,,,,,,,,,,,,,,73,25,,,,,,,,,,,147,14,,,,,,,11,17,,,,,,,5,7,620,18,246,37,,,,,,,3,4,,,,,59,17,,,,,,,,,,,,,,,,,25,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,40,2,16,,,,,,,,,,,,,,,,,,,,,,,723,9,,,,,268,18,,,,,10,14,4247,5,,,,,,,,,,,,,,,,,3,10,,,,,5,18,,,,,22,14,,,,,174,14,,,,,,,,,,,,,,,,,,,,,55,16,,,,,119,10,,,,,,,,,152,12,,,,,,,,,,,,,,,,,,,,,,,1245,9
2181,24052,9,,,,,,,,,,,135,12,,,,,,,,,,,,,,,,,15,2,,,,,,,246,4,,,,,,,,,,,,,,,145,2,,,,,,,168,13,,,,,147,7,1713,19,,,,,,,256,5,,,6605,21,10,8,1532,16,102,3,5,7,,,166,12,,,,,1091,17,,,,,,,,,,,,,,,,,,,,,,,256,9,,,,,117,10,,,,,310,7,,,,,,,240,6,,,,,,,15,4,1462,6,967,17,,,,,,,61,3,,,,,38,27,,,,,,,,,,,,,,,12,2,35,9,43,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532,14,13,5,105,7,,,,,,,,,,,,,,,,,,,,,1466,5,,,,,329,16,,,,,164,5,2199,9,,,,,,,,,,,10,3,,,,,28,6,,,71,8,65,6,,,,,42,12,11,2,,,912,2,,,,,,,,,,,,,188,6,,,,,,,231,7,,,,,219,5,17,3,,,,,,,,,,,,,,,,,,,8,6,,,,,,,,,,,1550,7
811,23060,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,5,,,,,,,18,44,,,,,,,2130,15,,,,,,,,,,,7845,16,9,9,2215,9,,,,,,,127,24,,,,,2262,9,,,,,,,,,,,,,,,8,5,,,,,,,592,5,,,,,,,,,,,154,12,,,,,,,,,,,,,,,,,136,57,348,26,,,,,,,,,,,,,239,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808,2,,,23,28,,,,,,,,,,,,,,,,,,,,,577,13,,,,,524,12,,,,,323,1,357,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239,2
