,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,200978,118,1,52,1,32,1,37,1,26,1,5461,1,29,1,30,1,28,1,70,1,10,1,18,1,1168,1,34,1,24,1,27,2,,,48,1,879,1,138,1,188,1,351,1,20,1,104,1,505,1,16,1,466,1,26,1,17,1,35,1,1438,1,18,1,55,1,712,1,13863,1,13,1,14,1,21,1,994,1,19,1,49501,1,75,1,21777,1,791,1,81,1,4712,1,2574,1,23,1,35,1,10139,1,,,22,1,29,1,44,1,21,1,20,1,27,1,55,1,87,1,18,1,,,3035,1,1610,1,70,1,1051,1,14,1,20,1,2429,1,723,1,,,31,1,1738,2,21,1,38,1,28,1,152,1,10470,1,4146,2,32,1,17,1,43,2,1067,1,1304,1,168,1,482,3,29,2,14,1,245,2,100,1,37,1,20,1,26,1,35,1,680,1,413,1,14,1,26,1,17,2,129,1,156,1,112,1,1114,1,420,2,17,1,74,1,18,1,30,1,33,1,17,1,3758,1,36,1,538,2,16,1,,,17,1,22,2,19,1,26,1,19,1,39,1,,,20,1,7021,1,29,1,33,1,4001,2,33,1,22,1,1056,1,13827,1,25,1,23,1,17,1,21,1,19,1,27,1,26,1,20,1,227,3,114,1,749,1,387,2,,,396,1,673,2,,,24,2,1513,1,50,2,,,179,1,,,290,2,69,1,1106,1,39,1,91,1,230,1,3104,2,36,1,,,776,2,72,1,780,1,39,1,25,1,2913,2,,,31,1,,,23,2,,,23,2,19,1,17,1,32,1,49,1,,,6592,3
1,2,2223,75151,,,,,,,,,,,1965,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,7,,,,,,,1243,2,,,,,190,6,2866,12,,,,,,,,,,,15997,5,,,5519,2,,,,,2816,3,1610,2,,,,,3457,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,2,,,,,596,5,,,,,,,,,4704,2,2993,4,,,,,9,5,,,,,,,105,11,,,,,,,,,,,,,,,,,182,3,,,,,,,,,,,20,4,,,,,179,3,,,,,,,,,,,,,823,12,,,578,1,,,,,,,,,,,,,,,,,,,,,5122,2,,,,,8021,1,,,,,,,3517,8,,,,,,,,,,,,,,,,,,,12,3,,,334,3,,,56,2,108,8,,,,,238,12,,,,,,,,,,,,,446,5,,,,,,,3370,1,,,,,362,5,,,,,,,,,3770,1,,,,,,,,,,,11,6,,,,,,,,,,,3710,6
2,3,1406,60859,25,2,,,,,,,,,1178,5,,,,,,,19,5,,,,,82,3,,,,,,,,,,,427,3,,,,,,,,,,,,,,,124,3,,,,,,,242,15,,,8,7,341,3,4793,6,,,,,,,497,3,,,21446,2,21,3,3511,4,42,7,42,3,706,5,907,4,,,,,3376,5,11,1,,,,,12,2,,,,,,,13,5,,,,,,,914,4,,,,,555,3,,,,,296,10,91,4,,,13,2,2553,1,,,,,,,22,3,1966,6,2148,7,,,12,3,15,3,,,,,,,140,8,,,,,287,1,13,6,,,,,,,,,142,4,33,10,,,,,,,,,,,,,,,115,4,,,,,,,,,,,,,1980,2,12,9,317,3,,,,,,,34,1,,,,,,,,,,,,,650,12,,,,,484,11,,,,,166,8,5274,5,,,,,,,,,,,10,3,15,2,,,785,1,,,62,12,68,8,,,,,171,6,,,,,527,5,,,,,,,,,,,,,100,8,,,,,,,294,11,,,,,288,6,12,4,,,,,,,365,7,,,,,,,6,4,,,9,8,,,,,,,8,3,,,2084,8
3,4,10816,57370,,,,,,,,,,,479,7,,,,,,,42,2,,,,,,,,,,,48,1,,,30,2,200,8,,,,,,,,,,,34,2,,,69,11,,,,,,,400,7,,,,,228,4,3489,9,,,,,,,174,9,,,13763,7,,,4663,3,96,4,,,376,7,403,7,,,,,2361,8,,,,,,,,,,,,,,,,,,,,,,,429,7,49,6,,,262,8,,,,,549,5,,,,,,,644,4,,,,,,,,,2272,5,1909,8,,,,,,,,,,,26,3,219,4,,,,,,,,,,,,,,,,,,,107,2,,,,,,,,,,,,,,,,,,,,,,,,,33,2,,,846,10,28,3,276,4,,,30,1,,,,,,,,,,,,,,,,,1965,3,,,,,2241,3,,,,,326,4,9929,3,,,,,,,,,,,,,,,,,40,6,,,131,7,,,,,,,147,7,,,,,375,8,,,,,,,,,,,,,,,,,,,34,3,508,7,,,,,739,3,,,,,,,,,1401,3,,,,,,,25,1,,,43,1,,,,,,,,,,,4932,4
4,5,2397,51011,24,3,15,3,,,8,2,,,1601,3,,,,,,,20,4,,,,,188,2,,,9,3,,,,,9,5,521,2,,,,,17,5,,,39,2,22,3,,,102,4,,,9,2,17,2,446,5,,,20,3,607,2,5181,3,,,,,,,358,4,,,18758,3,18,4,3432,5,36,9,12,7,3590,2,221,14,,,,,2201,9,,,,,12,5,,,,,,,,,28,2,,,,,,,1035,2,,,13,2,209,9,,,,,415,7,109,3,,,5,3,26,14,,,,,9,2,18,5,1368,9,2240,6,,,,,,,126,2,47,2,,,39,26,13,3,,,,,22,2,,,,,13,3,11,3,68,7,72,5,,,,,,,93,2,10,7,,,,,21,9,,,,,,,,,,,,,881,9,21,4,193,5,,,,,,,10,5,,,,,,,12,2,,,,,856,10,11,2,,,578,9,,,,,,,1936,12,,,,,,,,,,,11,2,,,,,121,4,,,87,9,73,7,,,,,253,5,,,,,560,4,15,3,,,43,4,,,,,,,91,9,,,,,15,4,740,5,,,,,167,8,30,3,,,,,9,2,91,14,17,1,,,,,8,3,,,9,9,,,,,,,23,2,,,647,19
5,6,2093,47503,,,,,,,,,,,83,16,,,,,,,,,,,,,24,4,,,,,,,,,,,77,10,,,,,9,6,5,3,,,,,,,90,6,2,2,,,,,217,16,,,,,45,24,1789,26,,,,,,,,,,,17323,4,10,14,2258,8,,,,,59,15,197,15,,,,,1408,13,,,,,,,,,18,2,,,,,,,,,11,2,,,138,17,12,7,,,101,12,,,,,223,13,26,7,,,,,147,9,,,,,,,,,969,13,7387,1,,,13,2,5,6,,,3,4,,,193,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,6,,,,,,,,,,,,,552,16,,,91,11,,,,,,,,,,,,,,,,,,,,,475,18,,,,,781,6,,,,,,,1821,13,,,,,5,2,,,,,,,,,,,,,,,63,11,26,12,,,,,,,8,2,,,442,7,,,9,2,,,,,,,,,476,4,,,,,,,168,12,,,,,95,12,,,,,,,,,709,6,,,,,,,,,,,17,3,,,,,,,,,5,1,8846,1
6,7,2162,31801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,,,,,10,60,,,,,,,204,18,,,,,25,34,2300,21,,,,,,,,,,,15056,6,,,1129,22,,,,,,,165,20,,,,,1393,14,,,,,13,4,,,,,,,,,,,,,,,,,49,36,,,,,,,,,,,147,16,,,,,,,18,16,,,,,,,16,6,652,22,249,33,,,,,,,9,4,,,,,89,14,,,,,,,,,,,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,56,7,14,,,,,,,,,,,,,,,,,,,,,,,632,13,,,,,342,16,,,,,47,10,5974,4,,,,,,,,,,,,,,,,,8,9,,,,,25,13,,,,,29,15,,,,,180,15,,,,,,,,,,,,,,,,,,,,,85,18,,,,,157,9,,,,,,,,,158,11,,,,,,,,,,,,,,,,,,,,,,,2502,7
7,8,811,28532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,5,,,,,,,34,39,,,,,,,3060,11,,,,,,,,,,,8197,14,4,39,1374,15,,,,,,,230,13,,,,,2502,6,,,,,,,,,,,,,,,14,4,,,,,,,883,5,,,,,,,,,,,310,9,,,,,,,,,,,,,,,,,175,59,394,23,,,,,,,,,,,,,197,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651,3,,,22,30,,,,,,,,,,,,,,,,,,,,,381,23,,,,,503,10,,,,,389,2,429,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7646,2
8,9,2181,27171,,,,,,,,,,,237,10,,,,,,,,,,,,,,,,,14,2,,,,,,,282,6,,,,,,,,,,,,,,,31,25,,,,,,,251,13,,,,,154,7,2348,20,,,,,,,227,6,,,7503,16,12,8,1481,13,254,2,9,9,,,314,8,,,,,1265,16,,,,,,,,,,,,,,,,,,,,,,,232,9,,,,,115,11,,,,,719,3,,,,,,,235,8,,,,,,,37,2,877,14,802,15,,,,,,,45,3,,,,,34,29,,,,,,,,,,,,,,,16,2,31,10,84,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,18,17,6,187,6,,,,,,,,,,,,,,,,,,,,,1584,5,,,,,365,14,,,,,217,6,2496,10,,,,,,,,,,,10,4,,,,,46,5,,,76,10,46,10,,,,,66,12,20,1,,,1148,3,,,,,,,,,,,,,172,6,,,,,,,303,10,,,,,253,7,34,2,,,,,,,,,,,,,,,,,,,13,4,,,,,,,,,,,1976,9
9,10,463,26418,8,6,16,2,,,,,,,,,,,,,,,,,,,,,19,5,,,,,,,,,,,26,15,,,,,,,,,13,5,,,,,40,17,,,,,,,259,12,,,,,60,21,2718,13,,,,,,,,,,,11316,10,11,11,1129,21,21,12,10,8,24,18,151,21,,,,,1261,17,,,,,,,,,,,,,,,,,,,,,,,107,22,,,,,34,14,,,,,100,19,,,,,,,36,13,,,,,,,,,1298,11,3332,3,,,,,,,,,,,,,70,15,110,1,,,,,15,3,,,,,,,,,13,12,,,,,,,,,,,,,,,,,8,10,,,,,,,,,,,,,326,25,6,15,33,25,,,,,,,,,,,,,,,,,,,,,436,20,,,,,897,4,,,,,,,1372,15,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,11,19,,,,,132,19,,,,,,,,,,,,,116,7,,,,,,,77,19,,,,,88,14,,,,,,,,,34,19,,,,,,,,,,,,,,,,,,,,,,,669,17
