bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,96039,1,101,1,32,1,26,1,29,1,22,1,2364,1,19,1,31,1,56,1,25,2,1,1,24,1,277,1,26,1,32,1,21,2,,,60,1,452,1,207,1,230,1,709,1,36,1,29,1,214,1,15,1,686,1,18,1,15,1,27,1,538,2,21,1,37,1,359,2,5065,1,14,1,17,1,22,1,419,2,17,1,27531,2,54,1,9893,1,488,1,43,1,1810,3,1586,1,17,1,48,1,3057,2,,,22,1,36,1,27,1,13,1,10,1,18,1,33,1,108,1,24,1,,,1314,1,1348,1,81,1,352,3,22,1,10,1,1152,1,161,1,,,22,1,1902,3,28,1,15,1,15,1,130,1,2964,2,2818,4,17,1,14,2,18,2,329,1,458,1,108,1,366,2,9,2,15,1,50,1,44,1,42,1,12,1,24,1,26,1,251,1,198,1,21,1,14,1,23,2,71,2,173,1,89,1,922,1,426,2,12,1,68,1,17,1,18,1,30,1,15,1,845,4,29,2,402,2,18,1,,,15,1,19,2,23,1,16,1,14,1,32,1,,,22,1,2127,2,16,1,23,1,3606,2,21,1,17,1,272,1,5428,4,18,1,26,1,24,1,19,1,24,1,22,1,15,1,11,1,166,2,72,1,203,1,170,1,,,149,1,368,2,,,28,3,831,1,61,1,,,243,1,,,274,1,22,1,588,2,18,1,56,1,77,1,990,2,17,1,,,318,2,113,1,170,1,30,1,18,1,1843,1,,,18,1,,,42,1,,,35,1,12,1,27,1,21,1,15,1,,,2615,3
2223,88826,2,,,,,,,,,,,1528,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,9,,,,,,,787,1,,,,,199,5,2011,12,,,,,,,,,,,37180,1,,,5216,2,,,,,2808,2,1295,2,,,,,2831,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,3,,,,,352,5,,,,,,,,,5410,1,3470,2,,,,,7,4,,,,,,,95,11,,,,,,,,,,,,,,,,,98,3,,,,,,,,,,,14,5,,,,,110,3,,,,,,,,,,,,,741,7,,,506,1,,,,,,,,,,,,,,,,,,,,,3345,1,,,,,10575,1,,,,,,,2310,8,,,,,,,,,,,,,,,,,,,18,3,,,119,2,,,21,2,88,7,,,,,225,10,,,,,,,,,,,,,532,3,,,,,,,3186,1,,,,,233,3,,,,,,,,,1395,2,,,,,,,,,,,2,11,,,,,,,,,,,2005,7
10816,46481,3,,,,,,,,,,,397,7,,,,,,,33,1,,,,,,,,,,,29,1,,,40,2,154,6,,,,,,,,,,,32,2,,,132,2,,,,,,,258,5,,,,,154,8,2910,7,,,,,,,130,7,,,11346,8,,,4039,3,83,4,,,491,5,321,6,,,,,1942,6,,,,,,,,,,,,,,,,,,,,,,,310,7,59,5,,,371,2,,,,,319,3,,,,,,,580,4,,,,,,,,,2262,4,1968,7,,,,,,,,,,,31,2,172,6,,,,,,,,,,,,,,,,,,,78,2,,,,,,,,,,,,,,,,,,,,,,,,,28,2,,,699,9,34,1,233,3,,,30,1,,,,,,,,,,,,,,,,,1563,3,,,,,2232,3,,,,,187,3,9211,1,,,,,,,,,,,,,,,,,30,5,,,92,5,,,,,,,78,9,,,,,423,5,,,,,,,,,,,,,,,,,,,34,2,275,6,,,,,144,7,,,,,,,,,413,6,,,,,,,31,2,,,31,2,,,,,,,,,,,2072,6
1406,46128,4,52,2,,,,,,,,,555,4,,,,,,,25,3,,,,,45,3,,,,,,,,,,,204,4,,,,,,,,,,,,,,,41,12,,,,,,,134,13,,,14,2,262,4,2626,8,,,,,,,373,4,,,18345,3,11,5,3849,4,42,6,15,2,364,6,744,3,,,,,2217,5,29,1,,,,,12,2,,,,,,,,,,,,,,,787,4,,,,,226,4,,,,,176,8,57,4,,,10,3,2671,1,,,,,,,14,5,1579,5,2081,6,,,17,1,9,3,,,,,,,76,15,,,,,,,13,2,,,,,,,,,58,5,28,8,,,,,,,,,,,,,,,64,6,,,,,,,,,,,,,1229,1,15,7,203,4,,,,,,,29,1,,,,,,,,,,,,,379,14,,,,,623,9,,,,,71,8,2528,7,,,,,,,,,,,10,3,12,2,,,392,1,,,31,12,48,6,,,,,125,5,,,,,651,3,,,,,,,,,,,,,,,,,,,,,164,8,,,,,174,5,13,4,,,,,,,374,7,,,,,,,10,3,,,9,4,,,,,,,9,3,,,1204,9
2397,40451,5,27,3,17,2,,,15,2,,,1204,3,,,,,,,13,4,,,,,140,2,,,10,2,,,,,9,3,434,2,,,,,28,5,,,19,2,12,3,,,64,7,,,6,2,6,2,261,4,,,13,4,451,1,3602,4,,,,,,,414,3,,,16681,4,19,4,2562,6,26,10,8,7,2881,1,158,17,,,,,1332,11,,,,,10,3,,,,,,,,,13,2,,,,,,,991,2,,,10,2,154,6,,,,,276,4,64,2,,,13,2,35,12,,,,,3,7,31,2,1192,6,1877,8,,,,,,,84,2,28,2,,,44,27,11,1,,,,,9,5,,,,,11,2,16,2,54,6,54,5,,,,,,,74,1,6,6,,,,,20,10,,,,,,,,,,,,,486,14,17,6,173,5,,,,,,,10,4,,,,,,,4,3,,,,,512,10,7,2,,,589,11,,,,,,,1367,11,,,,,,,,,,,11,2,,,,,56,4,,,58,11,34,8,,,,,115,6,,,,,417,6,15,3,,,19,4,,,,,,,58,9,,,,,7,4,348,5,,,,,69,10,21,3,,,,,13,2,95,13,11,1,,,,,4,4,,,7,7,,,,,,,12,2,,,424,21
2093,32774,6,,,,,,,,,,,75,16,,,,,,,,,,,,,12,5,,,,,,,,,,,42,10,,,,,9,7,11,2,,,,,,,39,14,5,2,,,,,89,20,,,,,97,9,1078,24,,,,,,,,,,,14240,6,10,7,1716,13,,,,,79,13,163,15,,,,,879,17,,,,,,,,,5,2,,,,,,,,,2,2,,,104,19,13,7,,,45,13,,,,,85,16,5,9,,,,,113,10,,,,,,,,,661,16,5457,1,,,10,3,5,5,,,6,3,,,169,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,7,,,,,,,,,,,,,346,18,,,60,14,,,,,,,,,,,,,,,,,,,,,358,17,,,,,690,8,,,,,,,1246,13,,,,,7,2,,,,,,,,,,,,,,,64,7,20,13,,,,,,,9,2,,,175,16,,,11,2,,,,,,,,,309,5,,,,,,,116,11,,,,,49,16,,,,,,,,,485,5,,,,,,,,,,,6,9,,,,,,,,,7,1,3551,1
2162,29543,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,,,,,10,41,,,,,,,172,10,,,,,36,23,1932,13,,,,,,,,,,,15705,5,,,1032,23,,,,,,,142,20,,,,,1030,14,,,,,7,6,,,,,,,,,,,,,,,,,47,37,,,,,,,,,,,161,10,,,,,,,8,20,,,,,,,3,11,607,17,353,27,,,,,,,6,4,,,,,48,24,,,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,38,7,11,,,,,,,,,,,,,,,,,,,,,,,671,8,,,,,332,17,,,,,7,13,4001,5,,,,,,,,,,,,,,,,,9,8,,,,,9,16,,,,,17,15,,,,,190,13,,,,,,,,,,,,,,,,,,,,,58,16,,,,,111,8,,,,,,,,,116,11,,,,,,,,,,,,,,,,,,,,,,,2552,5
463,22884,8,5,6,7,4,,,,,,,,,,,,,,,,,,,,,8,6,,,,,,,,,,,25,14,,,,,,,,,4,8,,,,,23,21,,,,,,,199,8,,,,,77,13,1764,14,,,,,,,,,,,11493,7,3,33,929,24,6,17,4,14,19,19,124,25,,,,,1051,12,,,,,,,,,,,,,,,,,,,,,,,99,20,,,,,22,14,,,,,61,20,,,,,,,23,13,,,,,,,,,838,9,2341,5,,,,,,,,,,,,,74,16,,,,,,,9,4,,,,,,,,,22,12,,,,,,,,,,,,,,,,,32,8,,,,,,,,,,,,,318,19,5,13,37,26,,,,,,,,,,,,,,,,,,,,,417,13,,,,,794,7,,,,,,,1036,15,,,,,,,,,,,,,,,,,,,,,,,27,10,,,,,14,16,,,,,157,18,,,,,,,,,,,,,54,10,,,,,,,54,17,,,,,59,14,,,,,,,,,40,17,,,,,,,,,,,,,,,,,,,,,,,610,15
2181,22519,9,,,,,,,,,,,97,12,,,,,,,,,,,,,,,,,7,3,,,,,,,233,3,,,,,,,,,,,,,,,60,8,,,,,,,117,15,,,,,286,3,1466,17,,,,,,,226,5,,,7014,19,19,3,1306,17,114,2,8,6,,,188,12,,,,,1051,13,,,,,,,,,,,,,,,,,,,,,,,265,8,,,,,85,10,,,,,220,6,,,,,,,321,6,,,,,,,26,4,848,8,1012,13,,,,,,,65,3,,,,,40,28,,,,,,,,,,,,,,,15,3,37,8,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,12,18,4,147,6,,,,,,,,,,,,,,,,,,,,,1220,4,,,,,334,16,,,,,164,4,1826,9,,,,,,,,,,,9,5,,,,,29,6,,,79,6,29,9,,,,,45,12,15,1,,,766,2,,,,,,,,,,,,,157,6,,,,,,,254,7,,,,,156,6,23,2,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,1528,8
2243,19107,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,13,,,,,,,,,,,,,,,8,48,,,,,,,,,,,,,,,3813,3,,,,,,,,,,,7308,16,,,,,,,,,,,61,35,,,,,1469,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,11,,,,,107,13,,,,,,,,,,,,,,,,,487,20,998,14,,,,,,,,,,,,,25,40,,,,,,,,,,,,,,,,,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,3,,,,,,,,,,,7,6,,,,,,,,,,,,,1099,5,,,,,923,6,,,,,35,10,847,16,,,,,,,,,,,10,4,,,,,,,,,,,83,3,,,,,398,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,26
