bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,zh,zh_rank
171,106439,1,123,1,44,1,19,1,,,32,1,1824,1,15,1,27,1,26,1,181,1,43,1,17,1,31,1,399,2,19,1,83,1,131,1,8,2,70,1,126,1,19,1,226,1,20,1,21,1,17,1,641,1,17,1,40,1,569,1,5128,1,19,1,21,1,355,4,,,32208,1,76,1,15613,1,456,1,61,1,1061,2,816,1,25,1,4032,1,19,1,21,1,19,1,18,1,11,2,33,1,101,1,1546,1,848,1,24,1,332,1,16,1,4,1,841,1,107,1,20,1,1324,1,15,1,22,1,22,1,61,1,3364,1,4486,3,58,1,22,3,213,1,204,1,43,1,574,2,19,1,,,23,1,53,1,22,1,19,1,14,1,198,3,194,1,13,1,,,83,1,36,1,51,1,433,1,97,3,14,1,33,1,17,1,18,1,28,1,25,1,1001,4,30,1,482,1,,,22,1,21,1,14,1,17,1,,,2377,1,23,1,14,1,4117,1,15,1,578,1,7142,3,18,1,22,1,17,1,13,1,19,1,10,1,114,2,20,1,345,1,151,1,,,190,1,896,1,,,21,2,866,2,27,3,,,91,1,48,1,4,1,795,1,26,1,149,1,1392,2,14,1,,,705,2,43,1,73,1,27,1,15,1,1731,1,,,15,1,,,15,1,,,44,1,22,1,16,1,11,2,2204,2
1406,41065,2,15,3,,,,,,,,,32,11,,,,,,,,,,,,,,,244,3,,,,,,,,,,,,,,,46,5,,,,,,,148,11,,,17,2,389,2,2569,10,,,,,382,3,,,19270,2,24,3,2477,3,27,6,36,2,198,3,8,82,,,1808,5,,,,,,,,,,,,,,,1451,2,,,,,183,3,,,,,152,10,25,2,10,3,902,2,,,,,,,11,5,1331,4,2117,6,9,3,19,4,,,,,,,,,,,,,,,11,4,,,,,,,83,4,,,,,,,,,,,,,,,42,6,,,,,,,,,,,,,1023,3,11,4,183,7,,,8,3,,,,,,,,,439,11,,,,,292,14,,,76,7,2168,8,,,,,,,11,2,12,2,,,219,1,,,25,12,,,,,,,568,2,,,,,351,4,,,,,,,,,,,,,,,,,213,9,,,,,123,5,,,,,,,,,178,5,,,,,,,11,2,,,,,,,,,10,3,1108,6
2162,40974,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,18,18,,,,,,,233,6,,,,,14,40,3202,5,,,,,,,,,17115,3,,,1,125,,,,,,,207,5,,,1249,8,,,5,4,,,,,,,,,,,33,35,,,,,,,,,,,338,3,,,,,,,,,,,,,10,6,932,7,6,94,,,,,8,4,,,,,187,8,,,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,20,7,8,,,,,,,,,,,,,,,1285,2,,,,,647,8,,,13,12,13858,2,,,,,,,,,,,,,11,5,,,,,11,11,,,,,,,,,,,169,10,,,,,,,,,,,,,,,,,217,8,,,,,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,7
10816,38127,4,,,,,,,,,,,374,4,,,,,,,,,,,,,8,3,124,6,,,,,,,,,,,10,3,,,18,19,,,,,,,183,9,,,,,213,4,3087,6,,,,,67,7,,,16013,6,,,2676,2,36,4,,,134,5,14,57,,,2237,3,,,,,,,,,,,,,,,476,7,6,7,,,94,8,,,,,244,5,,,,,201,8,,,,,,,,,1175,5,3338,4,,,,,,,,,5,3,207,7,,,,,,,,,,,,,,,,,33,6,,,,,,,,,,,,,,,,,,,,,,,3,2,,,695,7,2,17,211,4,3,1,,,,,,,,,,,1043,4,,,,,740,5,,,85,6,3025,5,,,,,,,,,,,,,55,3,,,82,4,,,,,,,,,,,,,484,3,,,,,,,3,4,,,,,,,4,4,518,7,,,,,87,8,,,,,,,,,103,6,,,,,,,3,4,,,,,,,,,,,8,152
29351,32642,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697,15,,,,,,,,,7436,17,,,150,49,119,2,,,,,96,15,,,112,74,,,,,,,,,,,,,,,493,6,,,,,,,,,,,25,29,9,5,,,,,,,,,,,,,,,57,58,,,,,,,,,,,,,,,,,,,,,,,,,,,230,2,75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,65,52,,,,,,,,,,,,,,,,,270,19,,,,,,,,,,,19661,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,38,,,,,,,,,,,,,,,,,,,,,,,1915,1,,,,,,,,,193,4,,,,,,,,,,,,,,,,,,,,
2397,31305,6,16,2,12,3,,,21,1,,,522,3,,,,,12,2,79,2,,,,,19,2,499,1,,,,,,,,,17,3,35,2,,,45,6,,,14,2,15,2,220,7,,,14,3,120,8,3794,3,,,,,248,5,,,11074,11,43,2,1867,5,19,9,17,5,1573,1,150,8,,,1150,12,,,10,2,,,,,,,28,2,,,1011,3,,,14,2,126,5,,,,,300,4,19,3,16,2,40,11,,,,,15,2,15,3,693,8,1530,8,,,,,37,2,20,2,,,29,26,15,2,,,,,19,2,,,,,9,2,61,6,49,3,,,,,30,2,7,6,,,,,15,8,,,,,,,,,,,,,342,15,10,5,208,6,,,10,2,,,,,10,2,,,413,12,11,2,,,686,7,,,,,1501,11,,,,,,,10,5,,,,,42,4,,,52,8,33,8,,,,,70,4,,,,,282,5,28,2,,,9,7,,,,,65,7,,,10,2,1359,3,,,,,,,11,2,,,,,11,2,42,8,16,1,,,,,9,3,,,,,,,,,12,1,350,13
2181,30061,7,,,,,,,,,,,,,,,,,,,,,13,2,,,,,206,4,,,,,,,,,,,,,,,34,8,,,,,,,155,10,,,,,243,3,2073,14,,,,,458,2,,,11830,10,16,7,1682,7,77,3,13,6,,,387,3,,,1840,4,,,,,,,,,,,,,,,262,10,,,,,110,6,,,,,202,8,,,,,275,4,,,,,,,36,2,135,52,1192,11,,,,,25,3,,,,,40,23,,,,,,,,,,,,,,,53,7,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,1,17,2,210,5,,,,,,,,,,,,,1194,3,,,,,348,12,,,117,4,1965,9,,,,,,,10,4,,,,,,,,,73,6,33,7,,,,,,,6,3,,,1107,1,,,,,,,,,,,70,6,,,,,989,4,,,,,97,7,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,5
2223,29601,8,,,,,,,,,,,1185,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,23,,,,,,,258,4,,,,,,,1143,17,,,,,,,,,9024,13,,,173,44,,,,,,,556,2,,,1327,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,166,10,,,,,,,,,2141,2,2733,5,,,,,,,,,,,,,,,,,,,,,,,,,,,298,1,,,,,,,,,,,,,,,47,5,,,,,,,,,,,,,399,12,,,241,2,,,,,,,,,,,,,973,5,,,,,1831,2,,,,,2925,6,,,,,,,,,,,,,,,9,2,,,61,2,,,,,30,6,,,,,163,11,,,,,,,,,,,158,4,,,,,872,5,,,,,169,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697,1
463,26107,9,,,19,2,,,,,,,,,,,,,,,,,,,,,,,35,10,,,,,,,,,10,6,,,,,26,12,,,,,,,294,3,,,,,94,11,2403,11,,,,,,,,,14623,8,,,,,18,11,,,,,164,6,,,,,,,,,,,,,,,,,,,110,16,,,,,24,14,,,,,128,13,,,,,37,12,,,,,,,,,976,6,2079,7,,,,,,,,,,,80,11,,,,,,,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,13,8,6,65,10,,,,,,,,,,,,,567,7,,,,,818,3,,,,,2181,7,,,,,,,,,,,,,,,,,,,23,9,,,,,19,8,,,,,198,9,,,,,,,,,,,45,8,,,,,77,15,,,,,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,10
2243,24879,10,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12,,,,,,,,,,,,,,,4,63,,,,,,,,,,,,,,,3295,4,,,,,,,,,16147,5,,,,,,,,,,,,,,,1219,10,,,,,,,,,,,,,,,,,,,,,63,10,,,,,74,21,,,,,,,,,,,,,,,435,19,227,34,,,,,,,,,,,,,,,,,,,,,,,,,,,31,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825,5,,,,,,,,,,,,,,,,,853,6,,,,,366,10,,,39,10,831,17,,,,,,,6,6,,,,,,,,,,,45,5,,,,,328,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,41
