bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,125649,1,141,1,34,1,43,1,24,1,29,1,3035,1,24,1,25,1,43,1,756,1,22,1,19,1,22,1,,,44,1,472,2,41,1,91,1,290,1,22,1,49,1,249,1,23,1,305,1,26,1,30,1,34,1,912,1,27,1,36,1,465,2,6251,1,27,1,29,1,611,1,,,33930,1,70,1,16760,1,815,1,102,1,2806,1,1282,1,41,1,4569,1,,,32,1,30,1,30,1,32,1,25,1,47,1,194,1,23,1,1266,1,2472,1,44,1,429,1,32,1,24,1,1064,1,342,1,28,1,2168,1,33,1,28,1,40,1,74,1,4549,2,3184,3,36,1,33,1,27,2,471,1,531,1,89,1,462,3,27,1,,,31,1,36,1,34,1,25,1,25,1,345,2,254,1,25,1,30,1,,,70,1,94,1,96,1,1150,1,149,2,24,1,18,1,22,1,30,1,25,1,22,1,1362,2,37,1,562,1,,,24,1,31,1,36,1,21,1,23,1,22,1,,,31,1,2772,1,20,1,31,1,4412,1,24,1,657,1,8682,2,33,1,31,1,33,1,30,1,36,1,28,1,160,3,64,1,406,1,258,1,,,303,1,360,3,,,34,3,1284,1,38,1,,,343,1,,,247,1,1,1,698,1,33,1,213,1,753,1,32,1,,,418,2,92,1,171,1,44,1,21,1,2993,1,,,25,1,,,27,1,,,22,1,18,1,30,1,23,1,24,1,,,2579,2
1406,50139,2,47,2,,,,,,,,,27,15,,,,,7,5,,,,,,,,,,,,,263,3,,,,,,,,,,,,,,,151,2,,,,,,,210,9,,,10,2,280,3,3500,6,,,,,483,3,,,19989,2,10,7,2874,3,43,5,11,3,393,5,881,3,,,2829,4,29,1,,,,,4,3,,,,,,,,,,,789,3,,,,,344,2,,,,,161,12,14,4,7,3,1760,2,,,,,,,19,3,2003,4,4207,2,,,7,3,5,4,,,,,,,,,,,,,,,9,3,,,,,,,81,6,,,,,,,,,,,,,,,,,77,4,,,,,,,,,,,,,1632,1,5,12,267,4,,,,,,,,,,,,,,,,,,,669,11,,,,,427,12,,,164,4,2359,6,,,,,,,5,4,5,3,,,331,1,,,42,12,39,8,,,,,367,2,,,,,701,3,,,,,,,,,,,,,,,,,,,99,6,,,,,141,4,,,,,,,,,114,6,,,,,,,4,4,,,,,,,,,,,6,3,,,1238,6
2223,42497,3,,,,,,,,,,,435,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,10,,,,,,,541,2,,,,,,,1797,14,,,,,,,,,10357,9,,,3038,2,,,,,1541,3,1063,2,,,2295,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2,,,147,8,,,,,,,,,5536,1,2288,6,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,437,1,,,,,,,,,,,8,6,,,,,105,3,,,,,,,,,,,,,467,16,,,444,2,,,,,,,,,,,,,,,,,,,2625,2,,,,,4027,2,,,,,2124,7,,,,,,,,,,,,,,,15,2,,,81,4,,,,,58,6,,,,,243,9,,,,,,,,,,,,,233,3,,,,,240,4,,,,,291,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,5
10816,37770,4,,,,,,,,,,,395,4,,,,,13,2,,,,,,,15,2,,,21,3,175,6,,,,,,,,,,,24,3,,,32,11,,,,,,,221,8,,,,,212,4,3336,7,,,,,70,8,,,15459,3,,,2729,4,70,4,,,381,6,329,6,,,2159,6,,,,,,,,,,,,,,,,,,,321,6,36,6,,,133,8,,,,,228,5,,,,,230,7,,,,,,,,,1818,5,2551,5,,,,,,,,,,,11,2,201,6,,,,,,,,,,,,,,,,,40,4,,,,,,,,,,,,,,,,,,,,,,,,,20,2,,,793,10,14,2,167,6,11,1,,,,,,,,,,,,,,,,,798,7,,,,,610,10,,,116,8,3070,4,,,,,,,,,,,,,33,5,,,60,9,,,,,,,,,,,,,477,4,,,,,,,,,11,3,,,,,,,12,4,90,7,,,,,100,8,,,,,,,,,154,5,,,,,,,11,2,,,,,,,,,,,,,,,13,118
2397,34347,5,19,3,15,2,,,4,2,,,575,2,,,,,11,3,149,2,,,12,2,,,,,9,4,477,1,,,,,14,4,,,44,2,32,2,,,28,16,,,8,2,17,2,246,6,,,7,3,543,1,3173,8,,,,,354,4,,,12912,6,9,10,1894,8,32,7,11,4,2700,2,219,8,,,1584,8,,,,,11,2,,,,,,,17,2,,,,,769,4,,,11,2,156,7,,,,,384,3,29,3,14,2,63,13,,,,,8,3,21,2,763,13,1376,10,,,,,,,62,2,18,2,,,67,14,10,2,,,,,19,2,,,,,8,2,83,5,31,7,,,,,,,57,2,5,7,,,,,16,7,,,,,,,,,,,,,411,17,9,7,328,3,,,,,8,2,,,,,,,11,2,,,,,683,9,6,2,,,776,6,,,,,1358,12,,,,,,,8,2,,,,,36,4,,,72,5,53,7,,,,,113,4,,,,,384,5,12,3,,,18,5,,,,,,,63,8,,,17,2,285,3,,,,,42,13,21,2,,,,,12,2,74,8,12,1,,,,,9,3,,,,,,,,,,,11,2,,,419,13
2093,27873,6,,,,,,,,,,,54,10,,,,,,,14,3,,,,,,,,,,,36,11,,,,,10,5,11,3,,,,,,,33,9,9,2,,,,,115,15,,,,,41,23,1134,23,,,,,,,,,12021,8,11,4,1196,15,,,,,26,15,76,28,,,1046,14,,,,,,,,,12,2,,,,,,,9,2,93,17,10,7,,,47,13,,,,,75,21,11,6,,,89,11,,,,,,,,,578,20,4395,1,,,19,2,,,,,3,3,,,219,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,6,,,,,,,,,,,,,622,13,,,52,19,,,,,,,,,,,,,,,,,,,356,21,,,,,327,16,,,,,1520,10,,,,,10,2,,,,,,,,,,,45,10,20,12,,,,,,,14,1,,,145,18,,,10,2,,,,,,,,,210,5,,,,,45,11,,,,,39,15,,,,,,,,,491,3,,,,,,,,,,,18,2,,,,,,,,,16,1,2503,3
181,24000,7,17,4,,,,,,,,,129,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,14,,,,,,,,,,,,,124,9,2093,12,,,,,,,,,15144,4,,,1605,12,,,8,6,,,129,23,,,1200,12,,,,,,,,,,,,,,,,,,,134,13,,,,,257,4,,,,,153,13,,,,,,,,,,,,,,,292,34,185,42,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,14,,,68,15,,,,,,,,,,,,,,,,,,,284,24,,,,,194,23,,,,,676,20,,,,,,,,,,,,,206,2,,,,,,,,,2,2,,,,,,,236,10,,,,,,,,,,,,,14,13,,,,,29,18,,,,,27,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,22
463,22946,8,,,7,3,,,,,,,,,,,,,,,10,5,,,,,,,,,,,23,15,,,,,,,,,4,7,,,,,30,12,,,,,,,239,7,,,,,58,16,1778,15,,,,,,,,,12265,7,10,6,,,7,19,6,7,15,16,123,24,,,831,22,,,,,,,,,,,,,,,,,,,62,24,,,,,21,14,,,,,66,23,,,,,125,10,,,,,,,,,897,9,2069,7,,,,,,,,,,,,,55,17,,,,,,,3,7,,,,,,,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,19,10,6,60,16,,,,,,,,,,,,,,,,,,,395,20,,,,,855,4,,,,,1561,9,,,,,,,,,,,,,,,,,,,14,14,,,,,16,10,,,,,149,17,,,,,,,,,,,,,62,9,,,,,38,14,,,,,59,11,,,,,,,,,37,10,,,,,,,,,,,,,,,,,,,,,,,676,8
29351,21498,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424,11,,,,,,,,,3632,32,,,123,59,137,3,,,,,81,27,,,86,110,,,,,,,,,,,,,,,,,,,249,8,,,,,,,,,,,18,37,12,5,,,,,,,,,,,,,,,95,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,3,97,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,40,,,,,,,,,,,,,,,,,,,,,,,561,12,,,,,,,,,,,12284,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,36,,,,,,,,,,,,,,,,,,,,,,,,,929,1,,,,,,,,,301,4,,,,,,,,,,,,,,,,,,,,,,,,
2181,21388,10,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,212,5,,,,,,,,,,,,,,,18,21,,,,,,,134,13,,,,,198,5,1821,13,,,,,304,5,,,6587,16,5,14,1000,19,156,2,3,12,,,170,18,,,1359,10,,,,,,,,,,,,,,,,,,,305,7,,,,,65,12,,,,,199,8,,,,,322,5,,,,,,,5,8,53,97,845,15,,,,,,,38,3,,,,,41,21,,,,,,,,,,,,,7,3,68,7,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,8,11,5,171,5,,,,,,,,,,,,,,,,,,,1403,3,,,,,292,18,,,147,5,2076,8,,,,,,,6,3,,,,,31,6,,,68,6,35,9,,,,,,,8,2,,,911,2,,,,,,,,,,,,,245,2,,,,,124,5,,,,,98,9,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959,7
320,20203,11,,,,,,,,,,,134,8,,,,,6,6,,,,,,,,,5,1,,,117,9,,,,,,,,,5,5,,,,,58,6,,,,,,,123,14,,,4,6,57,17,1238,19,,,,,175,6,,,9743,11,10,5,1095,17,26,8,,,53,13,229,7,,,1425,9,,,,,,,9,2,,,7,2,,,2,4,,,75,20,43,5,,,,,,,,,249,4,,,,,419,4,,,,,,,11,4,292,35,317,28,,,,,9,3,,,,,7,3,67,12,,,,,,,7,4,,,,,,,51,9,,,,,,,,,,,71,2,,,,,38,5,,,,,,,,,,,,,956,5,12,4,37,25,,,,,3,5,,,,,,,,,,,,,957,5,,,,,204,22,,,135,6,956,17,,,,,,,,,9,2,,,,,,,81,4,98,2,,,,,,,,,,,86,25,,,,,19,4,,,6,4,,,37,10,,,,,39,13,,,8,1,49,12,,,,,,,,,32,12,,,,,,,,,,,,,,,,,,,,,,,302,17
1294,20160,12,,,,,,,,,,,43,11,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,15,,,,,,,,,,,,,75,13,1469,17,,,,,,,,,9751,10,4,18,1034,18,,,,,,,187,14,,,3068,3,,,,,,,,,,,,,6,3,,,,,156,10,,,,,,,,,,,185,10,,,,,71,12,,,,,8,2,,,1490,6,,,,,,,,,,,,,,,67,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,635,12,,,47,22,,,,,6,3,,,,,,,,,,,,,168,29,,,,,,,,,,,1086,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,11,,,,,,,,,,,,,,,,,,,23,22,,,,,15,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,18
13,19500,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,3,,,,,,,200,10,,,5,4,62,14,1451,18,,,,,13,12,,,9447,12,4,16,1972,6,,,5,9,,,,,6,2,820,24,,,,,,,,,,,1,4,,,,,,,849,2,,,,,,,,,,,197,9,,,,,,,,,,,,,,,456,25,1394,9,,,,,,,,,,,,,113,9,,,,,,,,,,,,,,,,,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,113,5,11,58,17,,,,,,,,,,,,,,,,,,,348,22,,,,,295,17,,,126,7,837,18,,,,,,,,,,,,,,,,,20,14,70,5,,,,,67,5,,,,,164,16,,,,,,,,,,,,,,,,,,,36,15,,,,,,,,,,,,,,,33,11,,,,,,,,,,,,,,,,,,,,,,,312,16
2162,19036,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,13,27,,,,,,,111,16,,,,,24,30,1160,21,,,,,,,,,9046,13,,,1,137,,,,,,,74,29,,,787,27,,,,,4,4,,,,,,,,,,,,,10,47,,,,,,,,,,,135,16,,,,,,,,,,,,,6,7,513,23,6,107,,,,,,,6,4,,,,,46,19,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,58,2,15,,,,,,,,,,,,,,,,,,,,,541,13,,,,,154,29,,,14,11,5499,3,,,,,,,,,,,,,4,9,,,,,5,17,,,,,,,,,,,87,24,,,,,,,,,,,,,,,,,,,28,19,,,,,80,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591,9
2243,18819,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,14,,,,,,,,,,,,,,,3,67,,,,,,,,,,,,,,,4747,2,,,,,,,,,6649,15,,,,,,,,,,,,,,,1881,7,,,,,,,,,,,,,,,,,,,,,,,,,131,9,,,,,151,14,,,,,,,,,,,,,,,597,18,205,38,,,,,,,,,,,,,14,52,,,,,,,,,,,,,,,53,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,9,,,,,,,,,,,,,,,,,,,,,,,1015,4,,,,,617,9,,,24,10,1015,16,,,,,,,4,6,,,,,,,,,,,98,3,,,,,700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,47
25821,17373,16,,,,,,,,,,,338,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3602,5,,,,,,,,,1368,78,10,9,1693,11,,,,,,,,,,,3954,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240,4
