bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,124694,1,254,1,37,1,54,1,41,1,26,1,4146,1,42,1,22,1,27,1,30,1,60,1,70,1,18,1,411,1,37,1,30,1,31,1,,,35,1,529,1,169,1,105,1,500,1,24,1,44,1,278,1,41,1,236,1,44,1,20,1,40,1,815,2,27,1,48,1,384,3,6176,3,26,1,26,1,31,1,633,3,30,1,34337,2,65,1,11383,1,356,1,55,1,2694,3,1330,2,21,1,27,1,5356,1,,,21,1,32,1,97,1,26,1,23,1,28,1,39,1,128,1,37,1,,,1599,1,1421,1,70,1,554,2,35,1,49,1,1172,1,248,1,,,44,1,1507,2,41,1,46,1,36,1,119,1,3682,3,3148,3,43,1,38,1,27,2,350,1,147,1,218,1,411,4,27,1,16,1,29,1,98,1,37,1,23,1,29,1,27,2,25,1,310,1,158,1,21,1,22,1,26,1,63,2,481,1,68,1,689,1,839,1,24,1,72,1,20,1,45,1,36,1,28,1,953,6,41,2,312,3,37,1,,,27,1,22,2,24,1,40,1,24,1,32,1,,,15,1,2944,2,40,1,24,1,3322,2,45,1,27,1,559,1,9373,2,21,1,41,1,22,1,36,1,21,1,30,1,30,1,24,1,136,3,227,1,312,1,186,3,,,198,1,371,2,,,34,2,953,3,42,2,,,281,1,,,444,1,36,1,1087,2,28,1,53,1,65,1,1593,3,44,1,,,551,2,135,1,602,1,39,1,26,1,2652,1,,,35,1,,,20,2,,,40,2,36,1,21,1,35,1,29,1,,,6427,2
2399,77635,2,,,,,,,,,,,68,18,,,,,,,,,,,,,,,16,4,,,,,,,,,,,10,19,,,,,,,,,5,6,,,,,35,11,,,,,,,44,28,,,,,,,257,71,,,,,,,19,15,,,74666,1,13,8,356,35,,,,,31,18,43,44,,,,,246,61,,,,,,,,,,,,,,,,,,,,,,,51,33,,,,,,,,,,,50,25,,,,,,,,,,,,,,,,,177,42,147,44,,,,,,,,,,,,,,,,,,,,,,,,,,,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,56,,,,,,,,,,,9,5,,,,,,,,,,,,,112,32,,,,,136,23,,,,,14,14,413,27,,,,,,,,,,,,,,,,,,,7,5,25,14,,,,,,,,,,,,,68,34,,,,,,,,,,,,,,,,,,,,,74,17,,,,,26,28,,,,,,,,,195,10,,,,,,,,,,,,,,,,,,,,,,,260,30
2223,69407,3,,,,,,,,,,,4065,2,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,16,,,,,,,1822,1,,,,,304,4,2091,13,,,,,,,,,,,10666,9,,,3964,2,,,,,4298,1,2531,1,,,,,4174,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,4,,,,,572,4,,,,,,,,,6633,1,2561,5,,,,,18,4,,,,,,,154,9,,,,,,,,,,,,,,,,,,,82,3,,,,,,,,,,,25,5,,,,,106,4,,,,,,,,,,,,,1312,5,,,1456,1,,,,,,,,,,,,,,,,,,,,,4266,1,,,,,4373,1,,,,,239,5,3199,8,,,,,,,,,,,,,,,,,,,9,4,,,491,1,,,51,2,225,4,,,,,368,9,,,,,,,,,,,,,314,5,,,,,,,3880,1,,,,,391,3,,,,,,,,,1298,3,,,,,,,,,,,3,10,,,,,,,,,,,3351,7
1406,58364,4,19,2,,,,,,,,,1218,5,,,,,,,,,23,3,,,,,60,3,,,,,,,,,,,243,3,,,,,,,,,,,,,,,57,7,,,,,,,123,17,,,5,7,291,5,2633,10,,,,,,,283,4,,,18140,3,13,7,2403,6,36,6,11,3,440,6,1048,3,,,,,2872,5,9,1,,,,,4,3,,,,,,,7,6,,,,,,,738,3,,,,,335,4,,,,,253,8,59,5,,,7,2,1833,1,,,,,,,10,9,1935,5,2152,8,,,20,2,7,5,,,,,,,183,7,,,,,8,2,5,8,,,,,,,,,,,46,5,7,13,,,,,,,,,,,,,,,112,3,,,,,,,,,,,,,1545,3,2,15,418,2,,,,,,,25,1,,,,,,,,,,,,,412,13,,,,,422,11,,,,,95,8,3417,7,,,,,,,,,,,8,3,8,2,,,454,1,,,25,13,52,8,,,,,163,7,,,,,611,6,,,,,,,,,,,,,65,10,,,,,,,153,12,,,,,205,7,8,4,,,,,,,509,7,,,,,,,4,4,,,4,9,,,,,,,23,2,,,12088,1
10816,54307,5,,,,,,,,,,,596,7,,,,,,,,,35,2,,,,,,,,,,,29,2,,,26,2,198,6,,,,,,,,,,,28,2,,,60,6,,,,,,,476,4,,,,,505,2,3524,6,,,,,,,83,7,,,13717,7,,,3484,3,93,3,,,782,5,630,5,,,,,2593,6,,,,,,,,,,,,,,,,,,,,,,,392,6,58,6,,,269,6,,,,,576,4,,,,,,,533,5,,,,,,,,,2279,4,2171,7,,,,,,,,,,,33,2,227,5,,,,,,,,,,,,,,,,,,,,,74,3,,,,,,,,,,,,,,,,,,,,,,,,,27,2,,,932,7,29,3,269,4,,,29,1,,,,,,,,,,,,,,,,,1767,3,,,,,1811,3,,,,,403,2,9168,3,,,,,,,,,,,,,,,,,34,5,,,68,9,,,,,,,142,8,,,,,451,7,,,,,,,,,,,,,,,,,,,26,2,506,6,,,,,228,6,,,,,,,,,857,4,,,,,,,24,1,,,43,1,,,,,,,,,,,4022,6
2397,43931,6,11,4,13,3,,,14,2,,,2148,3,,,,,,,,,16,4,,,,,150,2,,,9,2,,,,,6,4,526,2,,,,,21,4,,,21,2,15,3,,,63,5,,,5,2,11,2,310,7,,,20,3,849,1,3650,5,,,,,,,709,2,,,13848,6,25,2,2632,4,16,10,9,4,3423,2,219,11,,,,,1891,9,,,,,23,2,,,,,,,,,28,2,,,,,,,1222,2,,,8,2,201,7,,,,,305,6,83,3,,,5,3,25,14,,,,,6,4,40,2,1082,6,1727,11,,,,,,,121,2,38,2,,,35,31,19,2,,,,,12,3,,,,,11,5,8,3,,,51,4,45,4,,,,,,,107,1,12,7,,,,,9,9,,,,,,,,,,,,,756,10,10,8,249,5,,,,,,,11,3,,,,,,,6,3,,,,,826,7,19,2,,,530,8,,,,,,,2570,10,,,,,,,,,,,8,4,,,,,76,4,,,68,8,63,7,,,,,192,6,,,,,688,5,25,3,,,37,4,,,,,,,67,9,,,,,15,4,841,5,,,,,156,9,10,3,,,,,7,2,153,12,21,1,,,,,11,3,,,12,4,,,,,,,6,3,,,645,18
27443,43740,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,17,,,,,,,120,18,,,22,2,38,24,765,27,,,,,,,43,10,,,4333,27,20,3,518,27,38,5,,,,,112,27,,,,,425,40,,,,,,,,,,,,,,,,,,,,,,,61,26,,,,,58,13,,,,,,,,,,,,,,,,,,,,,,,389,20,1980,10,,,,,,,,,,,,,644,2,,,,,,,,,,,,,,,,,,,,,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,27,,,,,,,,,,,,,,,,,,,,,,,,,362,17,,,,,242,18,,,,,,,5456,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22741,1,,,,,,,,,,,,,71,11,,,,,,,,,385,8,,,,,,,,,,,,,,,,,,,,,,,4609,5
2093,36545,8,,,,,,,,,,,67,19,,,,,,,,,,,,,,,9,6,,,,,,,,,,,62,10,,,,,3,8,8,3,,,,,,,54,8,5,2,,,,,117,19,,,,,65,17,1271,20,,,,,,,,,,,14911,5,9,11,1684,8,,,,,60,15,237,9,,,,,927,18,,,,,,,,,21,2,,,,,,,,,6,2,,,88,21,12,7,,,59,12,,,,,110,15,16,8,,,,,139,9,,,,,,,,,764,9,4052,1,,,19,3,6,6,,,5,4,,,225,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,7,,,8,2,,,,,,,,,307,22,,,61,18,,,,,,,,,,,,,,,,,,,,,303,19,,,,,567,7,,,,,,,3774,6,,,,,3,2,,,,,,,,,,,,,,,63,10,17,15,,,,,,,23,1,,,219,12,,,4,2,,,,,,,,,439,4,,,,,,,134,13,,,,,177,8,,,,,,,,,556,6,,,,,,,,,,,19,3,,,,,,,,,7,1,4808,4
2162,30317,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,9,48,,,,,,,231,10,,,,,33,27,1784,15,,,,,,,,,,,15529,4,,,1092,17,,,,,,,170,20,,,,,1051,17,,,,,4,6,,,,,,,,,,,,,,,,,37,38,,,,,,,,,,,163,10,,,,,,,13,18,,,,,,,18,4,534,15,329,22,,,,,,,7,4,,,,,122,11,,,,,,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,36,3,14,,,,,,,,,,,,,,,,,,,,,,,714,8,,,,,374,14,,,,,36,11,5264,5,,,,,,,,,,,,,,,,,5,10,,,,,11,16,,,,,20,16,,,,,202,14,,,,,,,,,,,,,,,,,,,,,97,15,,,,,152,10,,,,,,,,,188,11,,,,,,,,,,,,,,,,,,,,,,,1960,8
2181,24999,10,,,,,,,,,,,210,12,,,,,,,,,,,,,,,,,,,6,3,,,,,,,206,5,,,,,,,,,,,,,,,31,14,,,,,,,165,13,,,,,185,7,1499,18,,,,,,,219,5,,,6763,15,14,6,1160,14,69,4,7,7,,,208,12,,,,,1322,14,,,,,,,,,,,,,,,,,,,,,,,235,8,,,,,119,10,,,,,316,5,,,,,,,196,8,,,,,,,22,3,933,8,1166,12,,,,,,,41,3,,,,,32,35,,,,,,,,,,,,,,,30,1,,,31,8,39,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548,13,52,1,170,8,,,,,,,,,,,,,,,,,,,,,1367,5,,,,,286,16,,,,,249,4,2450,11,,,,,,,,,,,12,2,,,,,29,6,,,72,7,109,5,,,,,35,13,13,2,,,1591,1,,,,,,,,,,,,,208,6,,,,,,,406,7,,,,,318,4,25,2,,,,,,,,,,,,,,,,,,,11,5,,,,,,,,,,,1824,9
