bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,101177,1,431,1,132,1,50,1,35,1,41,1,2311,1,34,1,37,1,46,1,333,1,70,1,33,1,35,1,,,47,1,462,1,109,1,196,1,436,1,43,1,49,1,319,1,41,1,198,2,55,1,24,1,46,1,865,2,31,1,65,1,462,2,5890,2,39,1,36,1,463,4,25,1,27992,1,66,1,9350,1,450,1,48,1,2013,3,1172,2,35,1,4213,4,,,38,1,32,1,33,1,35,1,36,1,43,1,178,1,35,1,,,2484,1,2655,1,106,1,312,4,34,1,33,1,998,1,125,1,,,51,1,1527,2,54,1,31,1,46,1,71,1,4113,4,2623,3,42,1,45,2,30,2,287,1,159,1,117,1,324,4,29,1,,,43,1,49,1,43,1,36,1,42,1,27,1,330,3,302,1,32,1,27,1,5,2,57,2,153,1,94,1,1035,1,191,2,31,1,49,1,27,1,40,1,36,1,25,1,989,9,54,1,421,3,47,1,,,30,1,39,1,40,1,29,1,70,1,37,1,,,49,1,2731,2,29,1,30,1,3675,2,28,1,46,1,377,1,4420,3,35,1,33,1,31,1,32,1,27,1,64,1,31,1,33,1,115,3,94,1,394,1,203,3,,,186,1,290,3,,,36,2,1238,1,46,2,,,349,1,,,203,1,1,1,697,2,31,1,128,1,430,2,39,1,,,309,3,68,1,170,1,37,1,37,1,1642,1,,,29,1,,,28,1,,,34,1,35,1,55,1,29,1,42,1,,,2527,5
2223,93588,2,,,,,,,,,,,891,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,7,,,,,,,2077,1,,,,,303,3,2538,12,,,,,,,,,13807,5,,,5032,2,,,,,3261,2,1598,1,,,9309,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,3,,,,,179,8,,,,,,,,,19204,1,3284,2,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,623,1,,,,,,,,,,,26,4,,,,,49,6,,,,,,,,,,,,,1423,6,,,1386,1,,,,,,,,,,,,,,,,,,,,,7231,1,,,,,10456,1,,,,,,,2781,6,,,,,,,,,,,,,,,,,,,8,4,,,539,1,,,,,116,7,,,,,430,7,,,,,,,,,,,,,374,4,,,,,3400,1,,,,,522,2,,,,,,,,,726,2,,,,,,,,,,,5,9,,,,,,,,,,,1903,7
10816,53854,3,,,,,,,,,,,1259,2,,,,,17,2,,,,,,,18,2,,,18,2,174,6,,,,,,,,,,,23,2,,,92,5,,,,,,,505,5,,,,,241,4,5054,3,,,,,96,7,,,13823,4,,,3974,4,81,6,,,763,5,435,6,,,4061,5,,,,,,,,,,,,,,,,,,,,,584,6,63,6,,,190,7,,,,,691,2,,,,,,,279,6,,,,,,,,,4581,3,2258,5,,,,,,,,,,,17,2,366,3,,,,,,,,,,,,,,,,,,,69,4,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,1216,7,17,5,308,5,,,20,1,,,,,,,,,,,,,,,,,2430,4,,,,,1431,3,,,,,242,2,4218,4,,,,,,,,,,,,,,,,,23,6,,,210,2,,,,,,,66,9,,,,,792,3,,,,,,,,,17,3,,,,,,,20,3,116,6,,,,,180,5,,,,,,,,,267,7,,,,,,,17,2,,,17,3,,,,,,,,,,,2500,6
1406,49674,4,37,2,,,,,,,,,17,19,,,,,12,3,36,3,,,,,,,,,,,258,4,,,,,,,,,,,,,,,41,9,,,,,,,165,13,,,11,5,237,5,4138,7,,,,,700,3,,,19307,2,24,4,4137,3,82,5,15,3,274,6,992,3,,,2981,7,52,1,,,,,7,3,,,,,,,,,,,,,878,3,,,,,410,3,,,,,204,9,22,4,,,6,3,1683,1,,,,,,,11,6,2057,5,2007,8,,,25,3,10,4,,,,,,,,,,,,,,,7,6,,,,,,,,,87,5,13,11,,,,,,,,,,,,,,,56,5,,,,,,,,,,,,,1744,3,5,14,531,2,,,,,,,,,,,,,,,,,,,,,583,10,,,,,622,7,,,,,98,7,2194,7,,,,,,,,,,,12,3,6,3,,,335,1,,,45,11,79,7,,,,,254,4,,,,,709,5,,,,,,,,,,,,,,,,,,,86,7,,,,,144,6,15,3,,,,,,,180,8,,,,,,,6,3,,,10,5,,,,,,,9,3,,,1008,10
2397,42168,5,16,4,22,2,,,6,2,,,846,4,,,,,10,6,157,2,,,20,2,,,,,5,5,458,2,,,,,15,6,,,16,2,13,3,,,90,6,,,11,2,4,2,312,7,,,6,7,597,1,4395,5,,,,,766,2,,,14064,3,29,3,2250,8,40,8,6,10,3417,1,307,8,,,2564,9,,,,,5,4,,,,,,,10,2,,,,,,,1105,2,,,11,2,219,5,,,,,359,5,66,2,,,10,2,42,13,,,,,3,6,17,3,1567,6,1531,9,,,,,,,67,2,23,2,,,29,21,8,2,,,,,21,2,,,,,8,2,8,3,56,6,47,5,,,,,,,96,1,12,5,,,,,12,10,,,,,,,,,,,,,875,12,14,7,361,4,,,,,,,6,4,,,,,,,6,3,,,,,702,9,10,2,,,594,8,,,,,,,1614,9,,,,,,,,,,,5,5,,,,,76,4,,,94,6,41,8,,,,,174,6,,,,,686,6,11,3,,,14,4,,,,,,,75,8,,,7,4,270,3,,,,,121,8,8,4,,,,,7,2,119,10,20,1,,,,,5,4,,,8,7,,,,,,,16,2,,,455,18
2093,28801,6,,,,,,,,,,,74,11,,,,,,,11,5,,,,,,,,,,,46,14,,,,,25,5,12,2,,,,,,,23,20,7,2,,,,,121,18,,,,,44,26,1213,22,,,,,,,,,12509,6,14,13,1332,15,,,,,64,15,108,28,,,1034,20,,,,,,,,,13,2,,,,,,,6,2,,,135,14,14,7,,,40,13,,,,,71,21,6,10,,,,,98,10,,,,,,,,,654,17,4380,1,,,52,1,11,3,,,2,4,,,102,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,7,,,,,,,,,,,,,452,18,,,39,25,,,,,,,,,,,,,,,,,,,,,304,21,,,,,533,10,,,,,,,1243,12,,,,,10,2,,,,,,,,,,,,,,,31,13,19,14,,,,,,,13,2,,,181,17,,,8,2,,,,,,,,,340,5,,,,,32,15,,,,,50,14,,,,,,,,,531,4,,,,,,,,,,,9,6,,,,,,,,,18,1,2740,3
2181,26826,7,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,261,3,,,,,,,,,,,,,,,27,17,,,,,,,168,12,,,,,138,8,1842,16,,,,,288,5,,,7528,12,18,9,1500,14,119,3,15,4,,,420,7,,,1442,14,,,,,,,,,,,,,,,,,,,,,291,8,,,,,145,9,,,,,301,7,,,,,,,315,5,,,,,,,25,2,1199,8,1041,13,,,,,,,53,3,,,,,38,15,,,,,,,,,,,,,,,16,2,46,8,72,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,14,18,3,189,7,,,,,,,,,,,,,,,,,,,,,2567,3,,,,,291,17,,,,,159,4,2024,8,,,,,,,,,,,16,2,,,,,31,5,,,74,10,82,5,,,,,35,12,19,1,,,1212,2,,,,,,,,,,,,,392,3,,,,,139,5,,,,,228,4,16,2,,,,,,,,,,,,,,,,,,,23,2,,,,,,,,,,,1238,8
463,25596,8,,,19,3,,,,,,,,,,,,,,,15,4,,,,,,,,,,,53,12,,,,,,,,,13,3,,,,,32,12,,,,,,,265,8,,,,,77,13,2348,13,,,,,,,,,11842,7,17,10,1325,16,31,12,18,2,23,20,160,16,,,1299,16,,,,,,,,,,,,,,,,,,,,,119,17,,,,,32,14,,,,,97,19,,,,,,,48,12,,,,,,,,,932,12,2047,7,,,,,,,,,,,,,58,12,,,,,,,13,3,,,,,,,,,43,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,19,15,6,49,20,,,,,,,,,,,,,,,,,,,,,483,15,,,,,1011,4,,,,,,,1366,11,,,,,,,,,,,,,,,,,,,,,,,26,11,,,,,41,11,,,,,198,14,,,,,,,,,,,,,64,9,,,,,32,14,,,,,52,13,,,,,,,,,83,12,,,,,,,,,,,,,,,,,,,,,,,802,11
2243,25381,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,15,,,,,,,,,,,,,,,9,41,,,,,,,,,,,,,,,6814,1,,,,,,,,,5856,17,,,,,,,,,,,,,,,3888,6,,,,,,,,,,,,,,,,,,,,,,,,,,,177,8,,,,,339,6,,,,,,,,,,,,,,,,,860,13,207,37,,,,,,,,,,,,,15,38,,,,,,,,,,,,,,,,,53,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2494,2,,,,,,,,,,,,,,,,,,,,,,,,,1595,5,,,,,512,11,,,,,23,9,1015,14,,,,,,,,,,,6,4,,,,,,,,,,,230,2,,,,,1185,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,50
29351,24680,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,252,10,,,,,,,4763,4,,,,,,,,,3727,27,,,366,37,162,2,,,,,120,24,,,783,31,,,,,,,,,,,,,,,,,,,,,343,7,,,,,,,,,,,44,26,20,5,,,,,,,,,,,,,,,,,146,42,,,,,,,,,,,,,11,55,,,,,,,,,,,,,,,,,445,2,77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,27,,,,,,,,,,,,,,,,,,,,,,,,,1137,6,,,,,,,,,,,,,10578,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,41,,,,,,,,,,,,,,,,,,,,,,,,,925,1,,,,,,,,,383,5,,,,,,,,,,,,,,,,,,,,,,,82,45
