bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,189127,1,188,1,54,1,28,1,58,1,26,1,4501,1,35,1,26,1,20,1,69,1,2,1,13,1,1304,1,34,1,18,1,29,1,,,66,1,765,1,154,1,594,1,393,1,27,1,42,1,386,1,17,1,411,1,22,1,11,1,41,1,1309,1,13,1,75,1,598,1,10449,1,25,1,12,1,19,1,1061,1,19,1,49630,1,81,1,20092,1,874,1,90,1,4413,1,2357,1,15,1,57,1,9316,1,,,23,1,34,1,74,1,23,1,11,1,23,1,59,1,93,1,19,1,,,2111,1,1740,1,76,1,737,1,18,1,20,1,2277,1,1346,1,,,54,1,1773,2,33,1,24,1,58,1,101,1,8388,1,4441,2,19,1,20,1,44,2,1133,1,1306,1,158,1,462,2,18,1,14,1,168,1,113,1,48,1,10,1,65,1,22,1,564,1,273,1,10,1,20,2,10,2,152,1,142,1,133,1,983,1,1036,2,13,1,56,1,21,1,39,1,32,1,10,1,2196,1,52,1,465,2,66,1,,,19,1,23,2,12,1,11,1,20,1,24,1,,,106,1,6879,1,27,1,28,1,4371,2,43,1,31,1,992,1,13065,1,20,1,17,1,17,1,17,1,24,1,38,1,45,1,12,1,227,3,99,1,593,1,315,1,,,386,1,605,2,,,28,2,1278,2,54,2,,,237,1,,,501,1,37,1,929,1,23,1,114,1,262,1,3137,2,46,1,,,762,2,86,1,601,1,56,1,16,1,2562,3,,,18,1,,,19,1,,,25,2,17,1,17,1,18,1,21,1,,,6929,3
2223,70084,2,,,,,,,,,,,1619,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,4,,,,,,,1076,2,,,,,153,7,2080,17,,,,,,,,,,,14975,7,,,4971,2,,,,,3009,3,2329,2,,,,,4178,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,2,,,,,656,4,,,,,,,,,3915,2,3093,3,,,,,5,6,,,,,,,101,9,,,,,,,,,,,,,,,,,123,3,,,,,,,,,,,18,5,,,,,167,3,,,,,,,,,,,,,672,12,,,836,1,,,,,,,,,,,,,,,,,,,,,4402,2,,,,,7544,1,,,,,,,3330,8,,,,,,,,,,,,,,,,,,,12,3,,,183,2,,,56,2,122,8,,,,,239,8,,,,,,,,,,,,,471,4,,,,,,,3168,1,,,,,363,4,,,,,,,,,2946,1,,,,,,,,,,,3,9,,,,,,,,,,,3067,6
1406,61912,3,49,2,,,,,,,,,752,5,,,,,,,21,4,,,,,62,3,,,,,,,,,,,297,4,,,,,,,,,,,,,,,71,6,,,,,,,211,14,,,11,5,345,3,3446,5,,,,,,,577,4,,,26386,3,16,3,2890,4,91,5,19,4,668,6,1229,3,,,,,4875,2,11,1,,,,,52,2,,,,,,,16,4,,,,,,,614,4,,,,,416,3,,,,,212,10,73,4,,,11,3,2059,1,,,,,,,20,5,1622,5,2199,7,,,12,2,26,3,,,,,,,92,10,,,,,94,2,13,6,,,,,,,,,90,5,29,7,,,,,,,,,,,,,,,63,6,,,,,,,,,,,,,1588,2,17,6,408,3,,,,,,,405,1,,,,,,,,,,,,,598,13,,,,,539,11,,,,,166,7,4252,7,,,,,,,,,,,16,2,15,3,,,618,1,,,38,12,25,11,,,,,135,6,,,,,498,4,,,,,,,,,,,,,93,7,,,,,,,181,11,,,,,216,6,9,4,,,,,,,368,7,,,,,,,5,4,,,12,3,,,,,,,17,2,,,1953,8
10816,59673,4,,,,,,,,,,,391,7,,,,,,,24,3,,,,,,,,,,,24,2,,,24,2,124,8,,,,,,,,,,,17,2,,,49,17,,,,,,,374,8,,,,,194,4,3275,7,,,,,,,89,8,,,15020,6,,,4187,3,97,4,,,779,5,477,6,,,,,2744,7,,,,,,,,,,,,,,,,,,,,,,,389,6,48,6,,,214,6,,,,,443,4,,,,,,,549,5,,,,,,,,,1766,4,1851,8,,,,,,,,,,,19,3,166,7,,,,,,,,,,,,,,,,,,,80,3,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,,854,8,18,5,355,4,,,43,1,,,,,,,,,,,,,,,,,1886,3,,,,,2121,3,,,,,390,2,9962,2,,,,,,,,,,,,,,,,,32,5,,,79,10,,,,,,,134,7,,,,,462,5,,,,,,,,,,,,,,,,,,,17,5,552,6,,,,,190,7,,,,,,,,,2628,2,,,,,,,16,2,,,27,1,,,,,,,,,,,6467,4
2093,48817,5,,,,,,,,,,,71,17,,,,,,,,,,,,,28,4,,,,,,,,,,,50,11,,,,,8,6,14,2,,,,,,,137,3,1,2,,,,,438,5,,,,,58,19,1484,23,,,,,,,,,,,16763,4,12,7,2465,6,,,,,52,16,195,17,,,,,1404,13,,,,,,,,,8,2,,,,,,,,,7,2,,,118,15,12,7,,,113,10,,,,,107,19,15,8,,,,,274,8,,,,,,,,,790,13,7117,1,,,10,3,8,5,,,10,3,,,178,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,7,,,,,,,,,,,,,556,14,,,70,19,,,,,,,,,,,,,,,,,,,,,431,16,,,,,703,7,,,,,,,1732,12,,,,,5,2,,,,,,,,,,,,,,,64,11,27,10,,,,,,,42,2,,,194,13,,,4,2,,,,,,,,,378,5,,,,,,,218,10,,,,,106,10,,,,,,,,,811,6,,,,,,,,,,,12,4,,,,,,,,,5,1,11454,1
2397,45274,6,27,3,14,2,,,9,2,,,1525,3,,,,,,,18,5,,,,,182,2,,,9,2,,,,,11,5,426,2,,,,,25,4,,,27,2,16,3,,,71,7,,,9,2,9,2,389,7,,,12,4,516,2,3677,3,,,,,,,405,5,,,16609,5,15,5,2648,5,37,9,8,9,3564,2,254,12,,,,,2257,8,,,,,20,3,,,,,,,,,23,2,,,,,,,874,2,,,11,2,213,7,,,,,379,6,118,3,,,16,2,35,12,,,,,7,3,23,4,1262,6,1759,9,,,,,,,94,2,50,2,,,45,22,12,2,,,,,28,2,,,,,63,2,7,3,68,6,58,5,,,,,,,69,2,9,7,,,,,14,9,,,,,,,,,,,,,732,9,7,13,197,6,,,,,,,4,6,,,,,,,7,2,,,,,734,8,13,2,,,660,8,,,,,,,2243,11,,,,,,,,,,,5,5,,,,,52,4,,,118,7,53,7,,,,,171,5,,,,,380,6,12,3,,,11,5,,,,,,,68,10,,,,,20,4,777,5,,,,,151,9,22,2,,,,,5,2,121,11,36,1,,,,,8,3,,,2,12,,,,,,,9,3,,,630,18
11733,33551,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,124,,,,,,,,,13,2,30310,2,,,,,,,,,,,,,,,,,291,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,2,,,,,18,44,,,,,,,,,,,,,,,,,1993,3,59,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3,,,,,,,,,,,113,4,,,,,73,10,,,,,3,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2181,30216,8,,,,,,,,,,,223,11,,,,,,,,,,,,,,,,,4,3,,,,,,,372,3,,,,,,,,,,,,,,,56,12,,,,,,,673,3,,,,,150,8,2379,13,,,,,,,191,7,,,9509,11,15,4,1245,15,132,3,7,10,,,278,10,,,,,1219,19,,,,,,,,,,,,,,,,,,,,,,,268,8,,,,,108,11,,,,,382,5,,,,,,,319,6,,,,,,,26,3,831,12,1466,10,,,,,,,43,3,,,,,38,28,,,,,,,,,,,,,,,14,2,27,10,26,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,17,13,9,180,8,,,,,,,,,,,,,,,,,,,,,1297,5,,,,,350,16,,,,,173,6,2312,10,,,,,,,,,,,4,6,,,,,20,7,,,126,6,42,9,,,,,43,13,55,1,,,1821,1,,,,,,,,,,,,,102,6,,,,,,,331,9,,,,,244,5,21,3,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,2556,7
2162,29204,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,,,,,8,59,,,,,,,200,15,,,,,43,24,1786,18,,,,,,,,,,,14714,8,,,963,21,,,,,,,128,26,,,,,1371,15,,,,,7,6,,,,,,,,,,,,,,,,,34,41,,,,,,,,,,,135,15,,,,,,,19,16,,,,,,,8,9,672,17,489,21,,,,,,,4,4,,,,,85,11,,,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,52,5,15,,,,,,,,,,,,,,,,,,,,,,,689,12,,,,,355,15,,,,,13,14,4917,5,,,,,,,,,,,,,,,,,2,12,,,,,8,18,,,,,18,15,,,,,125,19,,,,,,,,,,,,,,,,,,,,,69,22,,,,,160,8,,,,,,,,,173,10,,,,,,,,,,,,,,,,,,,,,,,1878,9
811,26088,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,8,,,,,,,16,50,,,,,,,2215,15,,,,,,,,,,,8039,15,1,49,954,22,,,,,,,239,15,,,,,1989,11,,,,,,,,,,,,,,,4,10,,,,,,,591,5,,,,,,,,,,,191,11,,,,,,,,,,,,,,,,,128,63,313,25,,,,,,,,,,,,,279,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402,4,,,42,27,,,,,,,,,,,,,,,,,,,,,449,15,,,,,463,12,,,,,331,3,428,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7914,2
