bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,127205,1,227,1,27,1,12,1,23,1,29,1,3997,1,20,1,22,1,18,1,397,1,36,1,29,1,18,1,,,20,2,593,1,64,1,65,1,337,1,14,1,26,2,262,1,9,1,279,1,21,1,17,1,37,1,1031,1,7,1,33,1,684,1,6120,1,14,1,11,1,676,1,,,36603,1,51,1,14538,1,555,1,73,1,2583,1,1164,1,31,1,4397,1,,,16,1,31,1,25,1,13,1,13,1,55,2,177,1,14,1,1690,1,2232,1,36,1,613,1,13,1,11,1,1201,1,834,1,17,1,2392,1,23,1,12,1,31,1,74,1,4460,2,3803,4,20,1,15,2,29,2,501,1,528,1,110,1,400,3,14,1,,,39,1,60,1,23,1,62,1,15,1,349,2,295,1,15,1,13,2,,,84,1,93,1,117,1,1669,1,141,2,13,1,19,1,13,1,70,1,21,1,13,1,1493,1,39,1,760,1,4,1,,,22,1,17,1,22,1,17,1,13,1,14,1,,,27,1,3451,2,15,1,7,1,2766,2,18,1,596,1,9682,2,15,1,13,1,18,1,32,1,26,1,11,1,156,3,64,1,530,1,335,1,,,297,1,487,3,,,24,2,1093,1,27,2,,,442,1,,,145,1,2,1,605,1,32,1,225,1,389,2,32,1,,,474,2,73,1,260,1,31,1,13,1,1813,2,,,9,1,,,18,1,,,22,1,17,1,19,1,10,1,17,1,,,2769,3
2223,58620,2,,,,,,,,,,,794,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,13,,,,,,,713,3,,,,,,,1772,14,,,,,,,,,11200,7,,,4216,3,,,,,1606,3,1004,2,,,2946,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,,,142,9,,,,,,,,,6326,1,2088,7,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,561,1,,,,,,,,,,,7,6,,,,,34,5,,,,,,,,,,,,,724,11,,,512,2,,,,,,,,,,,,,,,,,,,,,4481,1,,,,,12893,1,,,,,2731,7,,,,,,,,,,,,,,,5,5,,,156,2,,,,,114,6,,,,,244,8,,,,,,,,,,,,,293,3,,,,,503,1,,,,,353,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134,4
1406,53025,3,22,2,,,,,,,,,38,13,,,,,6,5,,,,,,,,,,,,,374,3,,,,,,,,,,,,,,,41,10,,,,,,,137,15,,,7,3,327,3,3573,5,,,,,660,2,,,18943,2,10,4,4729,2,43,5,9,4,380,6,625,4,,,3506,3,36,1,,,,,10,2,,,,,,,,,,,526,4,,,,,468,2,,,,,228,9,41,2,6,3,1820,2,,,,,,,15,4,1319,5,4695,2,,,8,3,8,3,,,,,,,,,,,,,,,10,2,,,,,,,105,5,,,,,,,,,,,,,,,,,47,4,,,,,,,,,,,,,1384,2,10,5,296,4,,,,,,,,,,,,,,,,,,,,,622,13,,,,,461,10,,,114,8,3778,5,,,,,,,13,2,13,2,,,514,1,,,36,11,48,7,,,,,675,2,,,,,534,3,,,,,,,,,,,,,,,,,,,107,6,,,,,144,6,,,,,,,,,138,6,,,,,,,5,2,,,,,,,,,,,7,3,,,1354,6
10816,40492,4,,,,,,,,,,,516,4,,,,,10,2,,,,,,,3,2,,,5,4,143,8,,,,,,,,,,,11,3,,,25,18,,,,,,,259,7,,,,,192,5,3353,6,,,,,80,8,,,15254,3,,,3370,4,49,4,,,360,7,324,6,,,2230,6,,,,,,,,,,,,,,,,,,,265,7,35,5,,,126,9,,,,,358,4,,,,,219,6,,,,,,,,,1525,4,2935,6,,,,,,,,,,,5,3,262,4,,,,,,,,,,,,,,,,,47,4,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,1046,5,7,8,196,5,,,6,1,,,,,,,,,,,,,,,,,1283,4,,,,,999,4,,,127,5,3844,4,,,,,,,,,,,,,42,6,,,63,9,,,,,,,,,,,,,499,4,,,,,,,,,3,4,,,,,,,3,4,76,8,,,,,148,4,,,,,,,,,170,5,,,,,,,3,4,,,,,,,,,,,,,,,12,132
2397,35350,5,10,4,9,3,,,8,2,,,760,3,,,,,7,4,125,2,,,4,3,,,,,6,3,534,2,,,,,12,4,,,31,1,34,2,,,50,6,,,5,2,5,2,332,5,,,3,6,628,2,3311,7,,,,,347,4,,,13114,4,2,33,1963,10,35,6,5,11,2567,2,226,8,,,1452,9,,,,,6,3,,,,,,,6,3,,,,,658,2,,,3,2,184,6,,,,,333,5,29,3,13,2,237,5,,,,,4,4,24,2,1004,8,1775,9,,,,,,,66,2,21,2,,,24,26,5,2,,,,,8,3,,,,,3,4,74,6,40,6,,,,,,,64,2,2,7,,,,,5,8,,,,,,,,,,,,,527,13,7,7,346,3,,,,,,,6,3,,,,,,,1,2,,,,,700,11,4,2,,,535,9,,,,,1455,12,,,,,,,9,4,,,,,64,4,,,82,5,50,6,,,,,144,4,,,,,385,6,9,3,,,18,6,,,,,,,69,9,,,4,3,222,3,,,,,97,11,13,3,,,,,3,2,48,8,11,1,,,,,5,3,,,,,,,,,,,8,2,,,355,17
2093,30014,6,,,,,,,,,,,77,10,,,,,,,12,4,,,,,,,,,,,45,12,,,,,10,5,8,4,,,,,,,30,15,6,2,,,,,242,9,,,,,50,19,1136,24,,,,,,,,,12672,5,7,8,1277,15,,,,,49,14,110,19,,,1106,14,,,,,,,,,12,2,,,,,,,11,2,58,23,17,7,,,40,12,,,,,94,22,10,6,,,105,11,,,,,,,,,775,15,4657,3,,,19,1,6,4,,,,,,,147,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,6,,,,,,,,,,,,,388,16,,,37,23,,,,,,,,,,,,,,,,,,,,,335,24,,,,,439,12,,,,,1698,9,,,,,6,2,,,,,,,,,,,34,12,20,12,,,,,,,8,2,,,186,11,,,9,2,,,,,,,,,220,4,,,,,40,12,,,,,40,16,,,,,,,,,476,3,,,,,,,,,,,17,2,,,,,,,,,9,1,3232,1
29351,24768,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,99,19,,,,,,,2588,10,,,,,,,,,3849,28,,,152,50,140,2,,,,,90,27,,,130,89,,,,,,,,,,,,,,,,,,,200,8,,,,,,,,,,,34,29,16,5,,,,,,,,,,,,,,,128,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,3,107,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,36,,,,,,,,,,,,,,,,,,,,,,,,,763,7,,,,,,,,,,,14346,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,37,,,,,,,,,,,,,,,,,,,,,,,,,1204,1,,,,,,,,,325,4,,,,,,,,,,,,,,,,,,,,,,,68,45
2181,23375,8,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,253,5,,,,,,,,,,,,,,,26,17,,,,,,,199,11,,,,,309,4,1734,15,,,,,311,5,,,7581,14,13,3,1163,17,128,3,11,2,,,294,7,,,1473,8,,,,,,,,,,,,,,,,,,,312,6,,,,,78,11,,,,,269,7,,,,,211,7,,,,,,,16,3,65,93,1023,15,,,,,,,39,3,,,,,37,20,,,,,,,,,,,,,7,2,46,9,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,6,19,3,175,6,,,,,,,,,,,,,,,,,,,,,1368,3,,,,,329,16,,,160,4,2106,8,,,,,,,13,3,,,,,46,5,,,76,6,41,9,,,,,,,11,1,,,971,2,,,,,,,,,,,,,173,5,,,,,103,7,,,,,145,5,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,7
463,21016,9,,,12,2,,,,,,,,,,,,,,,7,5,,,,,,,,,,,27,15,,,,,,,,,6,5,,,,,22,20,,,,,,,258,8,,,,,55,17,1701,16,,,,,,,,,10861,8,7,7,,,22,10,5,10,27,16,101,21,,,887,20,,,,,,,,,,,,,,,,,,,55,24,,,,,26,14,,,,,63,24,,,,,37,14,,,,,,,,,749,16,2004,8,,,,,,,,,,,,,57,15,,,,,,,5,7,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,15,6,9,36,25,,,,,,,,,,,,,,,,,,,,,391,20,,,,,853,5,,,,,1347,13,,,,,,,,,,,,,,,,,,,19,13,,,,,12,11,,,,,114,19,,,,,,,,,,,,,34,10,,,,,19,24,,,,,43,15,,,,,,,,,41,9,,,,,,,,,,,,,,,,,,,,,,,679,8
2162,20366,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,8,47,,,,,,,112,16,,,,,24,31,1289,21,,,,,,,,,9688,9,,,585,26,,,,,,,94,24,,,657,29,,,,,9,2,,,,,,,,,,,,,13,44,,,,,,,,,,,205,12,,,,,,,,,,,,,7,8,496,21,3,108,,,,,,,5,4,,,,,80,11,,,,,,,,,,,,,,,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,54,5,10,,,,,,,,,,,,,,,,,,,,,,,556,15,,,,,142,27,,,12,11,5549,3,,,,,,,,,,,,,12,8,,,,,7,16,,,,,,,,,,,86,20,,,,,,,,,,,,,,,,,,,33,15,,,,,97,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,10
