bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
320,22699,11,,,,,,,,,,,164,13,,,,,,,27,4,,,,,,,,,,,17,1,,,157,7,,,,,,,,,22,3,,,,,77,9,,,,,,,107,20,,,20,3,52,20,1874,19,,,,,,,224,5,,,7748,17,30,2,1737,16,31,9,,,73,15,212,9,,,,,4039,4,,,,,16,3,16,2,,,,,18,2,,,19,4,,,,,140,13,53,6,,,,,,,,,380,5,,,,,,,401,6,,,,,,,22,4,330,34,329,33,,,,,14,4,,,,,22,3,41,20,,,,,,,16,3,,,,,,,,,46,7,32,9,,,,,,,,,21,7,,,,,76,5,,,,,,,,,,,,,728,11,22,5,53,18,,,,,,,15,4,,,,,,,,,,,,,734,9,,,,,465,14,,,,,94,8,974,14,,,,,,,,,,,,,16,2,,,,,,,177,2,86,4,,,,,27,13,,,,,138,18,,,,,26,5,,,,,,,29,11,,,,,,,65,15,,,27,1,57,14,,,,,,,,,69,14,,,,,,,,,,,15,6,,,,,,,,,,,279,26
2425,21519,12,,,,,,,,,,,215,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,79,8,,,,,,,172,13,,,,,177,8,1841,20,,,,,,,,,,,5897,24,5,23,2472,11,,,1,18,148,10,196,10,,,,,1537,11,,,,,,,,,,,,,,,,,,,,,,,212,10,,,,,,,,,,,165,11,,,,,,,,,,,,,,,,,1200,8,954,21,,,,,,,,,,,,,3,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,24,,,,,,,,,,,,,,,,,,,,,,,,,816,8,,,,,1380,4,,,,,196,4,2836,7,,,,,,,,,,,,,,,,,,,,,77,8,,,,,,,,,,,,,185,14,,,,,10,7,,,,,,,,,,,,,,,,,,,,,229,4,,,,,,,,,30,17,,,,,,,,,,,,,,,,,,,,,,,202,30
25821,20930,13,,,,,,,,,,,600,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740,10,,,,,,,,,,,1371,84,4,29,1457,20,,,,,,,,,,,,,7157,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3596,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,7,,,,,,,,,,,,,,,,,,,,,,,2157,7
13,20841,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,7,,,,,,,112,19,,,5,8,28,28,1880,18,,,,,,,47,10,,,10164,12,6,16,1728,17,,,4,12,,,40,36,,,7,2,820,22,,,,,,,,,,,,,2,4,,,,,,,,,1051,3,,,,,,,,,,,103,17,,,10,1,,,,,,,,,,,,,407,30,1139,16,,,,,,,,,,,,,79,10,,,,,,,,,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,9,12,9,73,14,,,,,,,,,,,,,,,,,,,,,204,25,,,,,476,13,,,,,32,10,736,17,,,,,,,,,,,,,,,,,,,,,26,13,32,9,,,,,50,12,,,,,196,13,,,,,,,,,,,,,,,,,,,,,51,18,,,,,,,,,,,,,,,29,18,,,,,,,,,,,,,,,,,,,,,,,396,22
29351,19885,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,145,15,,,,,,,3462,9,,,,,,,,,,,3287,44,,,300,44,132,2,,,,,145,15,,,,,355,51,,,,,,,,,,,,,,,,,,,,,,,246,8,,,,,,,,,,,35,30,53,5,,,,,,,,,,,,,,,,,157,48,,,,,,,,,,,,,9,65,,,,,,,,,,,,,,,,,163,2,86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,33,,,,,,,,,,,,,,,,,,,,,,,,,866,7,,,,,,,,,,,,,8989,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,45,,,,,,,,,,,,,,,,,,,,,,,,,,,739,1,,,,,,,,,421,6,,,,,,,,,,,,,,,,,,,,,,,96,47
1294,19688,16,,,,,,,,,,,57,17,,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,17,,,,,,,,,,,,,61,17,1195,27,,,,,,,,,,,11822,8,5,20,1022,25,,,7,8,88,14,174,11,,,,,2063,8,,,,,,,,,,,,,,,14,4,,,,,,,189,11,,,,,,,,,,,120,15,,,,,,,18,16,,,,,10,4,,,964,11,,,,,,,,,,,,,,,176,5,,,,,,,,,,,,,,,,,,,19,11,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,457,16,,,51,19,,,,,,,3,8,,,,,,,,,,,,,49,50,,,,,,,,,,,,,448,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,10,,,,,335,8,,,,,,,,,,,,,22,12,,,,,,,19,30,,,,,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,32
811,18847,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,4,,,,,,,28,33,,,,,,,2063,15,,,,,,,,,,,5895,25,1,42,1792,15,,,,,,,158,13,,,,,1485,13,,,,,,,,,,,,,,,10,5,,,,,,,587,5,,,,,,,,,,,151,13,,,,,,,,,,,,,,,,,93,80,391,29,,,,,,,,,,,,,193,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,942,6,,,19,28,,,,,,,,,,,,,,,,,,,,,443,16,,,,,536,12,,,,,333,2,349,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3240,3
2136,17988,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,6,,,,,,,,,,,,,,,,,,,,,,,363,4,,,,,,,3707,7,,,,,,,,,,,7223,19,5,22,565,32,,,,,1282,4,,,,,,,532,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,8,,,,,228,8,19,6,,,,,,,,,,,,,,,498,25,,,,,,,,,,,,,,,9,62,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,1061,4,,,,,,,,,,,,,,,,,,,,,,,,,1148,5,,,,,,,,,,,,,92,64,,,,,,,,,,,,,,,,,15,7,,,159,3,,,,,6,2,,,9,3,,,409,5,,,,,,,,,,,,,,,,,,,,,214,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,52
3886,17747,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,4,,,,,,,,,,,,,,,24,25,,,,,,,188,11,,,,,69,13,3582,8,,,,,,,,,,,4322,31,11,11,688,30,27,13,13,5,94,13,119,22,,,,,606,31,,,,,7,5,,,,,,,,,,,,,,,,,25,42,,,,,,,,,,,571,2,,,,,,,,,,,,,,,,,1289,7,2655,11,,,,,,,,,,,,,35,28,,,,,,,,,24,2,,,9,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,35,8,13,80,13,,,,,,,,,,,,,,,,,,,,,288,22,,,,,1199,5,,,,,195,5,278,35,,,,,,,,,,,,,,,,,,,,,63,10,20,13,,,,,360,2,,,,,84,27,,,,,,,,,,,,,,,,,,,,,149,11,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,29
27443,17626,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,41,,,,,,,49,28,,,15,5,35,24,914,33,,,,,,,52,9,,,527,169,12,9,499,36,42,8,,,,,105,26,,,,,474,40,,,,,,,,,,,,,,,,,,,,,,,39,35,,,,,45,13,,,,,,,,,,,,,,,,,,,,,,,483,27,8811,2,,,,,,,,,,,,,233,3,,,,,,,,,,,,,,,,,,,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,31,,,,,,,,,,,,,,,,,,,,,,,,,328,21,,,,,233,25,,,,,,,771,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,1,,,,,,,,,,,,,47,19,,,,,,,,,256,8,,,,,,,,,,,,,,,,,,,,,,,2779,4
181,16684,21,13,5,,,,,,,,,204,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,14,,,,,,,,,,,,,92,11,2187,13,,,,,,,,,,,8233,16,,,1974,12,,,6,9,,,73,29,,,,,1132,20,,,,,,,,,,,,,,,,,,,,,,,141,12,,,,,172,7,,,,,64,23,,,,,,,,,,,,,,,,,245,43,163,47,,,,,,,,,,,,,,,,,,,,,5,8,,,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,20,,,44,24,,,,,,,,,,,,,,,,,,,,,181,27,,,,,246,23,,,,,,,525,23,,,,,,,,,,,,,,,,,197,2,,,,,,,,,,,,,,,,,169,15,,,,,,,,,,,,,15,16,,,,,,,46,19,,,,,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,43
5072,16447,22,,,,,,,,,,,1135,5,,,,,,,,,,,,,,,,,,,,,,,53,10,,,,,288,2,,,,,,,,,10,44,,,,,,,,,,,,,126,9,600,53,,,,,,,,,,,10866,11,4,28,153,60,,,,,17,21,,,,,,,443,44,,,,,,,,,,,,,,,,,84,2,,,,,,,500,2,,,,,,,,,,,,,,,,,206,8,,,,,,,,,99,76,924,22,,,,,,,,,,,,,38,24,,,,,,,,,,,,,,,,,,,,,,,,,35,2,,,46,3,,,150,2,33,8,,,,,,,,,,,,,71,59,6,15,121,7,,,,,,,,,,,,,,,,,,,,,,,,,,,27,56,,,,,,,142,53,,,,,,,,,,,,,,,,,,,38,2,,,,,,,,,,,,,,,30,47,,,,,124,3,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,59
28,15440,23,,,,,,,,,,,585,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,71,,,,,,,,,,,7222,20,,,3192,9,,,,,,,19,56,,,,,584,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,11,,,,,,,,,547,21,2396,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,68,,,,,,,,,,,,,,,,,,,,,193,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50381,14964,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,22,1040,30,,,,,,,,,,,11354,9,,,542,34,,,,,36,18,136,17,,,,,262,61,,,,,,,,,,,,,,,,,,,,,,,133,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783,14,89,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
