bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,136524,1,207,1,37,1,38,1,24,1,24,1,3772,1,20,1,27,1,23,1,35,1,43,1,3,1,15,1,909,1,32,1,21,1,16,1,,,24,1,576,1,98,1,102,1,416,1,18,1,39,1,221,1,15,1,273,1,18,1,15,1,59,1,1062,1,9,1,38,1,347,2,6786,1,10,1,25,1,24,1,563,1,11,1,32122,1,83,1,18780,1,582,1,62,1,3286,1,1371,2,8,1,27,1,6159,1,,,17,1,27,1,34,1,15,2,10,1,15,1,39,1,103,1,21,1,,,1883,1,1396,1,76,1,512,1,13,1,15,1,1377,1,491,1,,,13,1,1373,2,17,1,26,1,20,1,97,1,4644,1,3353,2,21,1,30,1,20,2,500,1,486,1,241,1,420,3,21,1,9,1,63,2,61,1,39,1,17,1,11,5,70,1,11,1,412,1,203,1,16,1,16,1,46,1,130,1,198,1,62,1,795,1,1165,1,21,1,53,1,15,1,27,1,25,1,17,1,1135,2,38,1,370,2,15,1,,,18,1,18,2,17,1,12,1,7,1,27,1,,,13,1,4441,1,14,1,32,1,3446,2,22,1,15,1,697,1,8083,3,14,1,19,1,18,1,15,1,18,1,24,1,20,1,12,1,142,3,175,1,419,1,266,1,,,279,1,360,2,,,25,1,829,2,59,1,,,286,1,,,678,1,21,1,761,2,33,1,77,1,240,1,2140,2,28,1,,,687,1,99,1,758,1,29,1,6,1,4230,1,,,13,1,,,20,1,,,27,1,15,1,17,1,23,1,17,1,,,5922,3
27443,92613,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,16,,,,,,,74,22,,,23,2,49,17,2669,9,,,,,,,47,10,,,1173,78,19,4,471,31,34,5,,,,,105,23,,,,,716,24,,,,,,,,,,,,,,,,,,,,,,,52,33,,,,,69,11,,,,,,,,,,,,,,,,,,,,,,,410,22,2984,3,,,,,,,,,,,,,840,2,,,,,,,,,,,,,,,,,,,,,40,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,27,,,,,,,,,,,,,,,,,,,,,,,,,289,19,,,,,179,21,,,,,,,51441,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25394,1,,,,,,,,,,,,,63,14,,,,,,,,,368,8,,,,,,,,,,,,,,,,,,,,,,,4838,5
10816,62552,3,,,,,,,,,,,514,6,,,,,,,,,14,3,,,,,,,,,,,9,2,,,9,4,122,7,,,,,,,,,,,5,3,,,61,7,,,,,,,314,5,,,,,130,6,3824,3,,,,,,,67,8,,,13868,5,,,3639,3,42,4,,,692,5,387,7,,,,,2967,3,,,,,,,,,,,,,,,,,,,,,,,426,6,51,6,,,148,7,,,,,426,4,,,,,,,582,4,,,,,,,,,1550,3,2225,6,,,,,,,,,,,8,3,345,4,,,,,,,,,,,,,,,,,,,,,48,4,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,676,10,6,11,233,4,,,9,1,,,,,,,,,,,,,,,,,1353,3,,,,,1187,3,,,,,215,3,19672,2,,,,,,,,,,,,,,,,,12,7,,,71,9,,,,,,,103,7,,,,,296,6,,,,,,,,,,,,,,,,,,,10,5,345,7,,,,,187,6,,,,,,,,,566,6,,,,,,,9,3,,,6,7,,,,,,,,,,,5112,4
2223,54761,4,,,,,,,,,,,2304,2,,,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,6,,,,,,,681,2,,,,,126,7,2164,11,,,,,,,,,,,12357,8,,,4177,2,,,,,2409,3,1501,1,,,,,2820,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,3,,,,,830,3,,,,,,,,,2797,2,2387,5,,,,,9,5,,,,,,,119,10,,,,,,,,,,,,,,,,,,,80,3,,,,,,,,,,,12,5,,,,,173,4,,,,,,,,,,,,,615,12,,,609,1,,,,,,,,,,,,,,,,,,,,,2670,2,,,,,4144,1,,,,,39,11,2172,8,,,,,,,,,,,,,,,,,,,13,3,,,146,2,,,18,3,86,8,,,,,164,9,,,,,,,,,,,,,356,3,,,,,,,3186,1,,,,,289,4,,,,,,,,,2102,2,,,,,,,,,,,4,10,,,,,,,,,,,3043,6
1406,46939,5,31,2,,,,,,,,,828,5,,,,,,,,,27,2,,,,,40,3,,,,,,,,,,,160,6,,,,,,,,,,,,,,,89,4,,,,,,,139,15,,,8,4,176,4,3050,6,,,,,,,243,4,,,18725,2,11,8,2865,4,32,6,29,2,344,7,597,4,,,,,2583,6,15,1,,,,,8,2,,,,,,,10,4,,,,,,,919,4,,,,,274,3,,,,,195,9,76,2,,,9,2,2434,1,,,,,,,16,2,1168,5,2024,8,,,10,3,16,3,,,,,,,143,8,,,,,73,1,13,4,,,,,,,,,,,58,6,15,11,,,,,,,,,,,,,,,163,5,,,,,,,,,,,,,1245,1,12,5,322,3,,,,,,,30,1,,,,,,,,,,,,,416,13,,,,,498,10,,,,,142,6,2168,9,,,,,,,,,,,7,2,11,2,,,343,1,,,35,13,25,8,,,,,123,5,,,,,426,4,,,,,,,,,,,,,63,10,,,,,,,160,12,,,,,137,7,9,4,,,,,,,780,4,,,,,,,6,4,,,6,5,,,,,,,16,2,,,2343,7
2397,39868,6,21,3,17,2,,,9,2,,,1753,3,,,,,,,,,13,5,,,,,144,2,,,13,2,,,,,10,3,326,2,,,,,12,5,,,33,2,18,2,,,57,8,,,11,2,7,3,231,8,,,11,3,461,1,3784,4,,,,,,,414,3,,,14016,4,14,7,2625,5,27,8,9,6,3045,2,191,11,,,,,1634,9,,,,,16,2,,,,,,,,,19,2,,,,,,,1238,2,,,5,2,140,9,,,,,315,6,64,4,,,7,3,33,13,,,,,3,5,8,7,861,7,2005,9,,,,,,,88,2,27,2,,,38,23,15,2,,,,,14,3,,,,,12,4,11,3,,,51,7,44,5,,,,,,,80,2,5,7,,,,,10,9,,,,,,,,,,,,,600,13,12,6,212,5,,,,,,,4,5,,,,,,,7,3,,,,,621,7,10,2,,,592,8,,,,,,,1776,10,,,,,,,,,,,7,3,,,,,55,4,,,60,10,52,4,,,,,116,6,,,,,274,7,13,3,,,31,4,,,,,,,72,8,,,,,21,3,490,5,,,,,109,9,13,3,,,,,4,2,99,13,19,1,,,,,10,2,,,10,3,,,,,,,12,3,,,552,20
2093,36864,7,,,,,,,,,,,101,16,,,,,,,,,,,,,,,18,5,,,,,,,,,,,48,10,,,,,8,6,9,2,,,,,,,53,9,10,2,,,,,164,12,,,,,53,16,1461,21,,,,,,,,,,,14359,3,17,5,1695,9,,,,,69,14,150,14,,,,,972,16,,,,,,,,,16,1,,,,,,,,,3,2,,,114,16,17,7,,,79,10,,,,,125,13,18,8,,,,,165,8,,,,,,,,,680,10,5530,1,,,15,2,9,4,,,4,3,,,185,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,7,,,,,,,,,,,,,436,16,,,59,12,,,,,,,,,,,,,,,,,,,,,342,15,,,,,702,6,,,,,,,1269,12,,,,,1,2,,,,,,,,,,,,,,,73,8,20,12,,,,,,,8,2,,,138,11,,,4,2,,,,,,,,,353,4,,,,,,,172,11,,,,,76,11,,,,,,,,,564,7,,,,,,,,,,,10,2,,,,,,,,,7,1,6432,2
811,26493,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,11,,,,,,,20,45,,,,,,,2058,13,,,,,,,,,,,6702,15,7,14,782,24,,,,,,,203,10,,,,,1889,8,,,,,,,,,,,,,,,12,3,,,,,,,745,5,,,,,,,,,,,124,14,,,,,,,,,,,,,,,,,78,74,299,28,,,,,,,,,,,,,188,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,6,,,19,29,,,,,,,,,,,,,,,,,,,,,308,17,,,,,496,11,,,,,216,2,287,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,17,,,,,28,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11025,1
2162,24955,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,9,56,,,,,,,150,14,,,,,39,23,1538,16,,,,,,,,,,,12710,6,,,1040,18,,,,,,,110,22,,,,,949,17,,,,,5,6,,,,,,,,,,,,,,,,,19,49,,,,,,,,,,,104,15,,,,,,,18,17,,,,,,,10,5,419,20,356,24,,,,,,,7,4,,,,,69,12,,,,,,,,,,,,,,,,,,,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,38,7,10,,,,,,,,,,,,,,,,,,,,,,,540,10,,,,,251,17,,,,,28,14,4129,5,,,,,,,,,,,,,,,,,3,12,,,,,10,15,,,,,20,17,,,,,131,14,,,,,,,,,,,,,,,,,,,,,113,14,,,,,130,8,,,,,,,,,193,10,,,,,,,,,,,,,,,,,,,,,,,1705,9
2181,24459,10,,,,,,,,,,,190,12,,,,,,,,,,,,,,,,,,,5,3,,,,,,,195,4,,,,,,,,,,,,,,,30,20,,,,,,,134,16,,,,,84,8,1750,14,,,,,,,166,5,,,7125,13,7,16,1120,16,60,3,6,13,,,220,9,,,,,1126,14,,,,,,,,,,,,,,,,,,,,,,,232,9,,,,,61,13,,,,,375,5,,,,,,,194,7,,,,,,,16,3,721,9,1103,11,,,,,,,32,3,,,,,31,30,,,,,,,,,,,,,,,10,4,,,39,8,59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,8,10,7,122,7,,,,,,,,,,,,,,,,,,,,,963,5,,,,,246,18,,,,,141,7,2382,7,,,,,,,,,,,5,5,,,,,24,5,,,57,11,28,7,,,,,42,10,15,1,,,1943,1,,,,,,,,,,,,,95,7,,,,,,,288,8,,,,,239,5,38,2,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,,,,1923,8
