bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,99317,1,112,1,33,1,28,1,31,1,31,1,2279,1,25,1,25,1,65,1,34,2,3,1,79,1,360,1,39,1,41,1,24,2,,,49,1,394,1,171,1,188,1,772,1,38,1,65,1,225,1,24,1,384,1,23,1,22,1,43,1,599,2,17,1,36,1,394,1,4914,1,18,1,25,1,25,1,485,3,27,1,27330,2,55,1,9663,1,401,1,74,1,2147,3,2127,1,70,1,62,1,3308,2,,,25,1,49,1,21,1,15,1,49,1,18,1,27,1,157,1,21,1,,,1511,4,1470,1,98,1,383,2,42,1,20,1,893,1,390,1,,,55,1,1770,3,27,1,15,1,26,1,106,1,2736,2,2749,3,27,1,73,1,34,2,349,1,522,1,141,1,396,2,19,1,21,1,91,1,62,1,41,1,87,1,53,1,50,1,306,1,166,1,24,1,33,1,22,2,67,1,225,1,81,1,745,1,461,2,31,1,46,1,19,1,34,1,28,2,14,1,761,5,40,1,377,2,21,1,,,29,1,35,2,18,1,76,1,15,1,29,1,,,22,1,2277,2,27,1,29,1,4497,2,27,1,57,1,340,1,5965,4,28,1,18,1,36,1,23,1,39,1,38,1,22,1,24,1,111,3,108,1,256,1,171,1,,,204,1,271,2,,,40,3,939,1,62,2,,,191,1,,,294,1,53,1,493,4,26,1,72,1,125,1,1135,2,21,1,,,322,2,98,1,147,1,71,1,26,1,2219,1,,,36,1,,,35,2,,,63,1,11,1,30,1,25,1,43,1,,,2424,3
2223,75007,2,,,,,,,,,,,1444,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,7,,,,,,,708,1,,,,,165,5,1851,14,,,,,,,,,,,28536,1,,,5257,2,,,,,2707,2,1177,2,,,,,2487,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,3,,,,,301,7,,,,,,,,,3840,1,3335,2,,,,,4,6,,,,,,,81,13,,,,,,,,,,,,,,,,,96,3,,,,,,,,,,,31,4,,,,,142,3,,,,,,,,,,,,,761,6,,,480,1,,,,,,,,,,,,,,,,,,,,,3233,1,,,,,9047,1,,,,,,,2172,8,,,,,,,,,,,,,,,,,,,7,4,,,153,2,,,13,2,72,8,,,,,215,11,,,,,,,,,,,,,536,2,,,,,,,2622,1,,,,,200,3,,,,,,,,,1568,2,,,,,,,,,,,3,9,,,,,,,,,,,1677,6
1406,44880,3,52,2,,,,,,,,,575,4,,,,,,,18,3,,,,,31,3,,,,,,,,,,,134,5,,,,,,,,,,,,,,,67,4,,,,,,,128,14,,,11,4,203,4,2916,8,,,,,,,363,4,,,17776,3,14,2,2652,5,62,5,20,2,332,6,693,3,,,,,2373,4,51,1,,,,,9,2,,,,,,,,,,,,,,,1773,1,,,,,269,3,,,,,166,9,37,4,,,11,2,2655,1,,,,,,,20,5,1258,6,2169,7,,,26,2,11,3,,,,,,,90,10,,,,,,,9,4,,,,,,,,,70,4,18,9,,,,,,,,,,,,,,,72,6,,,,,,,,,,,,,1056,2,10,7,246,3,,,,,,,51,1,,,,,,,,,,,,,379,15,,,,,579,10,,,,,87,7,2344,7,,,,,,,,,,,6,6,12,2,,,335,1,,,46,12,29,9,,,,,96,7,,,,,718,2,,,,,,,,,,,,,,,,,,,,,145,8,,,,,112,8,5,4,,,,,,,377,6,,,,,,,8,3,,,11,4,,,,,,,15,2,,,1079,9
10816,44424,4,,,,,,,,,,,378,7,,,,,,,45,1,,,,,,,,,,,40,1,,,40,2,134,6,,,,,,,,,,,39,2,,,87,2,,,,,,,255,5,,,,,156,6,2770,9,,,,,,,101,7,,,10766,8,,,3929,3,80,4,,,439,5,341,7,,,,,1745,6,,,,,,,,,,,,,,,,,,,,,,,419,8,53,6,,,160,4,,,,,322,3,,,,,,,552,4,,,,,,,,,1767,4,2066,8,,,,,,,,,,,37,2,183,6,,,,,,,,,,,,,,,,,,,85,2,,,,,,,,,,,,,,,,,,,,,,,,,38,1,,,569,9,39,2,223,4,,,41,1,,,,,,,,,,,,,,,,,1702,3,,,,,2013,3,,,,,157,3,9094,1,,,,,,,,,,,,,,,,,34,5,,,91,5,,,,,,,108,4,,,,,352,6,,,,,,,,,,,,,,,,,,,38,2,262,6,,,,,161,6,,,,,,,,,328,7,,,,,,,45,1,,,29,2,,,,,,,,,,,2111,5
2397,36918,5,25,3,17,3,,,9,2,,,1166,3,,,,,,,13,5,,,,,144,2,,,5,3,,,,,4,6,320,2,,,,,14,5,,,16,3,23,3,,,43,11,,,12,2,14,2,229,7,,,14,3,391,2,3593,3,,,,,,,630,2,,,13796,5,9,7,2480,6,32,8,9,4,2823,1,202,8,,,,,1288,12,,,,,10,3,,,,,,,,,21,2,,,,,,,1223,5,,,12,2,121,6,,,,,275,4,89,2,,,11,3,23,14,,,,,7,4,36,2,1027,7,1552,9,,,,,,,82,2,26,2,,,37,24,19,2,,,,,18,2,,,,,16,2,11,3,56,6,45,5,,,,,,,63,2,6,6,,,,,11,10,,,,,,,,,,,,,453,14,11,6,164,5,,,,,,,8,3,,,,,,,8,3,,,,,463,12,3,2,,,577,11,,,,,,,1314,12,,,,,,,,,,,9,3,,,,,78,4,,,48,11,41,7,,,,,100,6,,,,,361,5,11,3,,,14,5,,,,,,,64,9,,,,,7,4,401,5,,,,,65,11,22,3,,,,,19,2,77,12,16,1,,,,,7,4,,,8,6,,,,,,,12,3,,,439,18
2093,30075,6,,,,,,,,,,,62,16,,,,,,,,,,,,,16,4,,,,,,,,,,,38,13,,,,,12,6,10,4,,,,,,,37,14,5,2,,,,,144,13,,,,,42,23,1094,23,,,,,,,,,,,12454,6,5,22,1431,13,,,,,57,14,134,23,,,,,837,19,,,,,,,,,13,2,,,,,,,,,4,2,,,129,21,7,7,,,41,13,,,,,100,16,13,7,,,,,129,10,,,,,,,,,591,17,4932,1,,,19,3,5,5,,,5,4,,,175,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,7,,,,,,,,,,,,,462,13,,,39,22,,,,,,,,,,,,,,,,,,,,,361,16,,,,,703,7,,,,,,,1439,10,,,,,8,2,,,,,,,,,,,,,,,72,9,14,12,,,,,,,9,2,,,137,18,,,9,2,,,,,,,,,295,5,,,,,,,134,11,,,,,51,16,,,,,,,,,451,5,,,,,,,,,,,7,7,,,,,,,,,14,1,3273,1
2162,26716,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,12,35,,,,,,,124,15,,,,,43,22,1972,13,,,,,,,,,,,14040,4,,,951,21,,,,,,,148,16,,,,,1097,13,,,,,8,5,,,,,,,,,,,,,,,,,27,51,,,,,,,,,,,203,7,,,,,,,5,19,,,,,,,6,10,603,15,288,30,,,,,,,3,4,,,,,63,17,,,,,,,,,,,,,,,,,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,38,6,14,,,,,,,,,,,,,,,,,,,,,,,550,9,,,,,253,19,,,,,11,14,4160,5,,,,,,,,,,,,,,,,,5,9,,,,,6,16,,,,,16,15,,,,,142,17,,,,,,,,,,,,,,,,,,,,,47,17,,,,,116,7,,,,,,,,,71,13,,,,,,,,,,,,,,,,,,,,,,,1604,7
463,22781,8,15,5,27,2,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,23,16,,,,,,,,,4,6,,,,,33,17,,,,,,,258,4,,,,,83,11,2019,12,,,,,,,,,,,11208,7,2,38,926,22,17,11,3,14,5,23,136,21,,,,,979,17,,,,,,,,,,,,,,,,,,,,,,,97,25,,,,,15,14,,,,,59,21,,,,,,,37,12,,,,,,,,,826,10,2395,6,,,,,,,,,,,,,33,28,,,,,,,7,7,,,,,,,,,16,12,,,,,,,,,,,,,,,,,11,9,,,,,,,,,,,,,266,23,5,16,49,17,,,,,,,,,,,,,,,,,,,,,384,14,,,,,721,6,,,,,,,1089,14,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,,12,17,,,,,161,14,,,,,,,,,,,,,44,11,,,,,,,34,21,,,,,63,12,,,,,,,,,44,16,,,,,,,,,,,,,,,,,,,,,,,658,13
2181,21160,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,,,,,,,186,3,,,,,,,,,,,,,,,45,9,,,,,,,154,12,,,,,150,7,1599,15,,,,,,,195,5,,,6397,15,13,3,1422,14,92,2,6,7,,,170,11,,,,,1010,16,,,,,,,,,,,,,,,,,,,,,,,244,11,,,,,94,9,,,,,194,8,,,,,,,365,5,,,,,,,29,4,706,13,942,13,,,,,,,40,3,,,,,27,32,,,,,,,,,,,,,,,14,2,43,8,49,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,12,14,4,147,6,,,,,,,,,,,,,,,,,,,,,1056,5,,,,,332,16,,,,,130,5,1896,9,,,,,,,,,,,8,4,,,,,30,6,,,90,6,46,6,,,,,27,12,14,1,,,668,3,,,,,,,,,,,,,250,6,,,,,,,216,7,,,,,166,5,25,2,,,,,,,,,,,,,,,,,,,15,3,,,,,,,,,,,1370,8
13,18234,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,5,,,,,,,108,16,,,8,5,44,21,1365,20,,,,,,,59,8,,,8022,10,7,12,1924,9,,,5,10,,,53,33,,,7,2,686,22,,,,,,,,,,,,,3,4,,,,,,,,,1639,2,,,,,,,,,,,82,19,,,13,1,,,,,,,,,,,,,284,31,1058,12,,,,,,,,,,,,,69,15,,,,,,,,,,,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,10,6,12,99,8,,,,,,,,,,,,,,,,,,,,,178,23,,,,,340,15,,,,,41,10,757,17,,,,,,,,,,,,,,,,,,,,,21,13,35,8,,,,,38,11,,,,,221,9,,,,,,,,,,,,,,,,,,,,,32,22,,,,,,,,,,,,,,,25,19,,,,,,,,,,,,,,,,,,,,,,,401,21
