bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,197356,1,180,1,46,1,40,1,35,1,31,1,5361,1,41,1,26,1,21,1,68,1,2,1,17,1,1305,1,47,1,16,1,39,1,,,101,1,975,1,137,1,315,1,466,1,31,1,31,1,501,1,20,1,524,1,20,1,14,1,84,1,1266,1,12,1,54,1,710,1,11915,1,20,1,15,1,18,1,1043,1,25,1,47605,1,62,1,22174,1,598,1,76,1,4754,1,2278,1,26,1,62,1,9973,1,,,28,1,46,1,48,1,20,1,22,1,28,1,51,1,98,1,12,1,,,3148,1,1687,1,69,1,874,1,15,1,14,1,2341,1,725,1,,,42,1,1696,2,28,1,30,1,45,1,120,1,9947,1,4805,2,25,1,25,1,35,2,855,1,2640,1,145,1,486,2,19,1,16,1,332,1,76,1,83,1,15,1,66,1,24,1,760,1,351,1,15,1,23,2,25,2,138,1,215,1,105,1,1070,1,340,2,14,1,101,1,18,1,37,1,22,1,20,1,2652,1,45,1,569,1,54,1,,,15,1,23,3,22,1,18,1,18,1,30,1,,,91,1,6888,1,19,1,27,1,4222,2,37,1,21,1,1121,1,14188,1,19,1,14,1,14,1,19,1,14,1,30,1,48,1,15,1,207,3,88,1,702,1,387,1,,,367,1,641,2,,,39,2,1260,2,47,2,,,182,1,,,326,1,44,1,1108,1,42,1,105,1,208,1,2832,2,44,1,,,736,2,57,1,565,1,45,1,16,1,2188,4,,,27,1,,,21,1,,,24,1,17,1,21,1,19,1,29,1,,,7514,8
10816,91747,2,,,,,,,,,,,436,7,,,,,,,38,2,,,,,,,,,,,22,2,,,16,2,172,9,,,,,,,,,,,21,2,,,53,15,,,,,,,291,8,,,,,188,4,3095,8,,,,,,,106,9,,,15412,6,,,4788,3,57,4,,,508,6,357,6,,,,,2152,9,,,,,,,,,,,,,,,,,,,,,,,345,7,56,6,,,216,9,,,,,520,4,,,,,,,684,3,,,,,,,,,2040,5,2143,7,,,,,,,,,,,13,3,184,8,,,,,,,,,,,,,,,,,,,72,4,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,759,10,16,6,322,3,,,27,1,,,,,,,,,,,,,,,,,1904,3,,,,,1956,3,,,,,257,4,9792,2,,,,,,,,,,,,,,,,,31,5,,,65,11,,,,,,,137,8,,,,,368,7,,,,,,,,,,,,,,,,,,,15,3,504,6,,,,,234,7,,,,,,,,,4046,2,,,,,,,12,2,,,21,3,,,,,,,,,,,37282,1
2223,79857,3,,,,,,,,,,,1676,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,8,,,,,,,1112,2,,,,,155,6,2605,11,,,,,,,,,,,17270,5,,,5818,2,,,,,3237,3,1654,2,,,,,3511,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,4,,,,,530,5,,,,,,,,,4263,2,2775,5,,,,,15,4,,,,,,,118,10,,,,,,,,,,,,,,,,,177,4,,,,,,,,,,,16,5,,,,,188,3,,,,,,,,,,,,,724,11,,,507,2,,,,,,,,,,,,,,,,,,,,,4709,2,,,,,7910,1,,,,,,,3235,8,,,,,,,,,,,,,,,,,,,8,4,,,307,2,,,84,2,153,7,,,,,209,12,,,,,,,,,,,,,465,4,,,,,,,3177,1,,,,,339,4,,,,,,,,,4154,1,,,,,,,,,,,5,9,,,,,,,,,,,8585,5
2093,73341,4,,,,,,,,,,,90,16,,,,,,,,,,,,,20,4,,,,,,,,,,,74,10,,,,,7,7,12,3,,,,,,,101,3,2,2,,,,,191,17,,,,,57,20,1747,21,,,,,,,,,,,20940,2,7,14,2430,7,,,,,44,15,153,19,,,,,1487,13,,,,,,,,,15,2,,,,,,,,,4,2,,,111,21,8,7,,,90,12,,,,,195,12,17,6,,,,,198,9,,,,,,,,,894,14,7687,1,,,13,3,8,6,,,7,4,,,264,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,6,,,,,,,,,,,,,448,18,,,75,13,,,,,,,,,,,,,,,,,,,,,612,12,,,,,790,6,,,,,,,2056,11,,,,,9,2,,,,,,,,,,,,,,,108,7,55,8,,,,,,,39,2,,,225,9,,,4,2,,,,,,,,,438,5,,,,,,,204,11,,,,,112,13,,,,,,,,,960,5,,,,,,,,,,,21,2,,,,,,,,,19,1,30221,3
1406,57219,5,28,2,,,,,,,,,923,4,,,,,,,25,3,,,,,54,3,,,,,,,,,,,408,3,,,,,,,,,,,,,,,88,4,,,,,,,177,19,,,22,2,319,3,3819,6,,,,,,,590,2,,,19770,3,13,5,2903,5,47,5,17,3,672,5,858,3,,,,,3325,5,14,1,,,,,16,2,,,,,,,7,8,,,,,,,741,4,,,,,567,2,,,,,296,8,111,3,,,10,3,2320,1,,,,,,,26,3,1814,6,2460,6,,,15,2,15,3,,,,,,,132,9,,,,,177,2,14,5,,,,,,,,,177,3,21,11,,,,,,,,,,,,,,,134,4,,,,,,,,,,,,,1661,2,13,8,301,4,,,,,,,58,2,,,,,,,,,,,,,548,16,,,,,453,12,,,,,229,6,4592,6,,,,,,,,,,,8,2,12,2,,,864,1,,,42,13,49,10,,,,,204,6,,,,,535,3,,,,,,,,,,,,,67,10,,,,,,,258,10,,,,,249,6,10,4,,,,,,,370,7,,,,,,,10,3,,,7,5,,,,,,,11,3,,,3543,10
811,51365,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,6,,,,,,,17,49,,,,,,,2803,9,,,,,,,,,,,8723,12,4,26,1146,20,,,,,,,223,12,,,,,2546,7,,,,,,,,,,,,,,,14,4,,,,,,,724,5,,,,,,,,,,,226,11,,,,,,,,,,,,,,,,,190,52,363,25,,,,,,,,,,,,,282,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356,3,,,40,23,,,,,,,,,,,,,,,,,,,,,353,21,,,,,503,10,,,,,345,2,433,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30957,2
2397,50267,7,21,3,8,4,,,7,2,,,1520,3,,,,,,,10,6,,,,,182,2,,,1,3,,,,,9,5,590,2,,,,,21,6,,,17,2,20,3,,,77,9,,,5,2,9,2,363,6,,,12,5,628,2,4582,3,,,,,,,397,5,,,18663,4,16,3,3519,4,32,7,17,4,3888,2,261,9,,,,,1981,10,,,,,11,4,,,,,,,,,23,2,,,,,,,1017,2,,,10,2,246,8,,,,,419,6,117,2,,,14,2,38,13,,,,,1,8,27,2,1320,8,1994,10,,,,,,,103,2,47,2,,,35,30,14,2,,,,,15,3,,,,,44,2,8,3,63,8,55,5,,,,,,,78,2,6,7,,,,,16,9,,,,,,,,,,,,,869,8,26,2,143,7,,,,,,,177,1,,,,,,,3,3,,,,,800,9,4,2,,,615,8,,,,,,,2015,12,,,,,,,,,,,7,4,,,,,71,4,,,99,8,73,6,,,,,296,5,,,,,455,5,8,3,,,21,4,,,,,,,63,11,,,,,11,5,807,5,,,,,171,8,26,2,,,,,7,2,78,14,26,1,,,,,7,4,,,4,10,,,,,,,18,2,,,790,20
2181,31148,8,,,,,,,,,,,220,10,,,,,,,,,,,,,,,,,7,2,,,,,,,257,6,,,,,,,,,,,,,,,72,11,,,,,,,274,9,,,,,144,8,1603,23,,,,,,,246,6,,,7783,16,12,6,1470,14,191,2,7,11,,,194,15,,,,,1131,18,,,,,,,,,,,,,,,,,,,,,,,198,10,,,,,112,11,,,,,398,7,,,,,,,205,8,,,,,,,21,5,914,13,961,13,,,,,,,46,3,,,,,31,34,,,,,,,,,,,,,,,10,2,31,9,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461,16,23,4,176,5,,,,,,,,,,,,,,,,,,,,,1158,6,,,,,347,15,,,,,153,8,2293,10,,,,,,,,,,,7,3,,,,,30,6,,,65,10,39,11,,,,,54,13,42,1,,,1385,1,,,,,,,,,,,,,166,6,,,,,,,352,8,,,,,282,5,20,3,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,7519,7
2162,28403,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,,,,11,52,,,,,,,199,16,,,,,31,30,2185,16,,,,,,,,,,,13570,8,,,926,24,,,,,,,114,25,,,,,1243,15,,,,,8,5,,,,,,,,,,,,,,,,,34,44,,,,,,,,,,,163,15,,,,,,,18,16,,,,,,,5,10,636,20,262,33,,,,,,,6,4,,,,,117,11,,,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,45,10,10,,,,,,,,,,,,,,,,,,,,,,,583,15,,,,,265,16,,,,,24,12,5282,5,,,,,,,,,,,,,,,,,4,10,,,,,16,15,,,,,27,16,,,,,140,18,,,,,,,,,,,,,,,,,,,,,85,17,,,,,159,9,,,,,,,,,127,11,,,,,,,,,,,,,,,,,,,,,,,1993,12
463,24700,10,7,6,20,2,,,,,,,46,22,,,,,,,,,,,,,11,6,,,,,,,,,,,22,19,,,,,,,,,6,6,,,,,42,19,,,,,,,258,10,,,,,63,17,2367,14,,,,,,,,,,,11027,9,3,36,1006,22,32,6,6,12,26,19,141,21,,,,,1213,16,,,,,,,,,,,,,,,,,,,,,,,111,20,,,,,18,15,,,,,71,24,,,,,,,44,11,,,,,,,,,1132,11,2848,4,,,,,,,,,,,,,57,21,6,3,,,,,10,7,,,,,,,,,13,12,,,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,312,23,9,12,24,28,,,,,,,,,,,,,,,,,,,,,409,18,,,,,850,5,,,,,,,1141,16,,,,,,,,,,,,,,,,,,,,,,,32,12,,,,,19,17,,,,,190,15,,,,,,,,,,,,,70,9,,,,,,,85,16,,,,,69,18,,,,,,,,,31,19,,,,,,,,,,,,,,,,,,,,,,,846,18
