bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,109217,1,209,1,59,1,36,1,32,1,33,1,3546,1,22,1,39,1,35,2,251,1,58,1,27,1,37,1,,,55,1,460,2,51,1,64,1,433,1,34,1,62,1,283,1,29,1,201,1,25,1,26,1,35,1,593,4,28,1,60,1,408,4,5543,2,29,1,28,1,526,4,,,33818,1,61,1,11371,1,532,1,54,1,2049,3,964,2,36,1,4103,5,,,26,1,51,1,32,1,30,1,30,1,58,1,238,1,29,1,,,1183,1,3861,1,43,1,360,3,28,1,25,1,903,1,126,1,27,1,1660,2,26,1,33,1,31,1,85,1,3703,3,3057,6,28,1,40,1,39,2,250,1,148,1,149,1,430,3,30,1,,,31,1,75,1,39,1,30,1,45,1,33,1,355,3,194,1,26,1,32,1,,,68,2,171,1,52,1,1390,1,186,2,29,1,39,1,32,1,27,1,37,1,23,1,1072,8,39,1,368,3,2,1,,,28,1,22,1,33,1,26,1,23,1,29,1,,,34,1,2049,2,31,1,32,1,4571,2,28,1,325,1,4620,4,36,1,30,1,25,1,41,1,45,1,36,1,119,3,60,1,297,1,146,4,,,175,1,319,3,,,26,3,865,2,35,2,,,284,1,,,187,1,3,1,623,2,39,1,238,1,402,1,34,1,,,339,3,68,1,180,1,41,1,25,1,2581,1,,,23,1,,,27,1,,,39,1,25,1,30,1,28,1,29,1,,,2367,4
2223,87070,2,,,,,,,,,,,985,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,10,,,,,,,1434,1,,,,,754,1,2139,13,,,,,,,,,13359,7,,,4687,2,,,,,3013,1,970,1,,,5808,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,4,,,155,8,,,,,,,,,27979,1,3801,4,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,590,1,,,,,,,,,,,28,2,,,,,32,6,,,,,,,,,,,,,986,10,,,819,1,,,,,,,,,,,,,,,,,,,,,5138,1,,,,,6321,1,,,,,2566,5,,,,,,,,,,,,,,,13,3,,,463,1,,,,,173,5,,,,,275,9,,,,,,,,,,,,,535,3,,,,,377,2,,,,,391,2,,,,,,,,,650,2,,,,,,,,,,,7,5,,,,,,,,,,,2533,3
10816,53839,3,,,,,,,,,,,517,6,,,,,6,6,,,,,,,10,2,,,18,2,165,6,,,,,,,,,,,15,3,,,71,5,,,,,,,255,8,,,,,537,3,3269,8,,,,,73,8,,,16366,3,,,4497,3,61,4,,,447,5,341,6,,,5662,3,,,,,,,,,,,,,,,,,,,,,475,6,56,5,,,193,7,,,,,679,2,,,,,159,7,,,,,,,,,3202,4,3950,3,,,,,,,,,,,13,3,244,6,,,,,,,,,,,,,,,,,,,55,3,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,999,9,11,4,206,5,,,7,1,,,,,,,,,,,,,,,,,1330,5,,,,,833,6,,,139,5,5560,2,,,,,,,,,,,,,68,5,,,78,6,,,,,,,,,,,,,402,6,,,,,,,,,13,2,,,,,,,15,3,98,7,,,,,161,5,,,,,,,,,243,7,,,,,,,9,3,,,6,7,,,,,,,,,,,2318,5
1406,46629,4,36,2,,,,,,,,,26,17,,,,,39,1,32,3,,,,,,,,,,,240,4,,,,,,,,,,,,,,,62,6,,,,,,,144,13,,,20,2,288,5,4273,5,,,,,716,3,,,17447,2,7,15,4145,4,45,6,13,3,373,6,598,3,,,2677,8,27,1,,,,,10,2,,,,,,,,,,,,,534,5,,,,,461,2,,,,,181,11,44,3,7,3,1244,3,,,,,,,11,4,2138,5,2503,7,,,8,3,14,3,,,,,,,,,,,,,,,12,2,,,,,,,,,102,4,,,,,,,,,,,,,,,,,37,5,,,,,,,,,,,,,1614,3,9,5,408,2,,,,,,,,,,,,,,,,,,,,,560,11,,,,,440,11,,,97,6,1851,8,,,,,,,9,2,5,3,,,365,1,,,38,11,72,7,,,,,482,2,,,,,551,4,,,,,,,,,,,,,,,,,,,110,6,,,,,81,10,46,2,,,,,,,176,8,,,,,,,8,4,,,7,4,,,,,,,13,2,,,1173,10
2397,41483,5,18,3,14,2,,,9,2,,,1199,2,,,,,10,3,151,2,,,10,3,,,,,14,4,616,1,,,,,20,4,,,16,2,25,2,,,62,7,,,10,2,7,2,354,5,,,10,4,557,2,4922,3,,,,,784,2,,,13828,6,17,5,2078,11,33,8,16,2,2647,2,258,7,,,2549,9,,,,,9,2,,,,,,,18,2,,,,,,,863,2,,,7,2,162,9,,,,,347,5,58,2,9,2,40,13,,,,,10,2,16,2,1346,7,2064,10,,,,,,,92,2,23,2,,,32,28,7,2,,,,,12,3,,,,,10,2,10,2,69,6,45,5,,,,,,,97,1,7,6,,,,,13,7,,,,,,,,,,,,,784,13,16,3,276,4,,,,,,,6,3,,,,,,,12,2,,,,,711,8,5,2,,,989,4,,,,,1256,11,,,,,,,8,3,,,,,65,6,,,69,7,69,8,,,,,167,6,,,,,562,3,12,3,,,12,7,,,,,,,62,10,,,11,4,231,4,,,,,78,11,17,4,,,,,4,2,63,10,13,1,,,,,9,2,,,7,6,,,,,,,9,3,,,360,19
2181,38401,6,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,237,5,,,,,,,,,,,,,,,22,18,,,,,,,148,12,,,,,225,6,2065,15,,,,,365,5,,,13354,8,15,6,1470,14,114,3,9,6,,,215,8,,,1561,13,,,,,,,,,,,,,,,,,,,,,300,7,,,,,110,11,,,,,262,8,,,,,4069,1,,,,,,,10,5,132,66,2255,8,,,,,,,53,3,,,,,381,4,,,,,,,,,,,,,,,8,3,47,8,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,12,8,6,157,7,,,,,,,,,,,,,,,,,,,,,1793,4,,,,,437,12,,,139,4,2552,6,,,,,,,5,5,,,,,68,4,,,84,5,78,6,,,,,,,16,1,,,1395,1,,,,,,,,,,,,,753,1,,,,,143,5,,,,,191,4,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280,6
2093,33023,7,,,,,,,,,,,74,11,,,,,,,10,4,,,,,,,,,,,45,12,,,,,7,5,8,2,,,,,,,47,8,7,2,,,,,96,20,,,,,67,19,942,28,,,,,,,,,15421,4,8,11,1292,16,,,,,54,15,63,30,,,935,22,,,,,,,,,23,2,,,,,,,6,2,,,57,25,21,7,,,32,12,,,,,83,23,9,6,,,143,9,,,,,,,,,778,15,5334,1,,,11,2,2,6,,,3,3,,,148,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,4,,,,,,,,,,,,,335,19,,,50,20,,,,,,,,,,,,,,,,,,,,,280,21,,,,,414,13,,,,,1737,9,,,,,4,2,,,,,,,,,,,40,10,15,15,,,,,,,11,2,,,196,12,,,8,2,,,,,,,,,283,5,,,,,42,13,,,,,52,13,,,,,,,,,523,4,,,,,,,,,,,8,3,,,,,,,,,9,1,3249,2
2243,27772,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,11,,,,,,,,,,,,,,,10,38,,,,,,,,,,,,,,,7910,1,,,,,,,,,6338,17,,,,,,,,,,,,,,,4055,6,,,,,,,,,,,,,,,,,,,,,,,,,,,244,6,,,,,288,6,,,,,,,,,,,,,,,1212,9,206,39,,,,,,,,,,,,,20,38,,,,,,,,,,,,,,,,,55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2369,1,,,,,,,,,,,,,,,,,,,,,,,,,2036,3,,,,,632,9,,,51,10,875,14,,,,,,,4,7,,,,,,,,,,,168,2,,,,,1144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,37
29351,26603,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,190,11,,,,,,,3926,7,,,,,,,,,4164,22,,,238,45,158,2,,,,,108,20,,,280,53,,,,,,,,,,,,,,,,,,,,,293,8,,,,,,,,,,,50,24,12,5,,,,,,,,,,,,,,,166,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,2,95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,31,,,,,,,,,,,,,,,,,,,,,,,,,1116,6,,,,,,,,,,,13599,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,28,,,,,,,,,,,,,,,,,,,,,,,,,997,1,,,,,,,,,417,6,,,,,,,,,,,,,,,,,,,,,,,92,40
463,26327,10,,,5,4,,,,,,,,,,,,,,,3,6,,,,,,,,,,,33,15,,,,,,,,,3,7,,,,,24,17,,,,,,,332,6,,,,,96,11,2148,12,,,,,,,,,13278,9,6,17,,,23,10,7,7,23,17,133,16,,,1245,17,,,,,,,,,,,,,,,,,,,,,153,12,,,,,31,14,,,,,94,22,,,,,40,12,,,,,,,,,965,12,2125,9,,,,,,,,,,,,,54,17,,,,,,,6,7,,,,,,,,,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402,5,4,13,48,21,,,,,,,,,,,,,,,,,,,,,448,17,,,,,918,5,,,,,1524,10,,,,,,,,,,,,,,,,,,,18,12,,,,,23,9,,,,,206,10,,,,,,,,,,,,,75,8,,,,,26,22,,,,,49,14,,,,,,,,,37,12,,,,,,,,,,,,,,,,,,,,,,,695,12
