,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,111063,157,1,45,1,24,1,,,46,1,4358,1,28,1,31,1,25,1,228,1,20,1,19,1,44,1,403,2,22,1,115,1,278,1,15,1,38,1,138,1,28,1,245,1,36,1,31,1,34,1,653,1,20,1,41,1,484,1,5222,3,15,1,17,1,397,1,,,30658,1,50,1,16753,1,363,1,51,1,2235,1,1357,1,23,1,4554,1,,,25,1,16,1,25,1,20,1,12,1,99,1,97,1,22,1,1061,1,730,1,21,1,330,1,14,1,16,1,761,1,207,1,18,1,2675,1,16,1,10,1,38,1,67,1,3247,1,3614,3,8,1,22,1,22,2,173,1,166,1,56,1,585,3,13,1,24,1,48,1,21,1,14,1,14,1,188,3,230,1,17,2,1,2,70,1,31,1,41,1,169,1,170,2,21,1,21,1,11,1,24,1,24,1,31,1,1372,2,25,2,472,1,,,18,2,14,1,11,1,19,1,,,1987,1,19,1,23,1,3949,1,13,1,583,1,6746,3,19,1,15,1,15,1,20,1,26,1,19,1,155,2,34,1,310,1,170,1,,,245,1,235,2,,,24,2,1091,2,21,2,,,83,1,65,1,1,1,523,1,31,1,136,1,3020,1,19,1,,,425,2,41,1,76,1,24,1,21,1,1288,1,,,14,1,,,19,1,,,36,1,10,1,41,1,16,1,,,2867,1
1,2,2223,41721,,,,,,,,,,,1062,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,17,,,,,,,257,4,,,,,,,1782,16,,,,,,,,,12282,11,,,5631,2,,,,,,,642,2,,,1619,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,166,9,,,,,,,,,2757,2,2344,6,,,,,3,5,,,,,,,,,,,,,,,,,,,,,283,1,,,,,,,,,4,7,,,,,47,3,,,,,,,,,,,,,342,14,,,283,2,,,,,,,,,,,,,1549,2,,,,,3105,2,,,,,3290,5,,,,,,,,,,,,,,,13,2,,,68,2,,,,,17,8,,,,,146,12,,,,,,,,,,,205,2,,,,,1030,5,,,,,276,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2488,2
2,3,2162,40561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,,11,28,,,,,,,282,3,,,,,16,30,2949,10,,,,,,,,,17429,4,,,2,129,,,,,,,152,7,,,1496,6,,,,,6,3,,,,,,,,,,,,,33,32,,,,,,,,,,,287,3,,,,,,,,,,,,,4,8,812,8,6,100,,,,,,,6,4,,,,,383,5,,,,,,,,,,,,,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,24,4,15,,,,,,,,,,,,,,,1129,3,,,,,261,15,,,9,12,13679,1,,,,,,,,,,,,,16,6,,,,,8,16,,,,,,,,,,,154,11,,,,,,,,,,,,,,,,,96,14,,,,,127,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028,7
3,4,1406,36602,26,2,,,,,,,,,25,13,,,,,,,,,,,,,,,217,4,,,,,,,,,,,,,,,28,7,,,,,,,89,13,,,7,6,208,2,2721,13,,,,,344,3,,,16130,5,17,4,2635,5,28,5,14,4,195,4,11,77,,,1992,3,4,1,,,,,10,2,,,,,,,,,,,371,3,,,,,136,4,,,,,115,11,34,2,9,2,1276,2,,,,,,,7,5,1352,4,2342,7,,,11,3,12,4,,,,,,,,,,,,,12,4,,,,,,,41,5,,,,,,,,,,,,,,,34,6,,,,,,,,,,,,,859,4,13,5,178,4,,,52,1,,,,,,,,,428,10,,,,,246,16,,,62,6,1776,9,,,,,,,8,3,10,2,,,163,1,,,33,10,41,5,,,,,143,3,,,,,590,5,,,,,,,,,,,,,,,,,164,10,,,,,57,10,,,,,,,,,178,5,,,,,,,5,3,,,,,,,,,6,2,,,1137,6
4,5,10816,36315,,,,,,,,,,,308,4,,,,,,,,,,,,,10,3,119,7,,,,,,,,,,,13,3,,,20,15,,,,,,,180,9,,,,,188,3,3743,7,,,,,28,9,,,15012,6,,,3332,3,33,4,,,180,5,9,83,,,1549,5,,,,,,,,,,,,,,,,,,,253,5,8,6,,,83,8,,,,,223,5,,,,,170,8,,,,,,,,,1150,7,2400,5,,,,,,,,,,,5,3,240,8,,,,,,,,,,,,,,,22,6,,,,,,,,,,,,,,,,,,,,,,,5,2,,,621,8,4,16,114,6,6,1,,,,,,,,,,,838,6,,,,,966,3,,,96,4,2893,6,,,,,,,,,,,,,36,4,,,60,5,,,,,,,,,,,,,668,4,,,,,,,4,3,,,,,,,8,3,496,7,,,,,91,7,,,,,,,,,113,6,,,,,,,4,4,,,,,,,,,,,,,14,121
5,6,2397,33074,11,3,8,3,,,17,1,,,573,3,,,,,17,2,77,2,,,,,10,2,492,1,,,,,,,,,36,2,29,2,,,39,4,,,22,2,10,2,206,8,,,12,2,181,4,4695,5,,,,,301,4,,,12836,9,16,5,1679,8,11,11,12,6,1853,2,145,8,,,1153,10,,,,,9,2,,,,,,,34,2,,,,,582,2,,,14,2,116,5,,,,,195,6,28,3,4,3,33,13,,,,,6,2,12,3,604,10,1673,8,,,,,,,45,2,14,2,,,27,29,9,2,,,14,3,,,,,6,3,39,6,37,3,,,,,21,2,12,3,,,,,11,8,,,,,,,,,,,,,301,15,7,9,217,3,,,5,4,,,,,5,2,,,527,8,11,2,,,690,5,,,,,1071,12,,,,,,,10,2,,,,,39,3,,,35,9,26,7,,,,,53,5,,,,,336,6,8,3,,,6,7,,,,,40,7,,,5,4,1252,4,,,,,,,10,3,,,,,8,2,45,9,6,1,,,,,9,2,,,,,,,,,5,3,,,361,14
6,7,1339,29191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29191,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8,463,25223,,,12,2,,,,,,,,,,,,,,,,,,,,,,,25,11,,,,,,,,,7,6,,,,,16,20,,,,,,,231,6,,,,,83,11,2061,14,,,,,,,,,14809,7,,,,,18,7,,,,,122,11,,,,,,,,,,,,,,,,,,,,,,,65,21,,,,,25,12,,,,,98,15,,,,,38,12,,,,,,,,,756,9,2415,4,,,,,,,,,,,,,52,18,,,,,,,,,,,,,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,16,4,14,53,11,,,,,,,,,,,,,458,9,,,,,907,4,,,,,1688,10,,,,,,,,,,,,,,,,,,,18,12,,,,,18,7,,,,,135,13,,,,,,,,,,,37,8,,,,,73,17,,,,,42,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,9
8,9,2093,24311,,,,,,,,,,,54,10,,,,,,,4,4,,,,,,,40,10,,,,,19,4,7,4,,,,,,,19,16,5,2,,,,,53,19,,,,,37,18,911,24,,,,,,,,,10647,12,15,6,1136,14,,,,,61,9,51,30,,,641,20,,,,,,,,,7,2,,,,,,,,,37,28,6,7,,,24,14,,,,,66,19,,,,,100,10,,,,,,,,,458,18,4524,1,,,13,2,,,,,,,,,251,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,5,,,,,,,,,,,,,210,19,,,27,24,,,,,,,,,,,,,211,26,,,,,240,18,,,,,1310,11,,,,,4,2,,,,,,,,,,,23,12,9,13,,,,,,,13,1,,,126,15,,,,,,,,,,,195,4,,,,,55,19,,,,,25,13,,,,,,,,,454,3,,,,,,,,,,,33,2,,,,,,,4,2,2142,4
9,10,2399,23442,,,,,,,,,,,32,12,,,,,,,7,3,,,,,,,9,19,,,,,,,,,7,7,,,,,39,5,,,,,,,18,25,,,,,,,153,102,,,,,,,,,21020,3,13,7,800,19,,,,,10,15,24,42,,,138,69,,,,,,,,,,,,,,,,,,,34,31,,,,,,,,,,,22,33,,,,,,,,,,,,,,,191,35,180,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,51,,,,,,,3,5,,,,,,,,,71,38,,,,,111,29,,,14,11,314,33,,,,,,,,,,,,,,,,,8,18,,,,,,,,,,,,,10,65,,,,,,,,,,,,,,,,,17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,30
