bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,120117,1,115,1,29,1,35,1,24,1,23,1,3891,1,40,1,18,1,15,1,64,1,46,2,6,1,21,1,572,1,32,1,14,1,36,1,,,27,2,575,1,120,1,143,1,637,1,24,1,34,1,249,1,24,1,201,1,26,1,12,1,29,1,844,3,19,1,44,1,339,3,6446,1,13,1,22,1,18,1,649,3,15,2,33864,1,64,1,11325,1,332,1,47,1,2763,3,1175,2,11,1,28,1,4766,2,,,18,1,21,3,21,1,18,2,21,1,15,1,25,1,84,1,25,1,,,1723,1,1199,1,54,1,543,2,26,1,31,1,1213,1,213,1,,,34,1,1428,2,25,1,22,1,32,1,87,1,3337,4,3209,2,30,1,27,1,25,2,261,1,172,1,245,1,420,4,24,1,14,1,40,1,53,1,18,1,17,1,17,1,16,2,14,1,234,1,196,1,15,1,16,1,30,1,64,2,186,1,48,1,890,1,1750,1,16,1,63,1,17,1,28,1,21,2,17,1,958,6,44,2,228,6,33,1,,,18,1,11,3,27,1,17,1,17,1,35,1,,,15,1,2692,2,26,1,22,1,3138,2,24,1,20,1,473,1,8169,3,21,1,28,1,18,1,29,1,18,1,52,1,19,1,53,1,109,3,178,1,318,2,203,5,,,217,1,375,2,,,25,1,937,3,41,2,,,223,1,,,534,1,22,1,1000,2,15,1,135,1,58,1,1418,3,23,1,,,433,2,76,1,223,1,29,1,15,1,2148,1,,,20,1,,,17,1,,,31,2,24,1,21,1,26,1,20,1,,,6724,2
2223,63980,2,,,,,,,,,,,2465,2,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,16,,,,,,,1685,1,,,,,279,4,2116,11,,,,,,,,,,,10584,9,,,3866,2,,,,,3344,2,2293,1,,,,,3809,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2,,,,,561,3,,,,,,,,,6693,1,2272,4,,,,,12,6,,,,,,,136,10,,,,,,,,,,,,,,,,,,,91,3,,,,,,,,,,,12,5,,,,,108,5,,,,,,,,,,,,,1132,5,,,1127,1,,,,,,,,,,,,,,,,,,,,,4140,1,,,,,4306,1,,,,,191,4,3137,6,,,,,,,,,,,,,,,,,,,11,4,,,486,1,,,37,2,245,4,,,,,373,9,,,,,,,,,,,,,322,5,,,,,,,3252,1,,,,,342,3,,,,,,,,,1327,2,,,,,,,,,,,3,12,,,,,,,,,,,3083,6
10816,52645,3,,,,,,,,,,,510,7,,,,,,,,,52,1,,,,,,,,,,,30,2,,,30,1,183,6,,,,,,,,,,,28,2,,,54,7,,,,,,,420,5,,,,,361,2,3619,3,,,,,,,76,7,,,12916,6,,,3466,3,69,4,,,693,5,550,5,,,,,3112,5,,,,,,,,,,,,,,,,,,,,,,,388,6,98,5,,,226,7,,,,,487,4,,,,,,,551,4,,,,,,,,,2193,5,2222,5,,,,,,,,,,,32,2,201,7,,,,,,,,,,,,,,,,,,,,,64,3,,,,,,,,,,,,,,,,,,,,,,,,,25,1,,,909,7,23,6,301,4,,,30,1,,,,,,,,,,,,,,,,,1491,3,,,,,2110,3,,,,,369,2,9109,2,,,,,,,,,,,,,,,,,37,5,,,96,6,,,,,,,134,8,,,,,381,8,,,,,,,,,,,,,,,,,,,49,2,440,6,,,,,229,6,,,,,,,,,559,6,,,,,,,16,2,,,32,1,,,,,,,,,,,3674,5
1406,51295,4,45,2,,,,,,,,,1051,5,,,,,,,,,23,3,,,,,45,3,,,,,,,,,,,193,5,,,,,,,,,,,,,,,60,4,,,,,,,134,17,,,18,2,265,5,2367,9,,,,,,,246,4,,,18669,2,13,8,2384,5,30,7,21,2,451,7,853,4,,,,,2589,6,10,1,,,,,13,2,,,,,,,12,4,,,,,,,779,3,,,,,379,4,,,,,243,8,79,4,,,7,2,1909,1,,,,,,,14,6,5875,2,1559,9,,,13,3,17,3,,,,,,,222,6,,,,,22,2,8,4,,,,,,,,,,,70,4,13,11,,,,,,,,,,,,,,,109,4,,,,,,,,,,,,,1323,3,8,11,405,2,,,,,,,28,1,,,,,,,,,,,,,457,13,,,,,408,14,,,,,71,9,3035,7,,,,,,,,,,,14,2,11,2,,,562,1,,,20,14,43,9,,,,,177,6,,,,,604,6,,,,,,,,,,,,,53,10,,,,,,,145,10,,,,,203,7,9,4,,,,,,,489,7,,,,,,,7,3,,,7,6,,,,,,,18,2,,,2388,8
27443,46043,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,13,,,,,,,68,26,,,18,3,53,19,813,24,,,,,,,50,10,,,812,111,16,5,487,28,41,5,,,,,156,18,,,,,387,44,,,,,,,,,,,,,,,,,,,,,,,45,35,,,,,54,13,,,,,,,,,,,,,,,,,,,,,,,423,21,2048,7,,,,,,,,,,,,,791,2,,,,,,,,,,,,,,,,,,,,,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,26,,,,,,,,,,,,,,,,,,,,,,,,,440,15,,,,,622,8,,,,,,,5298,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27970,1,,,,,,,,,,,,,81,11,,,,,,,,,414,8,,,,,,,,,,,,,,,,,,,,,,,4687,4
2397,42336,6,9,5,14,2,,,15,2,,,1650,3,,,,,,,,,15,5,,,,,130,2,,,10,2,,,,,10,6,527,2,,,,,17,5,,,27,2,26,3,,,60,5,,,6,2,20,2,348,7,,,5,7,817,1,3415,5,,,,,,,686,2,,,13959,5,22,3,2789,4,32,6,5,8,3346,1,231,10,,,,,1892,9,,,,,24,1,,,,,,,,,14,3,,,,,,,1151,2,,,7,2,189,8,,,,,319,5,90,3,,,7,3,20,15,,,,,11,3,40,2,1184,7,1536,10,,,,,,,113,2,13,3,,,37,27,9,2,,,,,6,5,,,,,9,5,12,3,,,57,5,57,4,,,,,,,72,1,10,6,,,,,12,9,,,,,,,,,,,,,692,11,11,9,251,5,,,,,,,14,2,,,,,,,6,3,,,,,834,7,14,2,,,728,6,,,,,,,1856,11,,,,,,,,,,,8,3,,,,,75,4,,,46,11,65,7,,,,,164,7,,,,,698,4,18,3,,,14,6,,,,,,,80,9,,,,,13,5,741,5,,,,,130,10,14,3,,,,,7,2,122,11,20,1,,,,,5,4,,,7,7,,,,,,,9,3,,,612,21
2093,35766,7,,,,,,,,,,,85,16,,,,,,,,,,,,,,,13,6,,,,,,,,,,,61,10,,,,,11,6,19,3,,,,,,,51,9,4,2,,,,,113,19,,,,,72,15,1157,18,,,,,,,,,,,14434,4,8,15,2214,6,,,,,54,15,141,20,,,,,918,18,,,,,,,,,21,1,,,,,,,,,11,2,,,90,18,8,7,,,56,12,,,,,100,19,17,7,,,,,169,9,,,,,,,,,662,13,4650,1,,,18,2,12,5,,,22,2,,,186,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,8,,,6,2,,,,,,,,,334,19,,,61,19,,,,,,,,,,,,,,,,,,,,,320,19,,,,,562,9,,,,,,,2130,10,,,,,8,2,,,,,,,,,,,,,,,64,10,8,16,,,,,,,19,1,,,213,12,,,6,2,,,,,,,,,403,4,,,,,,,90,16,,,,,201,8,,,,,,,,,685,4,,,,,,,,,,,17,3,,,,,,,,,12,1,5177,3
2162,31356,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,13,35,,,,,,,224,10,,,,,21,27,1825,13,,,,,,,,,,,15782,3,,,1251,10,,,,,,,129,22,,,,,981,17,,,,,8,6,,,,,,,,,,,,,,,,,21,46,,,,,,,,,,,162,13,,,,,,,17,16,,,,,,,20,4,545,17,331,28,,,,,,,7,4,,,,,77,15,,,,,,,,,,,,,,,,,,,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,29,6,13,,,,,,,,,,,,,,,,,,,,,,,728,8,,,,,337,15,,,,,38,11,5534,4,,,,,,,,,,,,,,,,,1,13,,,,,9,15,,,,,27,14,,,,,170,15,,,,,,,,,,,,,,,,,,,,,98,14,,,,,134,9,,,,,,,,,174,10,,,,,,,,,,,,,,,,,,,,,,,2467,7
463,26320,9,9,4,12,3,,,,,,,50,21,,,,,,,,,,,,,,,16,5,,,,,,,,,,,20,15,,,,,,,,,10,4,,,,,24,21,,,,,,,237,9,,,,,49,21,1628,14,,,,,,,,,,,12800,7,6,19,1166,12,15,10,5,6,40,16,131,21,,,,,1689,11,,,,,,,,,,,,,,,,,,,,,,,102,17,,,,,26,14,,,,,58,26,,,,,,,21,14,,,,,,,,,937,10,2732,3,,,,,,,,,,,,,60,20,4,3,,,,,10,2,,,,,,,,,,,13,12,,,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,314,20,8,10,57,21,,,,,,,,,,,,,,,,,,,,,451,14,,,,,1071,5,,,,,,,1093,16,,,,,,,,,,,,,,,,,,,,,,,26,11,,,,,17,17,,,,,214,11,,,,,,,,,,,,,118,7,,,,,,,50,18,,,,,63,13,,,,,,,,,61,16,,,,,,,,,,,,,,,,,,,,,,,902,16
2181,23409,10,,,,,,,,,,,244,10,,,,,,,,,,,,,,,,,,,4,3,,,,,,,215,4,,,,,,,,,,,,,,,25,17,,,,,,,128,18,,,,,113,10,1354,17,,,,,,,195,5,,,6795,13,16,4,1040,17,76,3,5,7,,,232,9,,,,,1132,15,,,,,,,,,,,,,,,,,,,,,,,221,8,,,,,90,11,,,,,258,7,,,,,,,207,7,,,,,,,19,5,944,9,1040,14,,,,,,,34,3,,,,,26,35,,,,,,,,,,,,,,,19,1,,,19,10,35,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674,12,32,3,344,3,,,,,,,,,,,,,,,,,,,,,1188,5,,,,,234,17,,,,,143,5,2402,9,,,,,,,,,,,6,4,,,,,29,6,,,88,7,110,6,,,,,42,12,13,2,,,1201,2,,,,,,,,,,,,,184,6,,,,,,,315,7,,,,,267,5,18,2,,,,,,,,,,,,,,,,,,,10,4,,,,,,,,,,,1623,10
