bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
2223,107274,1,,,,,,,,,,,595,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,8,,,,,,,812,1,,,,,287,3,3510,4,,,,,,,,,19592,4,,,5577,2,,,,,2377,2,1205,1,,,13270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,2,,,,,202,7,,,,,,,,,11948,1,25728,1,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,397,1,,,,,,,,,,,18,2,,,,,55,5,,,,,,,,,,,,,842,7,,,616,1,,,,,,,,,,,,,,,,,,,,,2999,1,,,,,6320,1,,,,,,,2403,7,,,,,,,,,,,,,,,,,,,14,3,,,169,2,,,,,83,7,,,,,188,8,,,,,,,,,,,,,494,2,,,,,2309,1,,,,,323,3,,,,,,,,,894,2,,,,,,,,,,,4,8,,,,,,,,,,,3941,1
171,104580,2,213,1,22,1,19,2,27,1,23,1,2197,1,16,1,26,1,39,1,414,1,38,1,28,1,18,1,,,36,1,563,1,68,1,98,1,278,1,33,1,48,1,262,1,21,1,330,1,12,1,19,2,21,1,760,2,18,1,38,1,390,1,4949,1,19,1,19,1,496,1,17,1,26277,2,49,1,16570,1,581,1,61,1,2624,1,1154,2,25,1,4807,2,,,15,1,16,1,21,1,9,1,13,1,30,1,66,1,13,1,,,1296,1,1777,1,32,1,425,1,23,1,13,1,988,1,333,1,,,14,1,1162,2,20,1,17,1,22,1,85,1,3439,2,3643,4,22,1,23,1,23,2,419,1,215,1,53,1,521,2,19,1,,,33,1,300,1,23,1,20,1,14,1,13,1,223,3,162,1,15,1,16,1,4,2,78,1,88,1,95,1,564,1,209,2,20,1,36,1,17,1,19,1,18,1,15,1,1082,3,25,1,564,2,17,1,,,12,1,12,1,20,1,16,1,23,1,16,1,,,32,1,2489,2,13,1,16,1,3789,2,13,1,20,1,422,1,4993,2,18,1,12,1,15,1,13,1,15,1,16,1,20,1,16,1,103,2,93,1,336,1,350,1,,,392,1,338,2,,,17,1,899,2,37,1,,,174,2,,,141,1,1,1,538,1,40,1,82,1,407,2,22,1,,,487,2,58,1,160,1,38,1,16,1,3145,1,,,17,1,,,17,1,,,14,2,15,1,29,1,13,1,38,1,,,2392,4
2398,80229,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,44,264,69,,,,,,,,,78882,1,4,24,125,58,,,,,,,27,45,,,407,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,55,,,,,,,,,,,,,,,,,,,,,,,,,30,63,,,,,,,,,,,,,174,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,47,,,,,,,,,,,,,,,,,,,8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,46458,4,72,2,,,,,,,,,13,18,,,,,12,5,47,3,,,,,,,,,,,336,2,,,,,,,,,,,,,,,41,7,,,,,,,152,10,,,6,6,179,4,2793,9,,,,,345,3,,,20803,3,12,6,2900,3,50,6,10,3,313,6,591,4,,,2389,4,40,1,,,,,5,3,,,,,,,,,,,,,599,5,,,,,300,2,,,,,142,11,50,4,,,6,3,3684,1,,,,,,,13,4,1299,5,2484,6,,,5,3,2,6,,,,,,,,,,,,,,,7,3,,,,,,,,,65,4,21,9,,,,,,,,,,,,,,,43,6,,,,,,,,,,,,,1223,1,2,14,510,3,,,,,,,,,,,,,,,,,,,,,440,13,,,,,471,10,,,,,113,7,1749,9,,,,,,,,,,,6,4,5,2,,,257,1,,,23,13,43,6,,,,,243,4,,,,,392,4,,,,,,,,,,,,,,,,,,,63,8,,,,,109,9,5,4,,,,,,,134,9,,,,,,,5,4,,,5,7,,,,,,,4,3,,,827,11
10816,37129,5,,,,,,,,,,,261,6,,,,,13,4,,,,,,,13,2,,,16,2,119,8,,,,,,,,,,,19,3,,,35,13,,,,,,,212,8,,,,,171,5,2888,7,,,,,65,9,,,11829,7,,,2726,4,59,5,,,548,5,322,7,,,2167,5,,,,,,,,,,,,,,,,,,,,,386,6,47,6,,,143,7,,,,,417,3,,,,,,,228,6,,,,,,,,,1728,4,2449,7,,,,,,,,,,,17,2,359,4,,,,,,,,,,,,,,,,,,,61,3,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,688,10,14,3,153,7,,,17,1,,,,,,,,,,,,,,,,,1391,3,,,,,1029,3,,,,,119,6,3294,5,,,,,,,,,,,,,,,,,20,6,,,60,7,,,,,,,44,10,,,,,449,3,,,,,,,,,17,3,,,,,,,15,2,87,7,,,,,114,7,,,,,,,,,247,8,,,,,,,14,2,,,15,1,,,,,,,,,,,2030,5
463,32161,6,,,10,2,,,,,,,,,,,,,,,12,5,,,,,,,,,,,39,10,,,,,,,,,10,5,,,,,38,10,,,,,,,255,7,,,,,107,9,2442,11,,,,,,,,,13793,6,7,13,1693,8,21,12,8,4,22,19,161,11,,,1786,8,,,,,,,,,,,,,,,,,,,,,101,19,,,,,52,12,,,,,93,17,,,,,,,36,12,,,,,,,,,1032,7,3657,3,,,,,,,,,,,,,88,9,,,,,,,6,5,,,,,,,,,28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,17,6,8,51,15,,,,,,,,,,,,,,,,,,,,,473,11,,,,,968,4,,,,,,,2470,6,,,,,,,,,,,,,,,,,,,,,,,19,11,,,,,94,6,,,,,137,13,,,,,,,,,,,,,71,9,,,,,32,15,,,,,78,12,,,,,,,,,38,12,,,,,,,,,,,,,,,,,,,,,,,1860,7
2397,30243,7,15,3,9,3,,,12,2,,,811,2,,,,,17,2,112,2,,,11,3,,,,,14,3,295,3,,,,,8,5,,,40,2,28,2,,,58,3,,,20,1,9,2,256,6,,,9,3,370,2,3447,5,,,,,334,4,,,10540,8,16,3,1643,10,23,10,17,2,2148,3,171,10,,,1354,11,,,,,8,2,,,,,,,9,4,,,,,,,808,4,,,9,2,153,6,,,,,303,4,54,3,,,11,2,33,14,,,,,13,2,22,2,652,14,1520,9,,,,,,,97,2,18,2,,,28,26,11,2,,,,,17,2,,,,,12,2,8,2,44,7,40,4,,,,,,,60,2,6,6,,,,,11,8,,,,,,,,,,,,,435,14,11,4,214,5,,,,,,,8,4,,,,,,,8,2,,,,,465,12,7,2,,,511,8,,,,,,,1282,10,,,,,,,,,,,7,3,,,,,49,4,,,76,5,29,8,,,,,104,5,,,,,286,6,10,3,,,15,5,,,,,,,72,8,,,8,3,248,3,,,,,108,10,8,3,,,,,7,2,78,10,22,1,,,,,11,3,,,6,5,,,,,,,6,2,,,418,16
2093,29470,8,,,,,,,,,,,56,11,,,,,,,13,4,,,,,,,,,,,28,15,,,,,9,4,13,3,,,,,,,39,9,6,2,,,,,81,19,,,,,34,25,1205,20,,,,,,,,,13845,5,4,22,1154,18,,,,,47,16,116,21,,,988,17,,,,,,,,,4,2,,,,,,,5,2,,,60,24,14,7,,,34,14,,,,,60,20,6,8,,,,,94,10,,,,,,,,,536,17,4572,2,,,19,2,5,4,,,,,,,166,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,7,,,,,,,,,,,,,336,18,,,50,16,,,,,,,,,,,,,,,,,,,,,295,18,,,,,412,11,,,,,,,1088,12,,,,,8,2,,,,,,,,,,,,,,,38,11,14,13,,,,,,,15,1,,,137,14,,,7,2,,,,,,,,,352,3,,,,,30,17,,,,,53,15,,,,,,,,,514,4,,,,,,,,,,,14,3,,,,,,,,,12,1,2853,3
2181,24063,9,,,,,,,,,,,,,,,,,,,,,,,16,2,,,,,,,231,4,,,,,,,,,,,,,,,19,23,,,,,,,145,11,,,,,117,7,2139,13,,,,,208,6,,,7882,12,9,8,1151,19,141,2,8,5,,,208,8,,,1260,14,,,,,,,,,,,,,,,,,,,,,267,8,,,,,92,10,,,,,212,8,,,,,,,195,8,,,,,,,15,3,648,15,1477,10,,,,,,,24,3,,,,,35,18,,,,,,,,,,,,,,,6,3,38,8,39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,8,15,2,169,6,,,,,,,,,,,,,,,,,,,,,1175,4,,,,,281,16,,,,,141,4,2249,8,,,,,,,,,,,10,2,,,,,32,5,,,53,10,27,9,,,,,38,11,8,2,,,1062,1,,,,,,,,,,,,,134,6,,,,,100,5,,,,,195,4,11,2,,,,,,,,,,,,,,,,,,,10,4,,,,,,,,,,,985,9
29351,18288,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,,84,18,,,,,,,2803,8,,,,,,,,,2939,28,,,153,54,82,3,,,,,86,25,,,320,47,,,,,,,,,,,,,,,,,,,,,269,7,,,,,,,,,,,19,34,13,5,,,,,,,,,,,,,,,,,166,42,,,,,,,,,,,,,17,46,,,,,,,,,,,,,,,,,260,2,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,32,,,,,,,,,,,,,,,,,,,,,,,,,559,8,,,,,,,,,,,,,8941,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,41,,,,,,,,,,,,,,,,,,,,,,,,,796,1,,,,,,,,,441,5,,,,,,,,,,,,,,,,,,,,,,,66,47
