bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,296895,1,150,1,34,1,25,1,32,1,30,1,6394,1,41,1,31,1,34,1,42,2,1,1,13,1,1304,1,30,1,25,1,20,2,,,61,1,1255,1,162,1,159,1,662,1,16,1,30,2,611,1,34,1,787,1,12,1,11,1,58,1,1835,1,13,1,81,1,869,1,16180,1,12,1,17,1,25,1,1952,1,18,1,80778,1,102,1,32237,1,610,1,75,1,6263,1,3996,1,13,1,40,1,16078,1,,,19,1,28,1,55,1,14,1,15,1,15,1,51,1,140,1,18,1,,,4103,1,1518,1,65,1,1407,1,26,1,18,1,2784,1,658,1,,,22,1,2492,1,5,1,31,1,12,2,145,1,21960,1,4704,2,21,1,19,1,26,2,2060,1,1151,1,101,1,651,2,39,1,14,1,199,2,70,1,41,1,13,1,35,1,17,1,792,1,461,1,12,1,19,1,28,1,183,1,443,1,198,1,505,1,293,2,16,1,60,1,12,1,34,1,46,1,21,1,4113,1,44,1,783,1,15,1,,,17,1,23,2,13,1,14,1,13,1,40,1,,,9,1,11448,1,45,1,31,1,8402,2,17,1,25,1,2353,1,16540,1,15,1,30,1,21,1,11,1,27,1,29,1,30,1,18,1,381,3,115,2,905,1,555,1,,,411,1,890,2,,,34,2,3057,1,57,2,,,246,1,,,311,1,65,1,1137,1,21,1,106,1,182,1,6460,1,23,1,,,1226,1,95,1,412,1,35,1,21,1,5405,1,,,18,1,,,21,2,,,29,1,27,1,29,1,12,1,25,1,,,9315,1
2223,73479,2,,,,,,,,,,,1223,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,17,,,,,,,836,3,,,,,188,7,2466,21,,,,,,,,,,,17876,4,,,6161,2,,,,,3112,3,1624,2,,,,,3158,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2,,,,,521,5,,,,,,,,,7611,2,3298,3,,,,,6,5,,,,,,,128,11,,,,,,,,,,,,,,,,,178,3,,,,,,,,,,,19,4,,,,,186,3,,,,,,,,,,,,,837,14,,,452,2,,,,,,,,,,,,,,,,,,,,,4692,2,,,,,9038,1,,,,,,,2905,8,,,,,,,,,,,,,,,,,,,19,3,,,391,2,,,39,2,130,9,,,,,234,16,,,,,,,,,,,,,357,4,,,,,,,2147,2,,,,,409,4,,,,,,,,,1420,2,,,,,,,,,,,6,7,,,,,,,,,,,1642,8
1406,65665,3,32,2,,,,,,,,,708,4,,,,,,,15,3,,,,,64,3,,,,,,,,,,,711,2,,,,,,,,,,,,,,,112,7,,,,,,,217,14,,,5,7,348,3,4292,3,,,,,,,1069,2,,,23390,2,12,4,3684,5,66,6,14,2,562,5,1053,3,,,,,3392,3,32,1,,,,,8,3,,,,,,,14,4,,,,,,,752,4,,,,,772,2,,,,,412,8,83,4,,,13,2,2167,2,,,,,,,21,3,3469,4,2613,4,,,10,2,12,3,,,,,,,131,9,,,,,244,1,21,2,,,,,,,,,130,5,48,7,,,,,,,,,,,,,,,106,4,,,,,,,,,,,,,2160,2,8,10,310,3,,,,,,,41,1,,,,,,,,,,,,,983,9,,,,,724,9,,,,,249,6,4823,5,,,,,,,,,,,8,3,18,2,,,1428,1,,,55,12,110,6,,,,,333,5,,,,,887,2,,,,,,,,,,,,,,,,,,,,,261,10,,,,,319,5,8,4,,,,,,,377,6,,,,,,,8,3,,,7,6,,,,,,,10,3,,,1734,7
2397,56650,4,17,3,11,4,,,16,2,,,1341,2,,,,,,,14,4,,,,,138,2,,,10,3,,,,,8,6,507,4,,,,,15,5,,,32,1,28,3,,,83,11,,,7,2,13,2,329,7,,,6,5,467,2,5491,2,,,,,,,572,4,,,22873,3,10,5,3623,6,39,8,7,6,3337,2,336,15,,,,,2546,6,,,,,10,2,,,,,,,,,16,3,,,,,,,1030,2,,,7,2,281,9,,,,,597,5,91,3,,,10,3,22,15,,,,,16,1,25,2,2076,9,1546,9,,,,,,,134,2,46,2,,,42,30,18,2,,,,,20,3,,,,,12,2,16,2,99,6,120,2,,,,,,,122,2,7,7,,,,,10,8,,,,,,,,,,,,,917,11,17,6,242,4,,,,,,,11,4,,,,,,,9,3,,,,,1382,6,5,2,,,1116,5,,,,,,,1771,12,,,,,,,,,,,12,2,,,,,88,4,,,103,9,102,8,,,,,184,6,,,,,765,3,11,3,,,22,5,,,,,,,86,8,,,,,6,4,566,6,,,,,185,9,25,2,,,,,8,2,112,12,18,1,,,,,5,4,,,6,8,,,,,,,11,2,,,616,18
10816,50587,5,,,,,,,,,,,347,7,,,,,,,47,1,,,,,,,,,,,39,1,,,28,2,181,9,,,,,,,,,,,45,2,,,104,9,,,,,,,387,6,,,,,217,5,3201,10,,,,,,,167,9,,,13105,9,,,3972,3,103,4,,,532,6,346,14,,,,,2124,9,,,,,,,,,,,,,,,,,,,,,,,401,6,119,4,,,312,8,,,,,507,7,,,,,,,597,4,,,,,,,,,2817,6,2113,6,,,,,,,,,,,95,2,394,4,,,,,,,,,,,,,,,,,,,110,4,,,,,,,,,,,,,,,,,,,,,,,,,26,2,,,891,12,24,3,231,5,,,28,1,,,,,,,,,,,,,,,,,1711,3,,,,,2177,3,,,,,206,8,7979,3,,,,,,,,,,,,,,,,,55,5,,,117,8,,,,,,,168,7,,,,,469,7,,,,,,,,,2,3,,,,,,,,,24,2,451,7,,,,,199,7,,,,,,,,,1124,3,,,,,,,23,1,,,29,2,,,,,,,,,,,2243,5
2093,37287,6,,,,,,,,,,,67,19,,,,,,,,,,,,,17,5,,,,,,,,,,,76,11,,,,,10,6,10,3,,,,,,,83,10,2,2,,,,,125,21,,,,,49,24,1747,34,,,,,,,,,,,16657,5,7,13,1741,16,,,,,65,15,252,21,,,,,1261,20,,,,,,,,,8,2,,,,,,,,,7,2,,,143,17,13,7,,,50,13,,,,,182,17,7,10,,,,,160,9,,,,,,,,,1094,22,4970,1,,,8,3,7,4,,,9,3,,,193,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,7,,,,,,,,,,,,,527,20,,,95,13,,,,,,,,,,,,,,,,,,,,,525,21,,,,,638,11,,,,,,,1664,13,,,,,6,2,,,,,,,,,,,,,,,64,11,15,15,,,,,,,5,2,,,388,11,,,7,2,,,,,,,,,283,5,,,,,,,189,12,,,,,96,16,,,,,,,,,544,5,,,,,,,,,,,16,4,,,,,,,,,3,1,3153,2
13,31840,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,5,,,,,,,261,11,,,8,3,73,17,3365,9,,,,,,,208,8,,,13526,8,8,9,3504,7,,,13,3,,,109,34,,,7,2,1363,17,,,,,,,,,,,,,1,4,,,,,,,,,930,3,,,,,,,,,,,638,3,,,4,1,,,,,,,,,,,,,972,24,1326,11,,,,,,,,,,,,,101,12,,,,,,,,,,,,,,,,,,,31,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302,4,23,4,63,20,,,,,,,,,,,,,,,,,,,,,573,17,,,,,604,12,,,,,95,9,1208,17,,,,,,,,,,,,,,,,,,,,,51,13,109,7,,,,,104,11,,,,,445,10,,,,,,,,,,,,,,,,,,,,,49,24,,,,,,,,,,,,,,,15,22,,,,,,,,,,,,,,,,,,,,,,,605,19
2162,29132,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,,,,,12,54,,,,,,,187,16,,,,,17,42,1820,30,,,,,,,,,,,15180,7,,,1119,24,,,,,,,137,29,,,,,1237,21,,,,,6,3,,,,,,,,,,,,,,,,,46,40,,,,,,,,,,,190,15,,,,,,,12,18,,,,,,,5,9,634,36,283,35,,,,,,,6,4,,,,,68,15,,,,,,,,,,,,,,,,,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,49,5,15,,,,,,,,,,,,,,,,,,,,,,,650,15,,,,,339,19,,,,,19,12,4299,7,,,,,,,,,,,,,,,,,5,11,,,,,10,16,,,,,20,16,,,,,177,23,,,,,,,,,,,,,,,,,,,,,75,19,,,,,178,10,,,,,,,,,178,10,,,,,,,,,,,,,,,,,,,,,,,2030,6
2181,26035,9,,,,,,,,,,,192,11,,,,,,,,,,,,,,,,,17,2,,,,,,,223,8,,,,,,,,,,,,,,,43,23,,,,,,,188,15,,,,,144,8,2746,17,,,,,,,276,7,,,7695,19,31,2,1626,19,145,2,8,5,,,173,25,,,,,1339,18,,,,,,,,,,,,,,,,,,,,,,,242,9,,,,,118,11,,,,,355,11,,,,,,,284,8,,,,,,,18,4,1019,23,816,16,,,,,,,48,3,,,,,53,19,,,,,,,,,,,,,,,14,3,59,8,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567,18,24,2,120,11,,,,,,,,,,,,,,,,,,,,,1215,7,,,,,438,17,,,,,236,7,2483,9,,,,,,,,,,,5,4,,,,,29,7,,,137,6,40,10,,,,,43,13,10,1,,,657,4,,,,,,,,,,,,,160,6,,,,,,,374,9,,,,,224,6,22,3,,,,,,,,,,,,,,,,,,,9,5,,,,,,,,,,,1331,9
1294,26031,10,,,,,,,,,,,39,22,,,,,,,10,5,,,,,,,,,,,,,,,,,3,28,,,,,,,,,,,,,,,80,12,,,,,,,,,,,,,78,16,3156,11,,,,,,,,,,,10502,12,1,50,1790,15,,,4,13,114,13,489,8,,,,,2286,7,,,,,,,,,,,,,,,7,6,,,,,,,178,12,,,,,,,,,,,366,10,,,,,,,15,17,,,,,2,5,2,11,2962,5,,,,,,,,,,,,,,,193,6,,,,,,,,,,,,,,,,,,,26,11,,,,,,,5,4,,,,,,,2,11,,,,,,,,,,,,,772,16,,,34,26,,,,,,,2,7,,,,,,,,,,,,,68,53,,,,,,,,,,,,,2160,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,10,,,,,220,17,,,,,,,,,,,,,34,11,,,,,,,48,25,,,,,23,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,29
