bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,116474,1,208,1,61,1,28,1,29,1,27,1,2900,1,20,1,30,1,20,1,540,1,56,1,19,1,28,1,,,42,1,522,1,51,1,66,1,401,1,24,1,86,1,264,1,21,1,292,1,23,1,20,1,28,1,695,1,24,1,54,1,483,2,5613,1,19,1,20,1,554,1,,,33312,1,52,1,16423,1,490,1,83,1,2615,1,1263,1,37,1,4019,2,,,25,1,38,1,32,1,19,1,23,1,40,2,115,1,38,1,,,1520,1,3007,1,34,1,343,1,17,1,17,1,1029,1,248,1,21,1,1596,1,18,1,24,1,25,1,110,1,3279,2,3202,4,24,1,30,1,29,2,492,1,373,1,108,1,359,3,19,1,44,1,64,1,39,1,23,1,25,1,27,1,351,1,265,1,16,1,32,1,,,77,1,69,1,237,1,1865,1,222,2,32,1,22,1,18,1,36,1,36,1,21,1,993,5,38,1,441,2,3,1,,,29,1,26,1,23,1,19,1,23,1,28,1,,,22,1,2475,1,18,1,25,1,3181,2,20,1,454,1,7118,2,24,1,28,1,30,1,29,1,31,1,35,1,26,1,17,1,138,2,95,1,263,1,206,1,,,216,1,285,2,,,29,3,1034,2,32,2,,,315,1,,,338,1,2,1,650,1,31,1,298,1,367,2,30,1,,,332,2,77,1,224,1,34,1,22,1,2262,1,,,28,1,,,38,1,,,32,1,24,1,18,1,22,1,21,1,,,2518,3
2223,48146,2,,,,,,,,,,,362,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,17,,,,,,,458,2,,,,,255,3,1520,16,,,,,,,,,13386,3,,,3421,3,,,,,1919,3,1140,2,,,2037,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4,,,168,9,,,,,,,,,5219,1,2057,9,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,351,2,,,,,,,,,,,16,4,,,,,63,5,,,,,,,,,,,,,395,14,,,743,1,,,,,,,,,,,,,,,,,,,,,2083,2,,,,,7030,1,,,,,1616,10,,,,,,,,,,,,,,,,,,,4,4,,,114,2,,,,,54,7,,,,,219,8,,,,,,,,,,,,,388,2,,,,,396,1,,,,,268,4,,,,,,,,,466,4,,,,,,,,,,,3,6,,,,,,,,,,,1935,5
1406,44761,3,52,2,,,,,,,,,15,17,,,,,14,2,23,3,,,,,,,,,,,379,2,,,,,,,,,,,,,,,53,7,,,,,,,145,10,,,10,5,198,5,3137,7,,,,,481,3,,,19775,2,16,5,3952,2,55,5,18,2,435,6,627,4,,,2289,5,50,1,,,,,10,2,,,,,,,,,,,,,390,6,,,,,263,3,,,,,133,13,27,3,7,2,1416,2,,,,,,,15,3,1220,5,2251,8,,,9,3,9,3,,,,,,,,,,,,,13,2,,,,,,,,,55,5,,,,,,,,,,,,,,,,,56,6,,,,,,,,,,,,,1493,1,12,5,346,3,,,,,,,,,,,,,,,,,,,,,468,13,,,,,420,12,,,104,6,1981,6,,,,,,,,,,,9,5,9,2,,,146,1,,,29,12,46,6,,,,,269,4,,,,,554,3,,,,,,,,,,,,,,,,,,,105,6,,,,,75,11,10,3,,,,,,,137,9,,,,,,,7,4,,,8,2,,,,,,,7,2,,,928,13
10816,40452,4,,,,,,,,,,,371,4,,,,,13,4,,,,,,,13,2,,,13,3,155,6,,,,,,,,,,,12,3,,,44,13,,,,,,,228,7,,,,,202,4,3833,4,,,,,76,8,,,12735,6,,,3275,4,82,4,,,507,5,391,6,,,3159,3,,,,,,,,,,,,,,,,,,,,,431,5,51,6,,,156,5,,,,,336,3,,,,,182,7,,,,,,,,,1514,4,2639,5,,,,,,,,,,,9,3,208,5,,,,,,,,,,,,,,,,,124,2,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,730,10,9,10,178,5,,,16,1,,,,,,,,,,,,,,,,,1107,4,,,,,852,5,,,84,8,3359,4,,,,,,,,,,,,,,,,,45,5,,,63,7,,,,,,,,,,,,,485,4,,,,,,,,,14,3,,,,,,,10,3,100,7,,,,,115,7,,,,,,,,,183,7,,,,,,,16,2,,,8,3,,,,,,,,,,,2309,4
2397,32809,5,13,4,13,2,,,6,2,,,801,2,,,,,13,3,91,2,,,12,3,,,,,10,4,331,3,,,,,10,5,,,10,3,24,2,,,47,10,,,7,2,4,2,211,8,,,11,4,547,1,3420,6,,,,,350,5,,,10889,9,13,7,1628,11,25,10,7,6,2498,2,263,7,,,1315,10,,,,,14,2,,,,,,,17,3,,,,,,,729,3,,,7,2,118,8,,,,,293,5,43,2,4,3,21,15,,,,,4,4,18,2,648,10,3511,3,,,,,,,74,2,17,2,,,40,18,3,2,,,7,4,,,,,5,2,9,2,53,6,35,6,,,,,,,47,2,3,7,,,,,7,8,,,,,,,,,,,,,369,16,11,7,324,4,,,,,,,3,6,,,,,,,5,2,,,,,484,11,2,2,,,586,11,,,,,1161,12,,,,,,,,,,,10,4,,,,,56,4,,,66,6,41,7,,,,,91,5,,,,,386,5,12,3,,,13,6,,,,,,,83,8,,,9,4,244,3,,,,,76,10,8,4,,,,,9,2,57,11,15,1,,,,,13,3,,,4,5,,,,,,,7,3,,,368,19
2093,30581,6,,,,,,,,,,,59,12,,,,,,,6,5,,,,,,,,,,,35,11,,,,,11,4,7,3,,,,,,,54,5,9,2,,,,,85,20,,,,,103,14,1027,23,,,,,,,,,13194,5,6,20,1796,9,,,,,54,14,94,25,,,827,18,,,,,,,,,11,2,,,,,,,7,2,,,92,19,15,7,,,45,12,,,,,69,21,8,6,,,86,10,,,,,,,,,537,16,5222,1,,,13,2,7,4,,,3,4,,,171,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,3,,,,,,,,,,,,,257,18,,,66,15,,,,,,,,,,,,,,,,,,,,,240,20,,,,,313,14,,,,,1848,7,,,,,9,2,,,,,,,,,,,,,,,38,10,11,15,,,,,,,14,1,,,149,14,,,5,2,,,,,,,,,271,3,,,,,40,12,,,,,47,13,,,,,,,,,568,2,,,,,,,,,,,6,4,,,,,,,,,10,1,2961,2
463,27572,7,,,8,3,,,,,,,,,,,,,,,2,6,,,,,,,,,,,19,16,,,,,,,,,4,7,,,,,30,18,,,,,,,281,4,,,,,81,17,2963,8,,,,,,,,,13374,4,5,24,,,15,12,3,11,18,18,190,10,,,1212,11,,,,,,,,,,,,,,,,,,,,,115,15,,,,,30,14,,,,,161,10,,,,,64,11,,,,,,,,,1177,6,2380,6,,,,,,,,,,,,,91,11,,,,,4,6,,,,,,,,,27,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,15,2,17,59,18,,,,,,,,,,,,,,,,,,,,,568,8,,,,,742,7,,,,,1703,9,,,,,,,,,,,,,,,,,,,,,,,13,12,,,,,16,11,,,,,189,11,,,,,,,,,,,,,99,7,,,,,31,16,,,,,49,12,,,,,,,,,32,13,,,,,,,,,,,,,,,,,,,,,,,1427,7
2181,24093,8,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,,,,232,4,,,,,,,,,,,,,,,25,21,,,,,,,161,9,,,,,185,6,1774,14,,,,,548,2,,,7848,12,6,22,1131,18,100,3,6,8,,,188,12,,,1517,7,,,,,,,,,,,,,,,,,,,,,322,7,,,,,101,9,,,,,310,4,,,,,681,4,,,,,,,11,5,134,53,1098,12,,,,,,,22,3,,,,,39,19,,,,,,,,,,,,,7,3,45,7,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,9,14,3,148,7,,,,,,,,,,,,,,,,,,,,,1306,3,,,,,288,16,,,143,3,1783,8,,,,,,,,,,,6,6,,,,,43,6,,,126,3,30,8,,,,,,,7,3,,,1108,1,,,,,,,,,,,,,255,4,,,,,163,4,,,,,116,6,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237,9
2162,22329,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,8,44,,,,,,,110,13,,,,,24,32,1171,21,,,,,,,,,11401,8,,,672,22,,,,,,,114,24,,,819,19,,,,,2,4,,,,,,,,,,,,,,,24,38,,,,,,,,,,,197,6,,,,,,,,,,,,,5,8,534,17,6,109,,,,,,,4,4,,,,,53,14,,,,,,,,,,,,,,,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,42,2,18,,,,,,,,,,,,,,,,,,,,,,,567,9,,,,,165,25,,,17,11,4948,3,,,,,,,,,,,,,,,,,1,14,,,,,6,17,,,,,22,9,,,,,104,18,,,,,,,,,,,,,,,,,,,17,27,,,,,98,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139,11
2243,17451,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,10,,,,,,,,,,,,,,,11,36,,,,,,,,,,,,,,,4919,2,,,,,,,,,6045,16,,,,,,,,,,,,,,,1400,8,,,,,,,,,,,,,,,,,,,,,,,,,,,120,7,,,,,106,19,,,,,,,,,,,,,,,483,19,187,38,,,,,,,,,,,,,11,47,,,,,,,,,,,,,,,35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,4,,,,,,,,,,,,,,,,,,,,,,,,,681,5,,,,,850,6,,,20,10,833,15,,,,,,,,,,,11,3,,,,,,,,,,,60,4,,,,,504,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,42
