,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,131644,117,1,78,1,39,1,42,1,22,1,3467,1,27,1,28,1,30,1,34,1,44,1,5,1,18,1,980,1,57,1,23,1,23,1,,,40,1,485,1,137,1,96,1,394,1,27,1,68,1,190,1,22,1,423,1,26,1,17,1,42,1,965,1,19,1,32,1,312,2,6878,1,19,1,33,1,15,1,563,1,16,1,33068,1,79,1,18396,1,442,1,59,1,3034,1,1145,2,19,1,29,1,5216,1,,,16,1,41,1,31,1,23,1,14,1,19,1,37,1,110,1,24,1,,,1502,1,1659,1,78,1,487,1,25,1,26,1,1229,1,331,1,,,16,1,1456,2,30,1,44,1,30,1,95,1,4376,1,3533,2,35,1,28,1,19,3,637,1,309,1,187,1,377,3,37,1,19,1,31,2,53,1,31,1,18,1,22,1,33,1,16,1,382,1,220,1,18,1,28,1,52,1,117,1,206,1,108,1,865,1,706,2,18,1,63,1,15,1,30,1,31,1,21,1,1137,1,53,1,385,2,22,1,,,18,1,25,2,29,1,15,1,14,1,33,1,,,20,1,4274,1,45,1,34,1,3586,2,17,1,23,1,645,1,7332,4,33,1,31,1,17,1,25,1,16,1,22,1,33,1,14,1,111,3,134,1,341,1,213,1,,,236,1,390,2,,,41,2,898,3,54,1,,,288,1,,,627,1,20,1,842,2,81,1,76,1,169,1,1845,2,28,1,,,569,2,96,1,516,1,45,1,20,1,2612,1,,,20,1,,,20,2,,,31,1,23,1,25,1,21,1,26,1,,,6024,3
1,2,10816,60313,,,,,,,,,,,450,6,,,,,,,,,24,3,,,,,,,,,,,15,2,,,25,2,137,7,,,,,,,,,,,12,3,,,34,16,,,,,,,260,7,,,,,136,6,3559,4,,,,,,,44,10,,,13462,7,,,3774,3,56,4,,,567,5,519,6,,,,,3041,3,,,,,,,,,,,,,,,,,,,,,,,394,6,47,6,,,160,5,,,,,391,4,,,,,,,615,4,,,,,,,,,1632,4,2235,5,,,,,,,,,,,10,3,284,4,,,,,,,,,,,,,,,,,,,,,53,4,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,630,7,7,13,201,5,,,12,1,,,,,,,,,,,,,,,,,1341,3,,,,,1092,3,,,,,233,2,18558,2,,,,,,,,,,,,,,,,,24,5,,,61,9,,,,,,,102,7,,,,,276,7,,,,,,,,,,,,,,,,,,,13,4,304,7,,,,,251,5,,,,,,,,,562,6,,,,,,,21,1,,,17,3,,,,,,,,,,,4661,4
2,3,27443,58413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,20,,,,,,,76,20,,,10,5,29,26,993,24,,,,,,,52,8,,,1467,66,10,13,480,30,21,8,,,,,101,21,,,,,509,29,,,,,,,,,,,,,,,,,,,,,,,37,39,,,,,44,13,,,,,,,,,,,,,,,,,,,,,,,359,22,2164,7,,,,,,,,,,,,,809,2,,,,,,,,,,,,,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,27,,,,,,,,,,,,,,,,,,,,,,,,,301,18,,,,,175,22,,,,,,,22936,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22620,1,,,,,,,,,,,,,53,15,,,,,,,,,311,8,,,,,,,,,,,,,,,,,,,,,,,4609,5
3,4,2223,53313,,,,,,,,,,,2244,2,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,7,,,,,,,603,2,,,,,123,7,2011,12,,,,,,,,,,,12550,8,,,4059,2,,,,,2659,3,1196,1,,,,,2527,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,3,,,,,753,3,,,,,,,,,2960,2,2110,8,,,,,16,5,,,,,,,124,7,,,,,,,,,,,,,,,,,,,79,3,,,,,,,,,,,31,4,,,,,160,4,,,,,,,,,,,,,530,11,,,410,1,,,,,,,,,,,,,,,,,,,,,2428,2,,,,,3897,1,,,,,40,11,2285,9,,,,,,,,,,,,,,,,,,,12,3,,,111,2,,,34,2,82,8,,,,,191,9,,,,,,,,,,,,,304,4,,,,,,,3275,1,,,,,297,4,,,,,,,,,2148,2,,,,,,,,,,,1,12,,,,,,,,,,,2928,6
4,5,1406,45032,28,2,,,,,,,,,672,5,,,,,,,,,35,2,,,,,76,3,,,,,,,,,,,189,5,,,,,,,,,,,,,,,73,3,,,,,,,132,15,,,19,3,200,3,3099,6,,,,,,,203,4,,,17951,2,16,5,2732,4,27,6,21,2,511,6,587,4,,,,,2374,7,15,1,,,,,11,2,,,,,,,12,5,,,,,,,607,3,,,,,240,3,,,,,203,8,59,4,,,15,2,2152,1,,,,,,,24,2,1582,5,1697,11,,,20,3,25,2,,,,,,,106,9,,,,,47,1,17,2,,,,,,,,,,,64,4,26,8,,,,,,,,,,,,,,,186,3,,,,,,,,,,,,,975,3,8,11,210,4,,,,,,,46,1,,,,,,,,,,,,,472,12,,,,,469,11,,,,,115,7,2295,8,,,,,,,,,,,18,2,19,2,,,308,1,,,22,17,27,9,,,,,116,6,,,,,443,4,,,,,,,,,,,,,79,9,,,,,,,175,11,,,,,124,9,14,4,,,,,,,500,7,,,,,,,8,3,,,21,2,,,,,,,20,3,,,2495,7
5,6,2397,41302,14,4,8,4,,,8,2,,,1483,3,,,,,,,,,22,4,,,,,139,2,,,9,2,,,,,10,4,311,2,,,,,15,5,,,26,2,26,2,,,50,8,,,5,2,9,2,317,4,,,25,2,462,1,3560,3,,,,,,,404,3,,,14556,4,20,4,2686,5,33,5,11,6,2988,2,179,11,,,,,1572,9,,,,,15,3,,,,,,,,,28,2,,,,,,,915,2,,,5,2,149,7,,,,,313,5,81,2,,,6,3,22,16,,,,,4,3,21,4,888,8,2059,9,,,,,,,90,2,23,2,,,43,22,13,2,,,,,12,3,,,,,8,9,3,4,,,40,7,40,5,,,,,,,69,2,4,7,,,,,18,9,,,,,,,,,,,,,516,13,9,10,178,6,,,,,,,9,4,,,,,,,6,2,,,,,688,7,10,2,,,575,8,,,,,,,1668,10,,,,,,,,,,,4,5,,,,,156,2,,,59,10,51,6,,,,,147,5,,,,,1713,1,9,3,,,46,4,,,,,,,84,8,,,,,17,3,560,5,,,,,129,8,16,3,,,,,6,2,105,14,27,1,,,,,4,4,,,6,10,,,,,,,21,2,,,666,18
6,7,2093,36766,,,,,,,,,,,97,17,,,,,,,,,,,,,,,16,6,,,,,,,,,,,36,11,,,,,8,6,6,3,,,,,,,29,19,5,2,,,,,136,14,,,,,53,14,1326,22,,,,,,,,,,,15011,3,9,15,1344,14,,,,,86,13,236,8,,,,,829,16,,,,,,,,,20,2,,,,,,,,,16,2,,,123,13,15,7,,,68,10,,,,,86,16,22,6,,,,,136,9,,,,,,,,,600,11,5752,1,,,23,2,17,4,,,6,4,,,179,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,7,,,,,,,,,,,,,390,16,,,76,9,,,,,,,,,,,,,,,,,,,,,349,16,,,,,551,9,,,,,,,1147,13,,,,,4,2,,,,,,,,,,,,,,,77,6,20,12,,,,,,,9,2,,,251,8,,,2,2,,,,,,,,,337,3,,,,,,,139,14,,,,,80,10,,,,,,,,,623,5,,,,,,,,,,,16,4,,,,,,,,,8,1,6322,2
7,8,811,25870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,10,,,,,,,18,54,,,,,,,2026,11,,,,,,,,,,,7467,12,4,34,782,23,,,,,,,96,22,,,,,1773,8,,,,,,,,,,,,,,,6,6,,,,,,,539,4,,,,,,,,,,,137,12,,,,,,,,,,,,,,,,,68,76,289,29,,,,,,,,,,,,,137,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,5,,,20,26,,,,,,,,,,,,,,,,,,,,,288,20,,,,,346,13,,,,,204,4,303,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,19,,,,,38,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10459,1
8,9,2181,24525,,,,,,,,,,,180,13,,,,,,,,,,,,,,,,,,,8,3,,,,,,,191,4,,,,,,,,,,,,,,,49,9,,,,,,,102,16,,,,,156,4,1410,19,,,,,,,172,5,,,7055,13,16,6,1531,10,160,2,7,12,,,217,9,,,,,1079,14,,,,,,,,,,,,,,,,,,,,,,,258,7,,,,,54,12,,,,,258,7,,,,,,,210,7,,,,,,,24,3,525,15,1901,10,,,,,,,43,3,,,,,28,33,,,,,,,,,,,,,,,13,2,,,29,8,59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,8,11,4,239,3,,,,,,,,,,,,,,,,,,,,,1061,4,,,,,251,17,,,,,151,6,2552,7,,,,,,,,,,,9,3,,,,,22,6,,,67,7,36,8,,,,,32,13,22,1,,,1117,2,,,,,,,,,,,,,143,6,,,,,,,251,9,,,,,195,6,36,2,,,,,,,,,,,,,,,,,,,7,8,,,,,,,,,,,2019,8
9,10,2162,24144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,,,,16,34,,,,,,,140,13,,,,,39,20,1631,13,,,,,,,,,,,11875,9,,,1037,18,,,,,,,91,25,,,,,823,17,,,,,15,2,,,,,,,,,,,,,,,,,46,32,,,,,,,,,,,149,11,,,,,,,19,18,,,,,,,15,7,469,16,331,27,,,,,,,8,4,,,,,59,18,,,,,,,,,,,,,,,,,,,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,35,9,9,,,,,,,,,,,,,,,,,,,,,,,586,8,,,,,259,16,,,,,20,14,4092,5,,,,,,,,,,,,,,,,,7,8,,,,,8,16,,,,,23,17,,,,,125,13,,,,,,,,,,,,,,,,,,,,,75,20,,,,,161,7,,,,,,,,,149,11,,,,,,,,,,,,,,,,,,,,,,,1720,9
