bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,oc,oc_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
811,7941,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,12,,,,,,,26,25,,,,,,,927,21,,,,,,,,,2716,39,,,1003,19,,,,,,,40,31,,,921,16,,,,,,,,,,,,,,,,,193,7,,,,,,,,,,,39,25,,,,,,,,,,,,,,,66,78,187,35,,,,,,,,,,,365,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613,6,,,24,31,,,,,,,,,,,,,280,20,,,,,229,15,,,51,7,201,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,63
6819,7593,27,,,,,,,,,,,,,,,,,,,,,,,,,,,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,18,4705,2,,,,,,,,,1445,68,5,24,,,,,,,,,42,30,,,340,43,,,,,,,,,,,,,,,,,36,28,,,,,,,,,,,,,,,,,,,,,,,5,3,,,104,55,53,58,,,,,,,,,,,20,33,,,,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,,,,,69,53,,,21,32,,,,,,,,,,,,,307,17,,,,,29,47,,,,,167,47,,,,,,,,,,,,,,,,,14,17,,,,,,,,,,,,,59,30,,,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,42
2952,7274,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,14,,,,,,,,,,,,,64,12,742,31,,,,,,,,,3601,29,8,10,654,24,,,8,8,,,109,15,,,649,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,15,,,,,,,,,422,22,32,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,20,,,76,10,,,,,,,,,,,,,,,,,,,103,27,,,,,153,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2392,7093,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,32,,,,,,,65,17,,,,,,,770,28,,,,,,,,,3842,27,,,304,32,,,14,4,105,7,,,,,683,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,24,,,,,,,,,,,,,,,258,28,262,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,22,,,26,29,,,,,,,,,,,,,243,23,,,,,115,25,,,,,,,,,,,,,,,,,,,,,,,9,22,,,,,,,9,9,,,,,75,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,43
3886,6937,30,,,,,,,,,,,,,,,,,,,,,,,,,,,163,5,,,,,,,,,,,,,,,11,33,,,,,,,,,,,,,74,11,2852,7,,,,,,,,,10,945,3,36,223,39,3,18,,,16,12,83,20,,,427,32,,,4,3,,,,,,,,,,,,,20,38,,,,,,,,,,,460,2,,,,,,,,,,,,,,,452,19,128,43,,,,,,,,,,,20,32,,,,,,,20,2,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,44,11,4,95,7,,,,,,,,,,,,,180,26,,,,,670,5,,,260,2,136,53,,,,,,,,,,,,,,,,,53,8,2,18,,,,,,,,,,,73,27,,,,,,,,,,,,,,,,,303,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,36
2921,6630,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,25,,,,,,,,,,,,,,,436,44,,,,,,,,,4438,22,,,,,,,,,,,,,,,287,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,11,,,,,,,,,,,41,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,27,,,,,,,,,,,,,,,,,,,,,,,162,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39856,6274,32,,,,,,,,,,,,,,,,,,,,,,,,,,,96,8,,,,,,,,,,,,,,,39,6,,,,,,,66,16,,,,,9,50,479,42,,,,,,,,,2424,43,,,,,,,,,,,,,,,781,19,,,,,,,,,,,,,,,,,65,19,,,,,,,,,,,81,19,,,,,,,,,,,,,,,557,13,,,,,,,,,,,,,31,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,55,,,,,,,,,,,,,387,14,,,,,,,,,,,1021,14,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,24
2785,6175,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,2,,,,,,,,,,,,,16,33,240,66,,,,,,,,,550,131,5,23,2769,4,,,17,2,,,2,140,,,1268,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,16,53,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563,9,,,,,,,,,,,,,,,7,1,28,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,36,66
2398,6022,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,72,,,,,,,,,4975,20,4,27,,,,,,,,,23,44,,,360,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,33,,,,,,,,,,,,,,,,,89,36,,,,,,,,,,,174,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,53,,,,,,,,,,,,,,,,,36,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,5916,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,21,,,,,,,,,,,,,,,703,34,,,,,64,7,,,3504,30,,,757,21,,,,,,,,,,,280,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5894,5807,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,16,,,,,,,,,,,,,,,367,46,,,,,,,,,2163,49,,,485,28,,,,,,,30,37,,,414,35,,,,,,,,,,,,,,,,,66,17,,,,,,,,,,,,,,,,,,,,,,,,,,,221,32,642,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,37,,,,,,,,,,,,,,,,,,,,,,,268,13,,,,,897,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,15,,,,,31,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2386,5708,37,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,29,,,,,,,30,23,,,,,,,84,140,,,,,,,,,2274,46,8,8,1862,7,,,,,,,36,35,,,335,44,,,,,,,,,,,,,,,,,39,26,,,,,,,,,,,19,31,,,,,,,,,,,,,,,183,38,,,,,,,,,,,,,35,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,53,14,,,,,,,,,,,,,47,47,,,,,59,36,,,,,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,17,,,,,,,,,,,12,10,,,,,,,,,,,4,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,461,11
36218,5471,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,55,,,,,,,41,21,,,,,7,61,787,27,,,,,,,,,3134,33,,,77,65,,,,,,,17,54,,,165,65,,,,,,,,,,,,,,,,,19,39,,,,,,,,,,,,,,,,,,,,,,,,,,,75,71,817,15,,,,,,,,,,,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,55,,,30,27,,,,,,,,,,,,,38,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,31
4192,5431,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,23,,,,,,,67,14,,,,,40,17,1093,18,,,,,,,,,2,960,,,274,34,,,,,,,46,28,,,206,60,,,,,,,,,,,10,3,,,,,12,42,,,,,,,,,,,105,13,,,,,,,,,,,,,,,468,18,379,23,,,,,,,,,,,,,,,,,,,,,,,,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,24,,,,,,,,,,,,,,,,,124,29,,,,,,,,,,,2296,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,23,,,,,,,,,,,,,,,,,,,,,,,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,5329,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,32,,,,,,,866,22,,,,,,,,,4419,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,5203,41,,,,,,,,,,,41,11,,,,,,,13,3,,,,,,,18,14,,,,,,,,,7,6,,,,,15,20,,,,,,,23,26,,,,,,,175,82,,,,,,,,,2027,53,8,9,1102,17,,,,,15,13,27,41,,,112,79,,,,,,,,,,,,,,,,,45,25,,,,,,,,,,,54,22,,,,,,,,,,,,,,,256,29,167,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,46,,,,,,,4,5,,,,,,,,,107,32,,,,,125,24,,,13,11,594,22,,,,,,,,,,,,,,,,,19,13,,,,,,,,,,,,,21,52,,,,,,,,,,,,,,,,,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,33
18011,5072,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3,,,,,,,,,13,27,,,,,,,30,24,,,,,,,159,86,,,,,,,,,2045,52,6,19,617,25,6,16,,,,,18,53,,,116,77,,,,,,,,,,,,,,,,,21,37,19,6,,,,,,,,,17,34,,,,,24,14,,,,,,,,,55,84,839,14,,,,,,,,,,,40,21,,,,,,,1,4,,,,,,,,,,,,,,,20,4,,,,,41,7,,,,,,,,,,,,,42,67,7,12,11,38,,,,,,,,,,,,,65,40,,,,,212,16,,,,,447,28,,,,,,,,,,,,,8,7,5,4,13,18,,,,,,,,,,,,,29,43,,,,,10,7,,,,,,,,,,,47,20,,,,,11,23,,,,,,,,,52,10,,,,,,,,,,,,,,,,,,,,,,
30549,5001,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,37,,,,,16,34,361,48,,,,,,,,,3637,28,,,,,,,,,,,,,,,216,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,61,296,27,,,,,,,,,,,16,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,43,,,27,28,,,,,,,,,,,,,,,,,,,,,,,,,191,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41114,4882,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4820,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,4516,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,52,,,,,,,,,,,,,12,39,231,67,,,,,,,,,3058,34,,,,,,,,,,,13,64,,,221,56,,,,,,,,,,,,,,,,,22,36,,,,,,,,,,,,,,,,,,,,,,,4,4,,,101,57,373,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,56,,,16,34,,,,,,,,,,,,,24,70,,,,,44,39,,,,,214,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,49,,,,,,,,,,,,,,,,,33,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,47
2281,4424,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,49,,,,,,,,,,,,,,,,,,,,,,,,,2806,38,,,1048,18,,,,,,,,,,,322,45,,,,,,,,,,,,,,,,,25,34,,,,,,,,,,,,,,,,,,,,,,,,,,,174,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,4368,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,189,,,,,,,,,4297,25,,,20,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,4281,48,,,,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,28,,,,,,,12,38,,,,,125,8,284,58,,,,,,,,,2235,47,6,15,264,37,,,,,63,9,29,40,,,235,54,,,,,,,,,,,,,,,,,62,21,,,,,,,,,,,,,,,,,,,,,,,,,,,88,65,,,,,,,,,,,,,19,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,10,,,31,25,,,,,,,,,,,,,,,,,,,,,,,,,134,54,,,,,,,,,,,,,,,,,8,23,,,,,,,,,,,,,31,40,,,,,,,,,,,,,,,,,,,,,,,10,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,48
3955,4091,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,40,,,,,,,12,39,,,,,,,139,96,,,,,,,,,1883,59,,,339,30,,,,,,,,,,,475,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,21,,,,,,,,,,,,,,,585,10,,,,,,,,,,,,,225,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,16
9209,3933,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,78,,,,,,,,,,,,,25,24,343,51,,,,,,,,,2667,40,,,37,89,,,,,,,38,32,,,2,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,43,,,,,,,,,,,,,,,199,35,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,122,30,4,16,43,18,,,,,,,,,,,,,135,28,,,,,,,,,,,218,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,31,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,12,13,,,,,,,,,,,,,,,,,,,,,,
891,3874,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,47,,,,,,,,,,,,,,,186,77,,,,,,,,,2855,37,,,320,31,,,,,,,,,,,314,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9364,3521,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088,6,,,,,,,,,374,167,,,,,,,,,,,,,,,29,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,3490,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,24,,,,,,,,,2211,48,,,,,,,,,,,243,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3426,54,,,,,,,,,,,190,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,53,,,,,,,,,2121,51,,,207,42,,,,,,,8,90,,,235,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,35,,,,,,,,,,,,,,,,,92,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5242,3401,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3384,31,,,3,125,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11634,3379,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3326,32,,,,,,,,,,,,,,,18,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,94
1293,3346,57,,,,,,,,,,,16,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,48,,,,,,,14,34,,,,,,,133,99,,,,,,,,,2473,42,,,124,56,,,,,,,29,39,,,205,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,41,,,,,,,,,,,,,,,,,28,62,,,,,32,44,,,,,106,55,,,,,,,,,,,,,,,,,,,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11733,3342,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,97,,,,,,,9,1,769,105,,,,,,,,,,,,,,,162,66,,,,,,,,,,,,,,,,,,,,,,,201,3,,,,,14,38,,,,,,,,,,,,,,,1922,3,28,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,,,,,,,,,,,56,3,,,,,16,8,,,,,10,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
4112,3207,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,22,,,,,,,,,,,,,42,16,130,101,,,,,,,,,1486,66,6,17,166,47,,,7,10,,,,,,,256,50,,,,,,,,,,,,,,,,,33,30,,,,,,,,,,,,,,,,,18,16,,,,,,,,,101,60,78,52,,,,,,,,,,,15,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,34,,,33,24,,,,,,,,,,,,,218,25,,,,,169,20,,,,,150,50,,,,,,,,,,,,,,,,,17,15,,,,,,,,,,,,,9,76,,,,,,,,,,,17,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,30
98,3172,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,38,193,74,,,,,,,,,2495,41,,,39,86,,,,,,,13,63,,,57,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,63,,,,,,,,,,,,,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,31,,,16,33,,,,,,,,,,,,,,,,,,,10,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,39
2759,3038,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,385,,,,,,,,,2981,35,,,,,,,,,,,,,,,10,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,104
