bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,ary,ary_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lmo,lmo_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,120369,1,122,1,27,1,32,1,38,1,20,1,3858,1,42,1,14,1,13,1,94,1,54,2,4,1,11,1,376,1,32,1,16,1,14,2,,,28,1,457,2,157,1,130,1,518,1,22,1,37,2,262,1,20,1,220,1,13,1,18,1,32,1,781,2,29,1,37,1,344,2,6163,1,24,1,20,1,20,1,530,3,9,1,32778,1,65,1,9505,1,525,1,43,1,2570,3,1144,2,32,1,20,1,6153,2,,,13,1,24,1,25,1,24,1,23,1,18,1,41,1,93,1,23,1,,,1480,1,1553,1,65,1,439,3,25,1,32,1,1188,1,241,1,,,27,1,1457,2,25,1,28,1,38,1,76,1,3477,3,2894,2,28,1,24,1,34,2,263,1,184,1,197,1,355,4,25,1,12,1,47,1,91,1,19,1,8,1,20,1,17,2,22,1,353,1,177,1,16,1,21,1,17,2,73,2,231,1,61,1,691,1,3613,1,14,1,86,1,11,1,35,1,26,1,22,1,965,9,64,1,249,4,21,1,,,18,1,13,3,24,1,14,1,21,1,16,1,,,21,1,4396,2,25,1,22,1,2804,2,31,1,23,1,476,1,8796,2,17,1,27,1,10,1,28,1,13,1,21,1,17,1,15,1,95,4,206,1,349,1,172,4,,,133,1,366,2,,,24,2,844,3,35,2,,,240,1,,,376,1,28,1,1051,2,23,1,54,1,78,1,1362,3,33,1,,,487,2,65,1,188,1,35,1,25,1,2097,1,,,26,1,,,23,1,,,31,1,22,1,17,1,28,1,26,1,,,6088,1
2223,68392,2,,,,,,,,,,,2950,2,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,12,,,,,,,1809,1,,,,,207,5,2185,11,,,,,,,,,,,10997,8,,,3989,2,,,,,3137,2,2259,1,,,,,4929,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,5,,,,,468,5,,,,,,,,,7317,1,2781,3,,,,,12,6,,,,,,,190,6,,,,,,,,,,,,,,,,,,,125,3,,,,,,,,,,,16,5,,,,,102,6,,,,,,,,,,,,,1472,4,,,966,1,,,,,,,,,,,,,,,,,,,,,5096,1,,,,,3870,1,,,,,271,4,3433,6,,,,,,,,,,,,,,,,,,,31,3,,,554,1,,,48,2,188,5,,,,,369,9,,,,,,,,,,,,,305,5,,,,,,,3382,1,,,,,425,3,,,,,,,,,1046,3,,,,,,,,,,,5,9,,,,,,,,,,,3337,6
10816,53640,3,,,,,,,,,,,569,7,,,,,,,,,24,3,,,,,,,,,,,28,1,,,20,2,133,7,,,,,,,,,,,16,3,,,144,2,,,,,,,463,5,,,,,240,4,4020,4,,,,,,,77,7,,,13837,5,,,2840,3,53,4,,,604,5,547,6,,,,,3086,6,,,,,,,,,,,,,,,,,,,,,,,390,6,41,6,,,261,7,,,,,534,4,,,,,,,510,4,,,,,,,,,2999,4,2406,5,,,,,,,,,,,14,2,200,5,,,,,,,,,,,,,,,,,,,,,61,3,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,1088,8,16,6,259,3,,,19,1,,,,,,,,,,,,,,,,,1717,4,,,,,1300,3,,,,,291,3,8595,3,,,,,,,,,,,,,,,,,27,5,,,77,9,,,,,,,130,7,,,,,459,7,,,,,,,,,,,,,,,,,,,15,3,662,5,,,,,177,6,,,,,,,,,897,4,,,,,,,9,2,,,18,4,,,,,,,,,,,3755,5
1406,47345,4,28,2,,,,,,,,,1105,5,,,,,,,,,74,1,,,,,57,3,,,,,,,,,,,171,5,,,,,,,,,,,,,,,72,5,,,,,,,148,16,,,13,4,252,3,2654,8,,,,,,,276,4,,,16775,2,14,3,2616,4,37,5,11,3,430,7,857,4,,,,,3698,5,10,1,,,,,12,2,,,,,,,25,2,,,,,,,700,3,,,,,438,4,,,,,285,7,103,3,,,7,2,1452,3,,,,,,,17,4,1798,5,2412,4,,,18,2,18,4,,,,,,,154,8,,,,,22,2,14,6,,,,,,,,,,,64,6,18,11,,,,,,,,,,,,,,,104,5,,,,,,,,,,,,,1422,5,8,12,419,2,,,,,,,29,1,,,,,,,,,,,,,434,16,,,,,354,12,,,,,100,8,3249,7,,,,,,,,,,,12,2,10,2,,,481,1,,,28,14,52,9,,,,,110,8,,,,,584,6,,,,,,,,,,,,,46,11,,,,,,,158,13,,,,,162,8,11,4,,,,,,,496,7,,,,,,,6,3,,,7,5,,,,,,,13,3,,,2195,7
2397,44333,5,13,4,14,2,,,10,2,,,1835,3,,,,,,,,,21,4,,,,,146,2,,,9,2,,,,,10,3,575,1,,,,,14,5,,,45,1,17,2,,,66,7,,,5,2,14,2,389,7,,,5,9,634,1,3688,6,,,,,,,677,2,,,14245,4,20,2,2453,6,11,12,9,4,3360,1,205,13,,,,,2614,9,,,,,2,6,,,,,,,,,21,4,,,,,,,1126,2,,,14,2,321,6,,,,,332,5,74,4,,,7,3,18,15,,,,,7,4,25,2,1186,6,1947,7,,,,,,,99,2,16,2,,,18,42,6,2,,,,,27,2,,,,,6,7,8,4,,,66,5,43,4,,,,,,,103,1,6,7,,,,,8,9,,,,,,,,,,,,,835,10,14,8,232,5,,,,,,,15,2,,,,,,,9,2,,,,,999,7,14,2,,,501,9,,,,,,,2410,11,,,,,,,,,,,7,4,,,,,166,2,,,50,11,52,10,,,,,149,6,,,,,656,4,22,3,,,21,4,,,,,,,61,9,,,,,16,2,623,6,,,,,140,10,12,3,,,,,8,2,130,12,24,1,,,,,2,4,,,7,7,,,,,,,18,2,,,550,18
27443,44289,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,14,,,,,,,74,22,,,17,2,25,27,685,31,,,,,,,36,12,,,7601,10,9,6,603,25,27,6,,,,,109,25,,,,,418,52,,,,,,,,,,,,,,,,,,,,,,,35,38,,,,,51,13,,,,,,,,,,,,,,,,,,,,,,,511,19,1602,10,,,,,,,,,,,,,564,3,,,,,,,,,,,,,,,,,,,,,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,27,,,,,,,,,,,,,,,,,,,,,,,,,399,17,,,,,176,20,,,,,,,5157,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21609,1,,,,,,,,,,,,,73,13,,,,,,,,,323,9,,,,,,,,,,,,,,,,,,,,,,,3879,4
2093,35959,7,,,,,,,,,,,123,15,,,,,,,,,,,,,,,14,5,,,,,,,,,,,45,11,,,,,8,6,18,2,,,,,,,58,8,4,2,,,,,123,18,,,,,88,10,1140,19,,,,,,,,,,,15512,3,8,8,1416,8,,,,,64,16,134,22,,,,,1146,17,,,,,,,,,12,2,,,,,,,,,9,2,,,97,17,17,7,,,76,12,,,,,135,12,13,7,,,,,120,10,,,,,,,,,680,13,3901,1,,,14,3,20,3,,,9,3,,,184,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,8,,,13,2,,,,,,,,,358,18,,,83,13,,,,,,,,,,,,,,,,,,,,,384,18,,,,,536,8,,,,,,,2609,9,,,,,2,2,,,,,,,,,,,,,,,56,10,11,16,,,,,,,22,2,,,193,12,,,8,2,,,,,,,,,433,3,,,,,,,188,10,,,,,147,9,,,,,,,,,630,6,,,,,,,,,,,19,3,,,,,,,,,14,1,5016,3
2162,27141,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,,18,30,,,,,,,183,14,,,,,32,23,1676,17,,,,,,,,,,,12738,6,,,1122,14,,,,,,,128,24,,,,,1290,15,,,,,6,4,,,,,,,,,,,,,,,,,32,40,,,,,,,,,,,113,15,,,,,,,12,17,,,,,,,15,5,550,17,333,23,,,,,,,3,4,,,,,59,12,,,,,,,,,,,,,,,,,,,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,32,2,16,,,,,,,,,,,,,,,,,,,,,,,616,10,,,,,272,16,,,,,35,11,4971,5,,,,,,,,,,,,,,,,,5,9,,,,,22,12,,,,,24,14,,,,,164,15,,,,,,,,,,,,,,,,,,,,,72,17,,,,,166,7,,,,,,,,,276,10,,,,,,,,,,,,,,,,,,,,,,,2011,8
2181,26460,9,,,,,,,,,,,250,10,,,,,,,,,,,,,,,,,,,6,3,,,,,,,341,3,,,,,,,,,,,,,,,37,13,,,,,,,271,11,,,,,197,6,1748,15,,,,,,,194,5,,,7204,12,6,13,1123,13,121,3,3,14,,,250,8,,,,,1686,12,,,,,,,,,,,,,,,,,,,,,,,261,7,,,,,125,10,,,,,306,6,,,,,,,323,7,,,,,,,22,3,1052,7,1165,12,,,,,,,45,3,,,,,31,26,,,,,,,,,,,,,,,21,1,,,20,10,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,14,26,3,178,6,,,,,,,,,,,,,,,,,,,,,1268,5,,,,,283,15,,,,,147,6,2805,8,,,,,,,,,,,8,3,,,,,26,6,,,139,5,100,5,,,,,50,12,27,1,,,967,2,,,,,,,,,,,,,225,6,,,,,,,443,7,,,,,314,4,22,2,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,1973,9
811,24725,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,4,,,,,,,12,52,,,,,,,1855,14,,,,,,,,,,,7368,11,3,22,904,18,,,,,,,221,10,,,,,3040,8,,,,,,,,,,,,,,,3,7,,,,,,,539,5,,,,,,,,,,,132,14,,,,,,,,,,,,,,,,,113,56,410,21,,,,,,,,,,,,,611,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808,2,,,35,26,,,,,,,,,,,,,,,,,,,,,493,13,,,,,362,11,,,,,261,5,497,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,18,,,,,44,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5865,2
