bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,112012,1,163,1,39,1,40,1,27,1,16,1,2499,1,17,1,20,1,31,2,500,1,60,1,26,1,22,2,,,50,1,455,1,1324,1,68,1,507,2,19,1,48,1,347,1,21,1,310,1,24,1,16,1,28,1,884,1,20,1,97,1,370,2,4690,1,21,1,14,1,444,3,18,1,29871,1,68,1,12783,1,593,1,54,1,1535,3,1616,1,19,1,3796,1,,,22,1,24,1,27,1,19,1,18,1,60,1,156,1,24,1,,,1516,1,5184,1,158,1,311,2,22,1,17,1,1091,1,277,1,,,22,1,1816,1,16,1,18,1,29,1,73,1,4229,1,2530,3,19,1,23,1,17,2,365,1,372,1,110,1,304,3,22,1,,,40,1,54,1,28,1,17,1,18,1,48,1,305,2,221,1,12,2,22,1,17,2,66,2,184,1,134,1,1983,1,218,2,21,1,43,1,17,1,22,1,22,2,15,1,928,7,29,1,383,2,14,1,,,14,1,20,1,19,1,14,1,13,1,14,1,,,21,1,2819,2,20,1,21,1,3972,2,20,1,16,1,352,1,6436,2,18,1,26,1,14,1,14,1,14,1,29,1,22,1,20,1,125,2,90,1,329,1,188,1,,,204,1,289,3,,,23,3,988,2,50,1,,,323,1,,,324,1,1,1,483,2,27,1,217,1,401,2,30,1,,,488,3,72,1,275,1,29,1,17,1,3114,1,,,21,1,,,16,2,,,28,1,16,1,14,1,19,1,22,1,,,2539,4
2223,51064,2,,,,,,,,,,,492,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,8,,,,,,,776,2,,,,,211,3,1875,14,,,,,,,,,11988,5,,,4294,2,,,,,2291,2,1202,2,,,2640,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,3,,,,,163,9,,,,,,,,,3588,2,2075,6,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,392,1,,,,,,,,,,,24,5,,,,,65,5,,,,,,,,,,,,,610,12,,,657,1,,,,,,,,,,,,,,,,,,,,,3095,1,,,,,6735,1,,,,,,,1910,7,,,,,,,,,,,,,,,,,,,8,3,,,146,2,,,,,55,10,,,,,203,9,,,,,,,,,,,,,383,4,,,,,2258,1,,,,,492,2,,,,,,,,,760,2,,,,,,,,,,,5,9,,,,,,,,,,,1590,8
1406,45688,3,25,2,,,,,,,,,11,20,,,,,16,3,44,3,,,,,,,,,,,224,3,,,,,,,,,,,,,,,58,4,,,,,,,136,10,,,12,3,182,4,2916,7,,,,,381,5,,,20313,3,12,7,3020,3,52,5,14,2,298,6,782,3,,,2419,4,38,1,,,,,6,3,,,,,,,,,,,,,630,4,,,,,251,3,,,,,162,10,32,4,,,12,2,1570,2,,,,,,,15,3,1332,5,2326,5,,,12,3,12,3,,,,,,,,,,,,,,,9,2,,,,,,,,,84,4,26,8,,,,,,,,,,,,,,,59,6,,,,,,,,,,,,,1490,1,10,8,284,3,,,,,,,,,,,,,,,,,,,,,433,11,,,,,664,6,,,,,124,6,2711,6,,,,,,,,,,,7,3,10,2,,,229,1,,,29,13,40,6,,,,,206,4,,,,,505,4,,,,,,,,,,,,,,,,,,,83,9,,,,,181,6,6,4,,,,,,,172,8,,,,,,,11,3,,,8,6,,,,,,,13,2,,,981,10
10816,37257,4,,,,,,,,,,,293,7,,,,,42,1,,,,,,,63,1,,,26,2,124,6,,,,,,,,,,,23,2,,,47,6,,,,,,,294,4,,,,,137,8,3230,5,,,,,65,8,,,10841,8,,,2711,5,64,4,,,442,5,240,6,,,1889,6,,,,,,,,,,,,,,,,,,,,,479,6,76,6,,,143,6,,,,,300,3,,,,,,,243,7,,,,,,,,,1694,4,1829,7,,,,,,,,,,,26,3,286,4,,,,,,,,,,,,,,,,,,,62,3,,,,,,,,,,,,,,,,,,,,,,,,,23,1,,,632,10,20,2,188,6,,,26,1,,,,,,,,,,,,,,,,,1275,4,,,,,1459,3,,,,,165,3,4204,4,,,,,,,,,,,,,,,,,28,5,,,95,5,,,,,,,85,6,,,,,619,3,,,,,,,,,27,4,,,,,,,17,2,78,10,,,,,122,9,,,,,,,,,241,7,,,,,,,21,1,,,17,2,,,,,,,,,,,2246,5
2397,31938,5,7,5,6,4,,,8,2,,,851,2,,,,,10,5,140,2,,,13,3,,,,,16,3,321,2,,,,,15,5,,,22,2,14,3,,,31,14,,,9,2,8,2,240,6,,,9,5,393,1,3245,4,,,,,397,4,,,11391,6,14,6,1641,8,43,7,11,4,2818,1,179,8,,,1383,10,,,,,9,2,,,,,,,8,5,,,,,,,728,3,,,5,2,128,8,,,,,250,4,44,2,,,6,3,34,14,,,,,7,3,16,2,1112,6,1469,9,,,,,,,62,2,32,2,,,25,24,10,2,,,,,9,3,,,,,5,3,8,3,59,5,32,6,,,,,,,68,1,8,7,,,,,10,9,,,,,,,,,,,,,426,16,11,7,206,4,,,,,,,5,5,,,,,,,3,3,,,,,641,9,4,2,,,495,9,,,,,,,1215,13,,,,,,,,,,,4,5,,,,,65,4,,,40,11,37,9,,,,,127,5,,,,,357,5,8,3,,,27,4,,,,,,,51,9,,,4,4,217,4,,,,,59,14,12,3,,,,,2,2,90,11,10,1,,,,,5,4,,,5,10,,,,,,,10,3,,,423,17
463,27493,6,,,14,2,,,,,,,,,,,,,,,12,6,,,,,,,,,,,25,15,,,,,,,,,16,3,,,,,37,9,,,,,,,210,8,,,,,81,11,2447,9,,,,,,,,,13054,4,14,4,1243,18,28,12,9,6,15,20,170,10,,,1397,9,,,,,,,,,,,,,,,,,,,,,75,20,,,,,31,14,,,,,89,18,,,,,,,84,11,,,,,,,,,1036,7,2473,4,,,,,,,,,,,,,57,13,,,,,,,6,5,,,,,,,,,39,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,19,12,5,37,18,,,,,,,,,,,,,,,,,,,,,362,15,,,,,1141,4,,,,,,,1676,9,,,,,,,,,,,,,,,,,,,,,,,39,7,,,,,37,12,,,,,173,12,,,,,,,,,,,,,76,7,,,,,25,26,,,,,47,17,,,,,,,,,39,13,,,,,,,,,,,,,,,,,,,,,,,791,12
2093,27226,7,,,,,,,,,,,62,14,,,,,,,13,5,,,,,,,,,,,27,13,,,,,12,6,13,2,,,,,,,21,19,11,2,,,,,96,17,,,,,64,15,1048,23,,,,,,,,,11383,7,11,9,1597,9,,,,,78,11,134,16,,,918,17,,,,,,,,,16,2,,,,,,,9,2,,,66,23,23,7,,,59,11,,,,,72,21,10,6,,,,,114,10,,,,,,,,,545,14,4021,1,,,16,2,8,5,,,2,4,,,195,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,7,,,,,,,,,,,,,459,14,,,35,20,,,,,,,,,,,,,,,,,,,,,254,20,,,,,484,11,,,,,,,1258,12,,,,,10,2,,,,,,,,,,,,,,,40,10,17,12,,,,,,,20,1,,,166,14,,,11,1,,,,,,,,,320,5,,,,,85,8,,,,,78,11,,,,,,,,,453,5,,,,,,,,,,,9,4,,,,,,,,,10,1,2824,3
2392,25277,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,15,,,,,,,76,20,,,,,,,583,42,,,,,21,12,,,21423,2,,,268,40,,,12,3,253,7,153,12,,,645,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,27,,,,,,,,,,,,,,,,,277,30,207,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,21,,,66,15,,,,,,,,,,,,,,,,,,,,,347,18,,,,,147,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,9,,,,,,,70,8,,,,,165,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,31
2181,25248,9,,,,,,,,,,,,,,,,,,,,,,,17,2,,,,,,,183,4,,,,,,,,,,,,,,,31,13,,,,,,,131,12,,,,,175,5,1964,13,,,,,514,2,,,7571,14,14,5,1505,12,107,2,9,8,,,173,9,,,1518,8,,,,,,,,,,,,,,,,,,,,,242,8,,,,,73,10,,,,,184,8,,,,,,,369,5,,,,,,,15,4,976,8,934,13,,,,,,,39,3,,,,,38,17,,,,,,,,,,,,,,,9,2,30,9,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264,2,12,6,196,5,,,,,,,,,,,,,,,,,,,,,1354,3,,,,,448,12,,,,,170,2,1822,8,,,,,,,,,,,11,2,,,,,25,6,,,78,7,39,8,,,,,22,16,12,2,,,1078,1,,,,,,,,,,,,,212,6,,,,,189,5,,,,,125,7,24,2,,,,,,,,,,,,,,,,,,,9,5,,,,,,,,,,,1287,9
2162,20654,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,9,40,,,,,,,101,16,,,,,21,31,1156,21,,,,,,,,,9087,11,,,640,25,,,,,,,99,25,,,1161,13,,,,,3,4,,,,,,,,,,,,,,,20,44,,,,,,,,,,,157,11,,,,,,,7,18,,,,,,,7,8,481,17,7,112,,,,,,,5,4,,,,,82,8,,,,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,43,3,15,,,,,,,,,,,,,,,,,,,,,,,403,13,,,,,134,28,,,,,17,10,4781,3,,,,,,,,,,,,,,,,,4,10,,,,,9,16,,,,,34,14,,,,,95,21,,,,,,,,,,,,,,,,,,,61,13,,,,,124,8,,,,,,,,,27,16,,,,,,,,,,,,,,,,,,,,,,,1801,7
