bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,99758,1,107,1,26,1,27,1,20,1,38,1,2251,1,20,1,30,1,41,1,37,2,6,1,24,1,465,1,42,1,28,1,23,2,,,41,2,382,1,168,1,182,1,651,1,16,3,65,1,241,1,29,1,367,1,27,1,14,1,26,1,732,2,33,1,38,1,416,2,5425,1,19,1,18,1,25,1,458,2,23,1,25588,2,51,1,10312,1,368,1,65,1,2455,3,1694,1,24,1,22,1,3462,2,,,16,1,31,1,80,1,20,1,29,1,28,1,32,1,129,1,31,1,,,1797,4,1520,1,103,1,388,3,19,1,31,1,998,1,461,1,,,23,1,1895,3,17,1,22,1,15,1,84,1,2990,2,2832,3,18,1,14,3,27,2,405,1,707,1,109,1,368,2,21,1,18,1,85,1,81,1,34,1,18,1,27,1,30,1,247,1,181,1,6,1,16,2,16,2,74,1,146,1,120,1,713,1,544,2,23,1,56,1,17,1,32,1,32,1,24,1,883,4,46,1,447,2,26,1,,,31,1,23,2,31,1,31,1,12,1,40,1,,,21,1,2439,2,28,1,47,1,4086,2,27,1,23,1,345,1,6437,3,44,1,20,1,13,1,20,1,35,1,23,1,31,1,21,1,114,3,106,1,297,1,154,2,,,168,1,393,2,,,13,3,905,2,56,2,,,200,1,,,237,1,40,1,463,3,26,1,76,1,113,1,1035,3,26,1,,,338,2,99,1,226,1,34,1,23,1,2279,1,,,28,1,,,28,1,,,37,1,30,1,21,1,21,1,19,1,,,2501,3
2223,74162,2,,,,,,,,,,,1298,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,17,,,,,,,914,1,,,,,231,4,1896,15,,,,,,,,,,,29145,1,,,4917,2,,,,,2485,2,1125,2,,,,,2382,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,3,,,,,380,6,,,,,,,,,4284,1,3737,2,,,,,4,6,,,,,,,60,16,,,,,,,,,,,,,,,,,82,4,,,,,,,,,,,8,5,,,,,125,4,,,,,,,,,,,,,686,9,,,479,1,,,,,,,,,,,,,,,,,,,,,3614,1,,,,,7388,1,,,,,,,2158,8,,,,,,,,,,,,,,,,,,,12,3,,,168,1,,,17,2,109,7,,,,,250,9,,,,,,,,,,,,,455,4,,,,,,,2283,1,,,,,258,3,,,,,,,,,1338,2,,,,,,,,,,,4,9,,,,,,,,,,,1785,7
1406,48154,3,40,2,,,,,,,,,569,4,,,,,,,14,4,,,,,57,3,,,,,,,,,,,196,4,,,,,,,,,,,,,,,70,6,,,,,,,162,15,,,20,2,245,3,3083,7,,,,,,,353,4,,,17850,3,22,2,2783,4,51,5,7,5,377,6,689,4,,,,,2343,4,23,1,,,,,12,3,,,,,,,,,,,,,,,2987,1,,,,,410,2,,,,,204,9,42,4,,,16,2,2443,2,,,,,,,12,5,1599,5,2382,5,,,17,1,13,3,,,,,,,106,10,,,,,,,13,3,,,,,,,,,80,5,27,9,,,,,,,,,,,,,,,86,5,,,,,,,,,,,,,1186,3,17,4,323,3,,,,,,,29,1,,,,,,,,,,,,,537,12,,,,,571,12,,,,,94,7,2646,7,,,,,,,,,,,10,4,24,2,,,506,1,,,54,12,56,6,,,,,165,4,,,,,907,1,,,,,,,,,,,,,,,,,,,,,130,11,,,,,153,7,13,4,,,,,,,316,8,,,,,,,9,4,,,10,6,,,,,,,11,3,,,984,10
10816,42693,4,,,,,,,,,,,406,7,,,,,,,47,1,,,,,,,,,,,33,1,,,43,1,138,7,,,,,,,,,,,25,2,,,80,4,,,,,,,270,8,,,,,153,7,2911,8,,,,,,,109,7,,,10498,8,,,3180,3,59,4,,,398,5,290,6,,,,,1671,9,,,,,,,,,,,,,,,,,,,,,,,541,8,61,6,,,184,6,,,,,326,3,,,,,,,512,4,,,,,,,,,1563,6,2085,7,,,,,,,,,,,24,2,144,8,,,,,,,,,,,,,,,,,,,60,3,,,,,,,,,,,,,,,,,,,,,,,,,31,2,,,596,11,27,2,220,5,,,28,1,,,,,,,,,,,,,,,,,1533,3,,,,,1908,3,,,,,163,4,8842,1,,,,,,,,,,,,,,,,,31,5,,,86,6,,,,,,,86,8,,,,,401,5,,,,,,,,,,,,,,,,,,,29,2,272,6,,,,,156,5,,,,,,,,,374,6,,,,,,,17,2,,,25,2,,,,,,,,,,,2057,5
2397,38188,5,16,3,20,2,,,7,2,,,1109,3,,,,,,,15,3,,,,,147,2,,,8,3,,,,,10,3,372,2,,,,,19,5,,,32,2,16,3,,,91,3,,,7,2,9,2,319,6,,,19,3,433,1,3631,5,,,,,,,427,3,,,13835,6,16,4,2413,6,35,6,16,3,2679,1,194,9,,,,,1431,11,,,,,13,3,,,,,,,,,9,3,,,,,,,1498,5,,,18,2,149,8,,,,,308,4,100,2,,,14,3,34,13,,,,,12,2,30,2,982,9,1447,10,,,,,,,78,2,44,2,,,46,22,10,2,,,,,25,2,,,,,16,2,12,3,72,6,34,8,,,,,,,65,2,6,6,,,,,18,9,,,,,,,,,,,,,503,13,9,8,248,4,,,,,,,10,3,,,,,,,10,3,,,,,561,11,6,2,,,686,8,,,,,,,1427,10,,,,,,,,,,,14,2,,,,,49,4,,,69,9,45,8,,,,,141,6,,,,,400,6,16,3,,,23,4,,,,,,,57,9,,,,,11,4,621,4,,,,,91,9,32,2,,,,,12,2,84,12,25,1,,,,,14,3,,,6,7,,,,,,,13,2,,,639,15
2093,29903,6,,,,,,,,,,,57,17,,,,,,,,,,,,,14,5,,,,,,,,,,,47,12,,,,,10,6,18,2,,,,,,,54,10,9,2,,,,,121,21,,,,,72,15,1116,25,,,,,,,,,,,11972,7,7,13,1586,12,,,,,57,14,169,13,,,,,869,17,,,,,,,,,12,2,,,,,,,,,10,2,,,137,22,20,7,,,41,12,,,,,100,18,12,6,,,,,126,10,,,,,,,,,566,19,5049,1,,,16,2,6,4,,,11,4,,,150,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,7,,,,,,,,,,,,,390,17,,,72,16,,,,,,,,,,,,,,,,,,,,,385,16,,,,,721,7,,,,,,,1339,12,,,,,13,2,,,,,,,,,,,,,,,82,7,23,10,,,,,,,9,2,,,201,10,,,10,1,,,,,,,,,256,5,,,,,,,136,10,,,,,85,10,,,,,,,,,400,5,,,,,,,,,,,12,4,,,,,,,,,8,1,3283,1
2162,29342,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,,,,18,28,,,,,,,189,13,,,,,48,22,2023,13,,,,,,,,,,,16402,5,,,851,23,,,,,,,156,17,,,,,1048,14,,,,,5,5,,,,,,,,,,,,,,,,,47,45,,,,,,,,,,,148,11,,,,,,,6,19,,,,,,,6,10,630,18,257,32,,,,,,,8,4,,,,,67,13,,,,,,,,,,,,,,,,,25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,39,4,13,,,,,,,,,,,,,,,,,,,,,,,609,9,,,,,274,21,,,,,11,14,3970,5,,,,,,,,,,,,,,,,,4,9,,,,,8,16,,,,,14,16,,,,,150,19,,,,,,,,,,,,,,,,,,,,,69,15,,,,,146,8,,,,,,,,,72,13,,,,,,,,,,,,,,,,,,,,,,,1947,6
13,29216,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,11,,,,,,,145,16,,,5,7,43,25,1646,17,,,,,,,72,10,,,17352,4,3,29,1917,9,,,4,9,,,56,33,,,4,2,761,21,,,,,,,,,,,,,1,4,,,,,,,,,2338,3,,,,,,,,,,,100,17,,,3,1,,,,,,,,,,,,,353,30,1246,13,,,,,,,,,,,,,83,11,,,,,,,,,,,,,,,,,,,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,8,12,7,73,15,,,,,,,,,,,,,,,,,,,,,223,23,,,,,371,15,,,,,53,10,732,17,,,,,,,,,,,,,,,,,,,,,16,15,37,9,,,,,53,11,,,,,194,12,,,,,,,,,,,,,,,,,,,,,72,14,,,,,,,,,,,,,,,12,21,,,,,,,,,,,,,,,,,,,,,,,461,17
463,22590,9,15,5,11,3,,,,,,,,,,,,,,,,,,,,,12,6,,,,,,,,,,,34,16,,,,,,,,,6,7,,,,,55,9,,,,,,,210,11,,,,,72,14,2112,12,,,,,,,,,,,10328,9,8,8,1060,20,14,12,6,7,7,22,145,19,,,,,961,16,,,,,,,,,,,,,,,,,,,,,,,107,27,,,,,20,14,,,,,90,19,,,,,,,29,14,,,,,,,,,897,11,2640,4,,,,,,,,,,,,,33,29,,,,,,,9,4,,,,,,,,,27,10,,,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,292,21,8,9,68,17,,,,,,,,,,,,,,,,,,,,,410,14,,,,,751,6,,,,,,,999,14,,,,,,,,,,,,,,,,,,,,,,,16,13,,,,,17,15,,,,,152,18,,,,,,,,,,,,,50,10,,,,,,,49,18,,,,,57,14,,,,,,,,,42,16,,,,,,,,,,,,,,,,,,,,,,,764,11
2181,21644,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,,,,199,3,,,,,,,,,,,,,,,62,8,,,,,,,180,14,,,,,158,6,1497,18,,,,,,,187,5,,,6982,15,9,6,1470,14,169,2,8,4,,,163,15,,,,,1013,15,,,,,,,,,,,,,,,,,,,,,,,270,14,,,,,125,9,,,,,251,7,,,,,,,335,7,,,,,,,26,3,717,16,931,15,,,,,,,46,3,,,,,57,17,,,,,,,,,,,,,,,13,2,49,8,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,15,14,5,180,6,,,,,,,,,,,,,,,,,,,,,1178,5,,,,,314,17,,,,,141,5,1923,9,,,,,,,,,,,11,3,,,,,16,7,,,64,11,45,7,,,,,28,14,12,1,,,515,3,,,,,,,,,,,,,137,6,,,,,,,192,8,,,,,155,6,19,3,,,,,,,,,,,,,,,,,,,21,3,,,,,,,,,,,1233,8
