bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,111815,1,140,1,66,1,41,1,32,1,27,1,2585,1,36,1,33,1,35,2,546,1,52,1,199,1,32,1,,,54,1,537,1,120,1,197,1,533,1,34,1,43,1,419,1,25,1,443,1,37,1,21,1,52,1,928,1,31,1,72,1,448,2,5359,1,38,1,31,1,543,3,32,1,29265,1,83,1,12716,1,647,1,71,1,1941,3,1354,2,35,1,3847,3,,,28,1,51,1,39,1,27,1,21,1,68,1,103,1,22,1,,,1541,1,2851,1,191,1,414,2,20,1,27,1,1342,1,342,1,,,35,1,1731,2,28,1,27,1,35,1,113,1,3422,2,2588,3,34,1,41,1,30,2,485,1,432,1,118,1,353,3,32,1,,,54,1,70,1,39,1,22,1,34,1,31,1,342,1,231,1,31,1,27,1,35,2,76,1,200,1,181,1,1269,1,136,3,25,1,45,1,27,1,32,1,40,1,26,1,1118,4,39,1,572,2,28,1,,,33,1,29,1,29,1,28,1,28,1,29,1,,,37,1,3447,2,29,1,30,1,3685,2,23,1,37,1,829,1,5914,2,28,1,29,1,25,1,29,1,33,1,35,1,27,1,30,1,153,3,130,1,350,1,251,1,,,249,1,356,3,,,27,2,1517,1,36,2,,,176,1,,,618,1,3,1,523,2,40,1,245,1,393,2,49,1,,,519,2,83,1,210,1,74,1,27,1,3613,1,,,29,1,,,26,1,,,28,1,31,1,36,1,28,1,29,1,,,2422,4
2223,59911,2,,,,,,,,,,,656,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,12,,,,,,,906,2,,,,,225,4,1985,14,,,,,,,,,13928,4,,,4916,2,,,,,2886,2,1774,1,,,3912,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,,,,,269,8,,,,,,,,,3908,1,1816,8,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,252,2,,,,,,,,,,,12,5,,,,,149,2,,,,,,,,,,,,,720,11,,,577,1,,,,,,,,,,,,,,,,,,,,,4282,1,,,,,6820,1,,,,,,,2801,7,,,,,,,,,,,,,,,,,,,7,5,,,212,2,,,,,67,7,,,,,201,13,,,,,,,,,,,,,446,3,,,,,3050,1,,,,,373,3,,,,,,,,,798,2,,,,,,,,,,,3,9,,,,,,,,,,,1876,6
1406,57783,3,38,2,,,,,,,,,12,20,,,,,20,3,41,3,,,,,,,,,,,282,3,,,,,,,,,,,,,,,92,3,,,,,,,493,4,,,24,3,210,5,3800,4,,,,,578,2,,,22439,2,15,13,3161,3,71,5,19,3,329,6,1334,3,,,3366,4,50,1,,,,,14,2,,,,,,,,,,,,,936,2,,,,,480,1,,,,,229,9,33,4,,,11,3,2315,1,,,,,,,24,2,2115,3,3022,2,,,29,2,20,3,,,,,,,,,,,,,,,20,2,,,,,,,,,98,4,35,8,,,,,,,,,,,,,,,85,4,,,,,,,,,,,,,1949,1,16,5,293,3,,,,,,,,,,,,,,,,,,,,,726,10,,,,,668,6,,,,,219,5,5135,3,,,,,,,,,,,15,2,17,2,,,420,1,,,80,10,65,6,,,,,267,4,,,,,544,4,,,,,,,,,,,,,,,,,,,108,6,,,,,249,5,16,4,,,,,,,136,9,,,,,,,15,3,,,17,4,,,,,,,18,2,,,970,9
10816,38623,4,,,,,,,,,,,307,6,,,,,47,1,,,,,,,23,2,,,38,2,119,8,,,,,,,,,,,31,2,,,52,8,,,,,,,412,5,,,,,156,7,3463,6,,,,,78,10,,,12135,6,,,2740,5,84,4,,,443,5,335,6,,,2051,7,,,,,,,,,,,,,,,,,,,,,436,6,77,6,,,324,4,,,,,356,3,,,,,,,389,6,,,,,,,,,1722,5,1727,9,,,,,,,,,,,25,3,192,5,,,,,,,,,,,,,,,,,,,76,4,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,,716,12,24,2,254,4,,,34,1,,,,,,,,,,,,,,,,,1393,6,,,,,1045,4,,,,,171,7,3445,6,,,,,,,,,,,,,,,,,27,5,,,134,3,,,,,,,70,6,,,,,580,3,,,,,,,,,51,3,,,,,,,23,2,89,8,,,,,135,7,,,,,,,,,287,7,,,,,,,20,2,,,20,2,,,,,,,,,,,2242,5
2397,34205,5,21,3,13,3,,,10,2,,,870,2,,,,,12,5,128,2,,,9,3,,,,,7,5,372,2,,,,,21,5,,,28,2,28,3,,,56,6,,,10,2,8,2,274,8,,,10,6,477,1,3583,5,,,,,323,5,,,11655,7,74,2,1774,8,32,10,12,6,3181,1,206,13,,,1650,10,,,,,8,2,,,,,,,22,2,,,,,,,781,4,,,16,2,134,9,,,,,327,4,53,2,,,14,2,34,14,,,,,6,3,20,3,869,12,1486,11,,,,,,,71,2,20,2,,,33,19,13,2,,,,,12,4,,,,,11,2,9,3,78,6,81,3,,,,,,,69,2,7,7,,,,,8,10,,,,,,,,,,,,,500,15,9,10,243,5,,,,,,,8,4,,,,,,,6,3,,,,,686,11,5,2,,,503,9,,,,,,,1395,11,,,,,,,,,,,9,4,,,,,44,4,,,78,11,39,7,,,,,117,5,,,,,438,6,11,3,,,21,5,,,,,,,92,8,,,5,4,225,3,,,,,121,8,22,3,,,,,5,2,80,11,26,1,,,,,5,4,,,8,7,,,,,,,7,3,,,471,17
463,29057,6,,,19,2,,,,,,,,,,,,,,,16,4,,,,,,,,,,,34,13,,,,,,,,,15,3,,,,,82,4,,,,,,,243,9,,,,,92,11,2224,13,,,,,,,,,15317,3,11,21,1174,17,41,7,21,2,23,21,155,22,,,1275,15,,,,,,,,,,,,,,,,,,,,,104,20,,,,,46,14,,,,,72,22,,,,,,,77,11,,,,,,,,,990,11,2217,6,,,,,,,,,,,,,73,10,,,,,,,12,3,,,,,,,,,32,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,16,15,6,57,17,,,,,,,,,,,,,,,,,,,,,450,15,,,,,1100,3,,,,,,,1406,10,,,,,,,,,,,,,,,,,,,,,,,20,11,,,,,18,12,,,,,146,18,,,,,,,,,,,,,96,7,,,,,46,11,,,,,98,10,,,,,,,,,38,15,,,,,,,,,,,,,,,,,,,,,,,770,12
2093,28070,7,,,,,,,,,,,39,16,,,,,,,15,5,,,,,,,,,,,26,16,,,,,10,6,6,3,,,,,,,25,17,6,2,,,,,126,18,,,,,62,17,1636,16,,,,,,,,,11379,8,9,27,1507,12,,,,,72,13,157,21,,,1018,18,,,,,,,,,7,2,,,,,,,6,2,,,103,21,17,7,,,47,13,,,,,109,19,1,11,,,,,142,10,,,,,,,,,575,19,4170,1,,,15,3,5,6,,,,,,,153,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,5,,,,,,,,,,,,,336,20,,,69,14,,,,,,,,,,,,,,,,,,,,,292,22,,,,,396,12,,,,,,,1249,13,,,,,3,2,,,,,,,,,,,,,,,52,13,19,12,,,,,,,10,3,,,237,11,,,5,2,,,,,,,,,271,5,,,,,28,18,,,,,50,16,,,,,,,,,498,4,,,,,,,,,,,18,3,,,,,,,,,6,1,3025,2
2181,24666,8,,,,,,,,,,,,,,,,,,,,,,,17,2,,,,,,,175,6,,,,,,,,,,,,,,,33,15,,,,,,,167,14,,,,,199,6,1831,15,,,,,331,4,,,7273,15,27,6,1199,16,107,2,12,5,,,186,18,,,1388,13,,,,,,,,,,,,,,,,,,,,,306,8,,,,,93,10,,,,,303,5,,,,,,,403,5,,,,,,,13,6,1079,10,952,14,,,,,,,40,3,,,,,46,13,,,,,,,,,,,,,,,13,2,49,8,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,9,18,4,198,6,,,,,,,,,,,,,,,,,,,,,1503,3,,,,,340,13,,,,,258,4,2155,8,,,,,,,,,,,15,3,,,,,21,6,,,82,9,29,9,,,,,34,9,19,1,,,1108,2,,,,,,,,,,,,,261,6,,,,,120,5,,,,,145,6,33,2,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,,1187,8
13,19954,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,11,,,,,,,118,19,,,10,5,30,28,1532,19,,,,,40,12,,,8087,11,13,17,1851,7,,,6,12,,,57,37,8,2,857,21,,,,,,,,,,,,,,,,,,,,,919,3,,,,,,,,,,,215,10,,,7,1,,,,,,,,,,,,,385,25,2424,5,,,,,,,,,,,,,40,17,,,,,,,,,,,,,,,,,,,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,5,18,3,49,20,,,,,,,,,,,,,,,,,,,,,207,24,,,,,334,14,,,,,63,9,828,17,,,,,,,,,,,,,,,,,,,,,17,16,32,8,,,,,63,8,,,,,186,15,,,,,,,,,,,,,,,,,,,36,14,,,,,,,,,,,,,,,19,21,,,,,,,,,,,,,,,,,,,,,,,421,19
2162,19813,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,5,59,,,,,,,102,20,,,,,25,32,1175,25,,,,,,,,,9750,9,,,598,26,,,,,,,138,24,,,787,24,,,,,5,3,,,,,,,,,,,,,,,26,42,,,,,,,,,,,180,12,,,,,,,17,16,,,,,,,5,8,569,20,7,112,,,,,,,3,4,,,,,57,11,,,,,,,,,,,,,,,,,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,50,4,17,,,,,,,,,,,,,,,,,,,,,,,388,19,,,,,171,24,,,,,19,11,4408,4,,,,,,,,,,,,,,,,,5,10,,,,,8,16,,,,,12,13,,,,,100,24,,,,,,,,,,,,,,,,,,,44,12,,,,,97,11,,,,,,,,,26,16,,,,,,,,,,,,,,,,,,,,,,,953,10
