bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,123813,1,186,1,66,2,28,1,34,2,36,1,3589,1,29,1,32,1,39,2,416,1,24,2,33,2,81,3,355,2,42,1,93,1,262,1,21,1,54,2,165,1,25,1,292,1,23,1,27,2,47,2,586,1,19,1,46,2,564,1,5296,1,37,1,26,1,563,1,,,28596,1,49,2,15411,1,587,1,57,2,2210,3,1016,1,37,1,4540,3,,,23,1,29,2,34,1,18,1,31,1,69,2,192,1,32,1,1315,1,1753,1,37,2,333,1,29,1,20,1,802,1,210,1,26,2,2588,1,27,1,30,1,34,2,103,2,10849,1,3794,2,23,1,27,2,32,2,415,1,699,1,61,2,465,3,26,2,,,40,1,61,2,32,1,30,1,27,2,371,1,292,1,25,2,,,67,2,58,2,93,1,698,1,165,2,29,1,23,1,26,1,27,1,31,2,29,1,1069,2,39,3,582,1,,,17,1,27,2,22,1,31,1,20,1,24,2,,,2125,2,23,2,22,1,4848,1,39,1,537,1,9558,2,29,1,39,1,28,1,32,2,31,1,20,1,152,2,52,1,329,1,198,1,,,341,1,239,2,,,30,2,1081,2,37,2,,,155,1,77,2,4,1,861,1,49,1,112,2,4337,1,26,1,,,279,2,77,2,172,1,92,1,19,2,1441,1,,,22,1,,,30,3,,,33,1,28,1,53,1,40,2,,,2396,2
1406,49494,2,42,3,,,,,,,,,21,15,,,,,,,,,,,,,,,235,4,,,,,,,,,,,,,,,49,7,,,,,,,121,12,,,11,4,221,4,2540,8,,,,,498,3,,,24912,2,23,3,2534,5,59,6,16,3,714,6,499,4,,,3126,4,46,1,,,,,13,2,,,,,,,,,,,399,4,,,,,171,6,,,,,158,7,34,3,13,3,2354,2,,,,,,,31,3,1486,6,1877,9,,,11,3,17,3,,,,,,,,,,,,,,,10,4,,,,,,,43,8,,,,,,,,,,,,,,,40,7,,,,,,,,,,,,,996,3,12,7,234,4,,,,,,,,,,,,,,,,,384,13,,,,,283,14,,,91,6,2623,6,,,,,,,15,3,12,2,,,164,1,,,23,12,56,5,,,,,186,4,,,,,416,5,,,,,,,,,,,,,,,,,270,10,,,,,118,7,,,,,,,,,98,7,,,,,,,17,4,,,,,,,,,17,3,,,1155,5
2397,49072,3,119,2,123,1,,,118,1,,,710,2,,,,,123,1,245,2,124,1,,,124,1,518,1,,,,,119,2,,,284,1,157,2,,,159,2,,,122,1,127,1,389,3,,,121,1,477,2,3260,3,,,,,473,4,,,15050,5,125,1,2101,7,133,4,128,1,5862,1,316,6,,,1419,8,,,,,123,1,,,,,,,126,1,,,,,729,2,,,123,1,254,2,,,,,313,3,158,2,125,1,145,10,,,,,117,1,128,1,867,8,2265,5,,,,,,,165,2,138,2,,,147,7,127,1,,,,,142,1,,,,,117,1,195,4,152,2,,,,,143,1,133,1,,,,,130,3,,,,,,,,,,,,,343,14,121,1,370,2,,,,,123,1,,,,,,,123,1,,,615,6,118,1,,,855,4,,,,,1555,12,,,,,,,119,1,,,,,149,3,,,162,2,159,2,,,,,190,3,,,,,489,4,121,1,,,118,2,,,,,184,4,,,119,1,1563,4,,,,,,,131,1,,,,,119,1,181,6,126,1,,,,,128,1,,,,,,,,,120,1,,,583,11
2223,42426,4,,,,,,,,,,,645,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,27,,,,,,,277,6,,,,,,,1124,18,,,,,,,,,11774,8,,,2767,2,,,,,4583,2,863,2,,,1846,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,4,,,258,6,,,,,,,,,3850,3,2051,7,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,360,2,,,,,,,,,6,7,,,,,44,6,,,,,,,,,,,,,408,13,,,325,3,,,,,,,,,,,,,,,,,1386,3,,,,,2169,2,,,,,2380,7,,,,,,,,,,,,,,,15,3,,,77,3,,,,,81,5,,,,,149,14,,,,,,,,,,,378,2,,,,,1992,2,,,,,226,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351,4
10816,42131,5,,,,,,,,,,,674,3,,,,,,,,,,,98,1,89,2,203,5,,,,,,,,,,,97,3,,,119,3,,,,,,,280,5,,,,,246,3,2273,9,,,,,106,7,,,17503,4,,,2688,3,154,3,,,953,4,368,5,,,1765,6,,,,,,,,,,,,,,,,,,,382,6,118,4,,,209,4,,,,,276,4,,,,,241,7,,,,,,,,,1378,7,2728,4,,,,,,,,,,,89,1,223,4,,,,,,,,,,,,,,,,,122,3,,,,,,,,,,,,,,,,,,,,,,,94,1,,,797,4,99,2,232,5,97,1,,,,,,,,,,,,,,,888,4,,,,,659,6,,,190,2,3566,4,,,,,,,,,,,,,143,4,,,110,4,,,,,,,,,,,,,541,3,,,,,,,98,1,,,,,,,92,3,623,8,,,,,194,4,,,,,,,,,213,5,,,,,,,99,2,,,,,,,,,,,,,14,149
29351,37630,6,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,10,,,,,,,,,4991,24,,,146,52,253,2,,,,,144,11,,,151,68,,,,,,,,,,,,,,,,,,,416,3,,,,,,,,,,,19,35,12,5,,,,,,,,,,,,,,,118,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3,114,4,,,,,,,,,,,,,,,,,,,,,,,,,,,104,32,,,,,,,,,,,,,,,,,,,,,447,9,,,,,,,,,,,26424,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,31,,,,,,,,,,,,,,,,,,,,,,,1350,1,,,,,,,,,338,4,,,,,,,,,,,,,,,,,,,,,,
1294,32234,7,,,,,,,,,,,60,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,25,,,,,,,,,,,,,56,19,722,28,,,,,,,,,10814,10,5,24,758,22,,,,,,,112,19,,,7258,1,,,,,,,,,,,,,,,,,,,116,12,,,,,,,,,,,71,21,,,,,57,12,,,,,4,4,,,10218,2,,,,,,,,,,,,,,,19,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,,,,,,,,,,,,,443,12,,,59,18,,,,,5,4,,,,,,,,,,,53,43,,,,,,,,,,,754,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,10,,,,,,,,,,,,,,,,,64,23,,,,,11,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,16
2093,28358,8,,,,,,,,,,,43,13,,,,,,,14,4,,,,,,,48,10,,,,,14,5,13,2,,,,,,,35,10,10,2,,,,,131,11,,,,,57,17,911,22,,,,,,,,,12749,6,16,4,1111,18,,,,,48,14,75,26,,,757,16,,,,,,,,,10,2,,,,,,,7,2,51,24,18,7,,,45,13,,,,,42,25,9,6,,,88,11,,,,,,,,,685,13,4652,1,,,35,1,,,,,1,3,,,142,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,5,,,,,,,,,,,,,219,19,,,50,19,,,,,,,,,,,,,,,,,411,10,,,,,380,11,,,,,1741,10,,,,,8,2,,,,,,,,,,,41,9,13,12,,,,,,,16,2,,,371,6,,,7,2,,,,,,,314,3,,,,,87,19,,,,,34,14,,,,,,,,,384,3,,,,,,,,,,,25,2,,,,,,,9,1,2378,3
2181,24926,9,,,,,,,,,,,,,,,,,,,,,16,3,,,,,292,3,,,,,,,,,,,,,,,26,16,,,,,,,378,4,,,,,198,5,1389,15,,,,,166,6,,,7268,15,13,8,1315,13,118,5,13,4,,,141,12,,,1101,11,,,,,,,,,,,,,,,,,,,238,7,,,,,52,12,,,,,198,6,,,,,217,9,,,,,,,17,6,88,75,1054,13,,,,,,,24,3,,,,,29,23,,,,,,,,,,,,,18,3,49,7,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,562,8,23,5,170,6,,,,,,,,,,,,,,,,,3839,1,,,,,309,13,,,98,5,1900,9,,,,,,,6,5,,,,,34,6,,,83,6,28,9,,,,,,,17,1,,,1270,1,,,,,,,,,,,166,5,,,,,758,6,,,,,135,5,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1057,6
2162,24869,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,,,,,7,48,,,,,,,182,10,,,,,13,45,1487,14,,,,,,,,,10957,9,,,2,135,,,,,,,75,27,,,844,13,,,,,7,3,,,,,,,,,,,,,28,35,,,,,,,,,,,201,5,,,,,,,,,,,,,21,4,644,16,5,105,,,,,,,15,4,,,,,81,11,,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,28,7,10,,,,,,,,,,,,,,,,,,,606,7,,,,,246,16,,,17,10,8249,3,,,,,,,,,,,,,9,8,,,,,3,17,,,,,,,,,,,109,17,,,,,,,,,,,,,,,,,93,18,,,,,106,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,9
