bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,231104,1,139,1,38,1,32,1,43,1,26,1,5842,1,35,1,36,1,33,1,70,1,17,1,1978,1,36,1,34,1,35,2,,,60,1,1224,1,117,1,196,1,450,1,19,1,40,1,526,1,24,1,682,1,22,1,19,1,57,1,1641,1,44,1,37,1,878,1,13662,1,15,1,23,1,25,1,1347,1,25,1,62280,1,82,1,22086,1,785,1,80,1,4133,1,3308,1,20,1,32,1,12504,1,,,24,1,44,1,29,1,25,1,16,1,24,1,43,1,98,1,25,1,,,3949,1,1299,1,48,1,1035,1,21,1,14,1,2755,1,454,1,,,32,1,1722,2,25,1,31,1,24,1,141,1,15305,1,4850,2,20,1,24,1,39,2,980,1,1261,1,143,1,613,2,34,1,16,1,166,2,98,1,32,1,19,1,27,1,27,1,756,1,616,1,17,1,33,2,18,1,110,2,132,1,137,1,579,1,202,2,23,1,78,1,11,1,33,1,27,2,23,1,3591,1,33,1,770,1,18,1,,,20,1,30,2,24,1,27,1,23,1,23,1,,,17,1,9534,1,25,1,29,1,5187,2,28,1,29,1,1542,1,14536,1,25,1,19,1,25,1,19,1,21,1,24,1,31,1,19,1,221,3,81,1,853,1,490,1,,,363,1,795,3,,,28,2,2163,1,43,2,,,145,1,,,247,1,49,1,1198,1,28,1,74,1,305,1,4043,1,79,1,,,911,2,86,1,1217,1,34,1,21,1,2725,1,,,18,1,,,28,2,,,43,1,21,1,21,1,16,1,30,1,,,5895,1
2223,82638,2,,,,,,,,,,,1994,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,12,,,,,,,996,2,,,,,196,5,2658,14,,,,,,,,,,,18926,5,,,6352,2,,,,,3756,2,1718,2,,,,,3240,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,2,,,,,628,5,,,,,,,,,6570,2,3620,4,,,,,5,6,,,,,,,119,8,,,,,,,,,,,,,,,,,196,3,,,,,,,,,,,19,4,,,,,190,3,,,,,,,,,,,,,838,12,,,610,2,,,,,,,,,,,,,,,,,,,,,6549,2,,,,,11334,1,,,,,,,3338,8,,,,,,,,,,,,,,,,,,,13,3,,,312,2,,,34,2,198,6,,,,,212,14,,,,,,,,,,,,,503,3,,,,,,,3081,2,,,,,473,3,,,,,,,,,1940,2,,,,,,,,,,,6,10,,,,,,,,,,,1800,7
1406,67781,3,20,2,,,,,,,,,1008,4,,,,,,,20,3,,,66,3,,,,,,,,,,,653,2,,,,,,,,,,,,,,,94,7,,,,,,,272,8,,,14,4,363,3,4444,5,,,,,,,717,3,,,24981,2,16,4,3823,5,66,5,17,3,716,5,977,3,,,,,3633,3,24,1,,,,,9,3,,,,,,,15,4,,,,,,,1119,2,,,,,1016,2,,,,,328,10,113,3,,,13,2,2170,1,,,,,,,26,4,2635,6,2974,5,,,12,2,9,4,,,,,,,99,10,,,,,357,1,16,3,,,,,,,,,104,5,33,10,,,,,,,,,,,,,,,115,4,,,,,,,,,,,,,2051,2,9,10,315,3,,,,,,,33,1,,,,,,,,,,,,,1017,11,,,,,472,12,,,,,292,5,4798,5,,,,,,,,,,,16,2,13,2,,,1551,1,,,66,12,58,8,,,,,341,5,,,,,1137,2,,,,,,,,,,,,,93,9,,,,,,,249,12,,,,,304,5,13,2,,,,,,,298,9,,,,,,,14,3,,,13,3,,,,,,,17,2,,,1524,8
10816,57474,4,,,,,,,,,,,488,6,,,,,,,50,2,,,,,,,,,49,1,,,33,2,231,9,,,,,,,,,,,41,2,,,97,6,,,,,,,475,5,,,,,185,6,3130,9,,,,,,,135,9,,,13067,7,,,5145,3,130,4,,,466,6,402,6,,,,,2341,9,,,,,,,,,,,,,,,,,,,,,,,398,8,131,5,,,570,5,,,,,632,4,,,,,,,680,3,,,,,,,,,3407,3,2450,8,,,,,,,,,,,97,2,584,3,,,,,,,,,,,,,,,,,,,124,3,,,,,,,,,,,,,,,,,,,,,,,,,33,1,,,1096,8,32,2,268,4,,,37,1,,,,,,,,,,,,,,,,,2218,4,,,,,2545,3,,,,,260,6,10348,2,,,,,,,,,,,,,,,,,54,5,,,265,4,,,,,,,184,7,,,,,465,7,,,,,,,,,,,,,,,,,,,34,2,464,7,,,,,255,7,,,,,,,,,812,3,,,,,,,33,1,,,26,2,,,,,,,,,,,2507,5
2397,57203,5,13,5,13,3,,,14,2,,,1666,3,,,,,,,10,5,,,189,2,,,8,3,,,,,19,3,635,3,,,,,14,5,,,29,2,25,3,,,91,8,,,7,2,9,2,406,6,,,15,3,716,2,5895,2,,,,,,,487,4,,,22485,3,16,6,4265,4,29,10,14,4,3553,3,309,10,,,,,2465,7,,,,,11,3,,,,,,,,,20,3,,,,,,,1052,3,,,7,2,299,9,,,,,504,6,104,4,,,11,3,36,13,,,,,5,5,27,2,1529,8,1617,12,,,,,,,128,2,67,2,,,27,34,9,2,,,,,19,2,,,,,13,2,8,3,88,6,96,4,,,,,,,123,1,12,5,,,,,13,8,,,,,,,,,,,,,814,13,20,3,218,6,,,,,,,6,8,,,,,,,9,2,,,,,1082,10,9,2,,,672,11,,,,,,,2211,12,,,,,,,,,,,12,3,,,,,61,4,,,250,5,83,6,,,,,168,8,,,,,644,5,30,3,,,32,4,,,,,,,94,8,,,,,9,5,638,5,,,,,190,9,13,3,,,,,11,2,104,11,20,1,,,,,9,4,,,10,6,,,,,,,14,3,,,548,18
2093,50339,6,,,,,,,,,,,97,17,,,,,,,,,,,20,4,,,,,,,,,,,76,10,,,,,11,6,5,4,,,,,,,73,9,7,2,,,,,173,16,,,,,76,15,2173,19,,,,,,,,,,,21208,4,10,9,2380,10,,,,,65,15,240,14,,,,,1750,12,,,,,,,,,9,2,,,,,,,,,6,2,,,142,18,10,7,,,105,12,,,,,262,13,10,8,,,,,176,9,,,,,,,,,1166,13,8834,1,,,8,3,5,5,,,7,4,,,214,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,6,,,,,,,,,,,,,616,18,,,102,12,,,,,,,,,,,,,,,,,,,,,510,22,,,,,1055,4,,,,,,,1960,13,,,,,7,2,,,,,,,,,,,,,,,99,11,27,12,,,,,,,5,2,,,389,8,,,6,2,,,,,,,,,462,4,,,,,,,201,14,,,,,151,12,,,,,,,,,528,6,,,,,,,,,,,10,5,,,,,,,,,5,1,4834,2
811,29328,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,4,,,,,,,21,45,,,,,,,3496,8,,,,,,,,,,,10014,13,14,7,2238,12,,,,,,,281,11,,,,,2575,6,,,,,,,,,,,,,,,5,9,,,,,,,1028,4,,,,,,,,,,,294,12,,,,,,,,,,,,,,,,,181,72,492,20,,,,,,,,,,,,,242,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1771,3,,,33,27,,,,,,,,,,,,,,,,,,,,,626,14,,,,,727,9,,,,,436,2,575,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4115,3
2162,27922,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,,,,,15,39,,,,,,,157,18,,,,,34,29,2289,18,,,,,,,,,,,13639,6,,,1146,22,,,,,,,126,27,,,,,1104,21,,,,,6,6,,,,,,,,,,,,,,,,,39,44,,,,,,,,,,,195,16,,,,,,,14,17,,,,,,,10,8,776,24,275,36,,,,,,,5,4,,,,,64,17,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,52,6,12,,,,,,,,,,,,,,,,,,,,,,,623,15,,,,,240,20,,,,,15,14,4532,7,,,,,,,,,,,,,,,,,3,11,,,,,10,16,,,,,25,16,,,,,141,19,,,,,,,,,,,,,,,,,,,,,80,20,,,,,165,11,,,,,,,,,84,14,,,,,,,,,,,,,,,,,,,,,,,1954,6
13,27863,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,5,,,,,,,162,17,,,5,9,70,19,2681,13,,,,,,,171,8,,,11415,10,7,21,3270,6,,,8,7,,,81,32,,,5,2,1099,22,,,,,,,,,,,,,2,4,,,,,,,,,946,5,,,,,,,,,,,328,9,,,8,1,,,,,,,,,,,,,756,25,1657,11,,,,,,,,,,,,,72,14,,,,,,,,,,,,,,,,,,,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,5,18,4,95,13,,,,,,,,,,,,,,,,,,,,,473,23,,,,,461,13,,,,,81,9,1308,17,,,,,,,,,,,,,,,,,,,,,39,13,79,7,,,,,127,9,,,,,248,10,,,,,,,,,,,,,,,,,,,,,53,23,,,,,,,,,,,,,,,27,18,,,,,,,,,,,,,,,,,,,,,,,586,16
2181,27408,10,,,,,,,,,,,191,13,,,,,,,,,,,,,,,9,2,,,,,,,321,6,,,,,,,,,,,,,,,58,16,,,,,,,217,15,,,,,109,12,1846,22,,,,,,,301,6,,,8659,15,16,5,1681,17,153,3,7,9,,,201,18,,,,,1310,16,,,,,,,,,,,,,,,,,,,,,,,295,11,,,,,118,11,,,,,393,7,,,,,,,296,6,,,,,,,21,5,1252,11,813,16,,,,,,,44,3,,,,,26,37,,,,,,,,,,,,,,,16,2,27,10,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,17,12,6,223,5,,,,,,,,,,,,,,,,,,,,,1447,6,,,,,397,15,,,,,198,7,2955,9,,,,,,,,,,,6,5,,,,,34,6,,,137,9,57,9,,,,,65,13,5,3,,,797,4,,,,,,,,,,,,,153,6,,,,,,,386,8,,,,,299,6,8,4,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,1151,9
