,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
0,1,171,128340,123,1,63,1,49,1,46,1,27,1,3682,1,48,1,39,1,47,1,46,1,35,1,345,1,53,1,43,1,47,1,,,73,1,725,1,198,1,256,1,578,1,57,1,56,1,254,1,44,1,399,1,38,1,35,1,50,1,777,2,38,1,65,1,463,1,7313,1,40,1,40,1,39,1,624,2,44,1,35225,1,102,1,16789,1,444,1,88,1,2111,3,1115,2,52,1,59,1,4728,2,,,47,1,52,1,47,1,44,1,28,1,39,1,62,1,169,1,44,1,,,1639,1,1317,1,136,1,726,1,42,1,35,1,1214,1,225,1,,,48,1,2182,2,44,1,50,1,43,1,121,1,4197,2,4369,6,58,1,62,1,50,2,665,1,313,1,158,1,480,2,55,1,,,57,1,87,1,57,1,38,1,35,2,42,1,423,1,215,1,38,1,44,1,41,1,104,1,193,1,122,1,811,1,413,1,45,1,67,1,51,1,44,1,48,1,39,1,1048,5,61,1,489,1,27,1,,,47,1,47,1,54,1,50,1,40,1,49,1,,,39,1,2980,2,30,1,43,1,4693,2,50,1,56,1,464,1,6631,2,55,1,47,1,39,1,36,1,57,1,52,1,41,1,31,1,130,3,140,1,303,1,176,1,,,296,1,309,3,,,47,2,1510,1,52,2,,,234,1,,,274,1,2,1,487,3,52,1,52,1,112,1,1045,3,49,1,,,458,2,120,1,311,1,43,1,46,1,1779,1,,,36,1,,,43,1,,,63,1,64,1,22,1,46,1,36,1,,,3360,2
1,2,2223,94137,,,,,,,,,,,2376,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,5,,,,,,,780,1,,,,,188,7,2630,11,,,,,,,,,,,22761,3,,,5794,2,,,,,3479,1,1728,1,,,,,4201,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,4,,,,,196,9,,,,,,,,,6839,1,4483,5,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,,,,122,3,,,,,,,,,,,31,4,,,,,168,3,,,,,,,,,,,,,914,7,,,471,2,,,,,,,,,,,,,,,,,,,,,4627,1,,,,,19434,1,,,,,,,3042,6,,,,,,,,,,,,,,,,,,,32,3,,,126,2,,,,,110,7,,,,,265,11,,,,,,,,,,,,,266,4,,,,,,,4812,1,,,,,391,3,,,,,,,,,1361,2,,,,,,,,,,,9,9,,,,,,,,,,,2320,6
2,3,1406,59036,36,2,,,,,,,,,11,25,,,,,,,31,2,,,57,3,,,,,,,,,,,224,5,,,,,,,,,,,,,,,67,10,,,,,,,179,12,,,19,4,256,3,4103,5,,,,,,,472,4,,,23375,2,23,4,4409,4,59,5,16,4,473,6,864,3,,,,,3081,5,37,1,,,,,15,3,,,,,,,,,,,,,,,909,4,,,,,350,3,,,,,224,9,94,3,,,16,3,4458,1,,,,,,,18,5,1551,5,3001,8,,,28,2,21,3,,,,,,,78,11,,,,,,,16,4,,,,,,,,,73,6,35,6,,,,,,,,,,,,,,,111,4,,,,,,,,,,,,,1595,1,15,6,342,3,,,,,,,43,2,,,,,,,,,,,,,586,12,,,,,680,11,,,,,102,7,3638,5,,,,,,,,,,,16,4,16,3,,,544,1,,,46,12,44,7,,,,,204,4,,,,,529,3,,,,,,,,,,,,,,,,,,,,,151,10,,,,,176,7,13,4,,,,,,,196,9,,,,,,,14,4,,,14,7,,,,,,,15,3,,,1267,10
3,4,10816,48385,,,,,,,,,,,516,8,,,,,,,31,3,,,,,,,,,32,2,,,38,2,143,8,,,,,,,,,,,32,2,,,81,6,,,,,,,360,5,,,,,190,6,3712,6,,,,,,,99,7,,,13583,7,,,5543,3,67,4,,,625,5,395,7,,,,,2339,7,,,,,,,,,,,,,,,,,,,,,,,339,6,63,5,,,191,6,,,,,456,3,,,,,,,666,4,,,,,,,,,2313,4,2897,10,,,,,,,,,,,42,2,131,7,,,,,,,,,,,,,,,,,,,76,3,,,,,,,,,,,,,,,,,,,,,,,,,29,2,,,732,10,28,2,250,5,,,32,1,,,,,,,,,,,,,,,,,1593,3,,,,,2881,3,,,,,210,3,3770,4,,,,,,,,,,,,,,,,,36,5,,,108,6,,,,,,,112,6,,,,,385,6,,,,,,,,,,,,,,,,,,,26,3,211,8,,,,,179,6,,,,,,,,,465,4,,,,,,,28,2,,,27,2,,,,,,,,,,,2323,5
4,5,2397,47551,27,3,21,2,,,23,2,,,1598,3,,,,,,,25,5,,,189,2,,,26,2,,,,,23,3,436,2,,,,,92,3,,,31,2,26,3,,,99,3,,,25,2,29,2,291,7,,,34,2,350,2,4810,3,,,,,,,522,3,,,15677,4,29,3,3055,10,56,6,21,2,3038,2,248,8,,,,,1504,12,,,,,27,2,,,,,,,,,32,2,,,,,,,1180,2,,,27,2,192,5,,,,,301,6,99,2,,,28,2,50,12,,,,,26,2,42,2,1077,10,5046,4,,,,,,,113,2,31,2,,,61,16,37,2,,,,,49,2,,,,,26,3,25,2,96,4,74,4,,,,,,,85,2,23,6,,,,,40,7,,,,,,,,,,,,,496,14,27,3,287,4,,,,,,,28,3,,,,,,,21,2,,,,,609,11,24,2,,,714,10,,,,,,,1771,9,,,,,,,,,,,24,2,,,,,91,4,,,70,9,52,6,,,,,161,5,,,,,412,4,30,3,,,47,4,,,,,,,95,7,,,,,30,2,460,5,,,,,115,9,30,2,,,,,34,2,79,13,30,1,,,,,24,3,,,23,3,,,,,,,22,2,,,653,16
5,6,2093,39220,,,,,,,,,,,98,16,,,,,,,,,,,23,4,,,,,,,,,,,46,11,,,,,20,6,22,2,,,,,,,60,11,13,2,,,,,134,16,,,,,67,15,1476,23,,,,,,,,,,,14874,6,17,5,1915,13,,,,,69,16,134,19,,,,,1279,17,,,,,,,,,19,2,,,,,,,,,14,2,,,88,23,18,7,,,45,12,,,,,107,16,14,7,,,,,164,10,,,,,,,,,752,17,9182,1,,,27,3,13,5,,,11,3,,,146,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,6,,,,,,,,,,,,,495,15,,,61,16,,,,,,,,,,,,,,,,,,,,,415,17,,,,,730,9,,,,,,,1273,13,,,,,16,2,,,,,,,,,,,,,,,52,11,22,12,,,,,,,22,2,,,285,10,,,18,1,,,,,,,,,508,2,,,,,,,85,13,,,,,81,10,,,,,,,,,554,3,,,,,,,,,,,18,4,,,,,,,,,14,1,3675,1
6,7,2243,29396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,14,,,,,,,,,,,,,,,12,39,,,,,,,,,,,,,,,5134,2,,,,,,,,,,,8860,15,,,,,,,,,,,,,,,,,1898,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,9,,,,,164,12,,,,,,,,,,,,,,,,,775,15,6641,3,,,,,,,,,,,,,15,44,,,,,,,,,,,,,,,,,44,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097,3,,,,,,,,,,,5,6,,,,,,,,,,,,,1589,4,,,,,1026,6,,,,,37,9,855,15,,,,,,,,,,,8,7,,,,,,,,,,,88,3,,,,,708,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,24
7,8,2162,28950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,,,,,15,33,,,,,,,196,10,,,,,31,26,1784,21,,,,,,,,,,,15645,5,,,982,26,,,,,,,144,16,,,,,1308,14,,,,,8,4,,,,,,,,,,,,,,,,,38,36,,,,,,,,,,,191,10,,,,,,,10,17,,,,,,,11,7,601,19,281,37,,,,,,,8,4,,,,,62,15,,,,,,,,,,,,,,,,,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,38,7,14,,,,,,,,,,,,,,,,,,,,,,,624,10,,,,,285,19,,,,,19,12,4726,3,,,,,,,,,,,,,,,,,10,9,,,,,19,15,,,,,20,17,,,,,157,16,,,,,,,,,,,,,,,,,,,,,46,20,,,,,155,8,,,,,,,,,47,15,,,,,,,,,,,,,,,,,,,,,,,1341,9
8,9,2181,28292,,,,,,,,,,,197,12,,,,,,,,,,,,,,,19,3,,,,,,,312,3,,,,,,,,,,,,,,,37,15,,,,,,,171,14,,,,,205,4,2004,16,,,,,,,210,6,,,7292,18,14,6,4000,6,116,3,9,6,,,681,4,,,,,1211,19,,,,,,,,,,,,,,,,,,,,,,,284,7,,,,,88,10,,,,,267,7,,,,,,,387,7,,,,,,,24,3,1388,6,1068,19,,,,,,,77,3,,,,,39,23,,,,,,,,,,,,,,,15,3,41,9,51,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,13,24,4,126,6,,,,,,,,,,,,,,,,,,,,,1086,6,,,,,378,15,,,,,163,6,2416,8,,,,,,,,,,,19,3,,,,,23,6,,,82,7,39,8,,,,,56,9,52,1,,,898,2,,,,,,,,,,,,,94,8,,,,,,,214,7,,,,,204,5,22,3,,,,,,,,,,,,,,,,,,,16,5,,,,,,,,,,,1630,8
9,10,463,25070,14,4,13,3,,,,,,,,,,,,,,,,,,,21,5,,,,,,,,,,,43,12,,,,,,,,,9,6,,,,,44,13,,,,,,,197,9,,,,,74,12,2162,14,,,,,,,,,,,11027,10,11,10,1248,21,27,12,8,7,127,11,133,20,,,,,1303,15,,,,,,,,,,,,,,,,,,,,,,,131,16,,,,,18,14,,,,,102,18,,,,,,,39,13,,,,,,,,,883,12,3000,9,,,,,,,,,,,,,47,18,,,,,,,11,5,,,,,,,,,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,18,14,7,57,17,,,,,,,,,,,,,,,,,,,,,332,20,,,,,739,8,,,,,,,1290,12,,,,,,,,,,,,,,,,,,,,,,,24,11,,,,,26,15,,,,,116,21,,,,,,,,,,,,,62,9,,,,,,,63,17,,,,,76,11,,,,,,,,,36,16,,,,,,,,,,,,,,,,,,,,,,,1099,12
