bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,107583,1,185,1,66,1,27,1,25,1,25,1,2419,1,26,1,20,1,30,1,788,1,36,1,24,1,25,2,,,45,1,434,1,112,1,60,1,368,2,12,1,35,1,272,1,26,1,293,1,25,1,17,1,38,1,941,1,21,1,67,1,307,3,5049,2,22,1,24,1,516,3,16,1,29066,2,48,1,13523,1,499,1,87,1,1883,3,1321,2,24,1,3425,2,,,22,1,30,1,40,1,23,1,17,1,54,1,128,1,15,1,,,1552,1,2451,1,49,1,309,1,16,1,18,1,1172,1,246,1,,,23,1,1738,1,23,1,16,1,29,1,92,1,3987,1,2546,3,25,1,38,1,36,2,699,1,283,1,79,1,313,3,18,1,,,28,1,53,1,28,1,19,1,18,1,25,1,328,1,223,1,13,1,25,1,40,1,61,1,158,1,152,1,2090,1,200,2,22,1,40,1,25,1,25,1,30,1,15,1,910,6,25,1,384,3,19,1,,,16,1,25,1,23,1,21,1,18,1,14,1,,,29,1,3045,2,14,1,20,1,3574,2,17,1,31,1,364,2,6257,2,25,1,26,1,20,1,20,1,17,1,28,1,23,1,23,1,136,2,102,1,294,1,161,1,,,183,1,302,3,,,20,3,1009,2,48,2,,,305,1,,,321,1,6,1,445,2,29,1,224,1,400,2,31,1,,,489,2,56,1,252,1,30,1,19,1,3408,1,,,15,1,,,24,1,,,22,1,18,1,30,1,22,1,18,1,,,2199,5
2398,57145,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,28,353,65,,,,,,,,,55860,1,3,32,117,61,,,,,,,20,57,,,289,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,48,,,,,,,,,,,,,,,,,,,,,,,,,30,53,,,,,,,,,,,,,176,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,71,,,,,,,,,,,,,,,,,,,37,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223,53468,3,,,,,,,,,,,413,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,5,,,,,,,676,2,,,,,856,1,2257,15,,,,,,,,,12956,5,,,4477,2,,,,,2115,2,1354,1,,,2741,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4,,,,,200,8,,,,,,,,,3449,2,1933,6,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,297,2,,,,,,,,,,,19,3,,,,,87,6,,,,,,,,,,,,,625,10,,,951,1,,,,,,,,,,,,,,,,,,,,,3414,1,,,,,7130,1,,,,,,,1926,8,,,,,,,,,,,,,,,,,,,16,3,,,122,2,,,,,40,9,,,,,169,12,,,,,,,,,,,,,393,3,,,,,2174,1,,,,,353,3,,,,,,,,,664,2,,,,,,,,,,,5,8,,,,,,,,,,,1558,8
1406,49205,4,32,2,,,,,,,,,8,23,,,,,20,3,59,3,,,,,,,,,,,242,3,,,,,,,,,,,,,,,59,4,,,,,,,158,11,,,17,3,271,4,3636,7,,,,,378,4,,,21511,3,13,7,3116,3,66,5,17,4,263,6,820,4,,,2388,4,26,1,,,,,17,2,,,,,,,,,,,,,964,5,,,,,291,3,,,,,196,9,33,3,,,5,3,1682,2,,,,,,,13,4,1263,5,2434,4,,,15,2,10,3,,,,,,,,,,,,,,,11,6,,,,,,,,,110,4,26,7,,,,,,,,,,,,,,,87,5,,,,,,,,,,,,,1482,1,11,7,394,2,,,,,,,,,,,,,,,,,,,,,482,11,,,,,647,7,,,,,110,6,3506,5,,,,,,,,,,,10,3,16,2,,,257,1,,,44,12,35,7,,,,,131,4,,,,,459,4,,,,,,,,,,,,,,,,,,,73,8,,,,,149,5,8,4,,,,,,,169,8,,,,,,,12,4,,,6,5,,,,,,,8,2,,,939,10
10816,38782,5,,,,,,,,,,,262,6,,,,,23,2,,,,,,,56,1,,,18,2,86,8,,,,,,,,,,,16,3,,,49,8,,,,,,,273,5,,,,,131,7,3757,4,,,,,64,9,,,11787,7,,,2545,4,56,6,,,413,5,280,6,,,1922,5,,,,,,,,,,,,,,,,,,,,,586,6,58,6,,,109,8,,,,,357,3,,,,,,,202,7,,,,,,,,,1525,4,1599,7,,,,,,,,,,,17,3,251,4,,,,,,,,,,,,,,,,,,,50,4,,,,,,,,,,,,,,,,,,,,,,,,,17,2,,,598,11,16,4,239,4,,,17,1,,,,,,,,,,,,,,,,,1340,4,,,,,1273,3,,,,,95,8,5020,3,,,,,,,,,,,,,,,,,20,6,,,86,5,,,,,,,62,6,,,,,772,3,,,,,,,,,28,3,,,,,,,28,2,102,7,,,,,119,8,,,,,,,,,255,7,,,,,,,14,2,,,17,2,,,,,,,,,,,2172,6
2397,32731,6,8,4,16,3,,,10,2,,,787,2,,,,,12,5,107,2,,,11,2,,,,,10,4,310,2,,,,,19,5,,,29,2,23,2,,,60,3,,,12,2,16,2,248,6,,,10,5,361,2,3718,6,,,,,288,5,,,11711,8,33,2,1761,8,37,10,10,7,2712,1,180,11,,,1296,10,,,,,5,4,,,,,,,9,2,,,,,,,1029,4,,,11,2,153,6,,,,,289,4,61,2,,,7,2,41,12,,,,,4,3,26,2,733,11,1526,8,,,,,,,68,2,20,2,,,28,22,6,2,,,,,13,4,,,,,5,3,11,3,47,7,25,8,,,,,,,51,2,5,7,,,,,19,8,,,,,,,,,,,,,440,15,14,5,233,5,,,,,,,6,4,,,,,,,9,2,,,,,480,12,7,2,,,518,10,,,,,,,1464,11,,,,,,,,,,,6,5,,,,,51,4,,,58,9,40,6,,,,,90,5,,,,,318,8,12,3,,,19,5,,,,,,,59,9,,,4,4,248,4,,,,,111,9,9,3,,,,,7,2,71,12,11,1,,,,,13,3,,,7,4,,,,,,,8,3,,,431,18
463,28522,7,,,49,2,,,,,,,,,,,,,,,20,4,,,,,,,,,,,31,14,,,,,,,,,23,3,,,,,41,10,,,,,,,234,7,,,,,80,13,2648,12,,,,,,,,,13498,4,15,5,1387,13,68,4,18,3,20,19,201,10,,,1272,11,,,,,,,,,,,,,,,,,,,,,128,18,,,,,43,13,,,,,116,13,,,,,,,92,11,,,,,,,,,1072,7,2295,5,,,,,,,,,,,,,100,9,,,,,,,17,3,,,,,,,,,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438,16,8,10,46,18,,,,,,,,,,,,,,,,,,,,,503,10,,,,,1082,4,,,,,,,1656,9,,,,,,,,,,,,,,,,,,,,,,,24,9,,,,,40,8,,,,,161,13,,,,,,,,,,,,,125,7,,,,,40,18,,,,,63,11,,,,,,,,,73,11,,,,,,,,,,,,,,,,,,,,,,,760,12
2181,26819,8,,,,,,,,,,,,,,,,,,,,,,,8,3,,,,,,,233,4,,,,,,,,,,,,,,,39,11,,,,,,,129,14,,,,,235,5,2773,11,,,,,557,2,,,7416,12,8,14,1500,11,135,2,5,15,,,218,9,,,1488,8,,,,,,,,,,,,,,,,,,,,,269,9,,,,,75,10,,,,,198,8,,,,,,,438,5,,,,,,,15,3,1165,6,967,14,,,,,,,44,3,,,,,36,17,,,,,,,,,,,,,,,11,2,48,6,37,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1331,2,16,3,162,7,,,,,,,,,,,,,,,,,,,,,1342,3,,,,,353,14,,,,,132,4,2368,7,,,,,,,,,,,15,2,,,,,24,5,,,76,6,30,8,,,,,21,13,14,2,,,1311,1,,,,,,,,,,,,,187,6,,,,,158,5,,,,,129,7,24,2,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,,,1072,9
2093,26196,9,,,,,,,,,,,62,13,,,,,,,14,6,,,,,,,,,,,35,12,,,,,15,6,5,4,,,,,,,27,17,4,2,,,,,68,21,,,,,52,16,1151,25,,,,,,,,,10955,9,8,13,1315,16,,,,,54,15,92,24,,,843,17,,,,,,,,,9,2,,,,,,,5,2,,,112,20,17,7,,,39,14,,,,,63,20,4,6,,,,,129,10,,,,,,,,,522,17,3831,1,,,8,3,4,6,,,,,,,162,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,7,,,,,,,,,,,,,288,19,,,36,24,,,,,,,,,,,,,,,,,,,,,289,20,,,,,429,11,,,,,,,1422,12,,,,,3,2,,,,,,,,,,,,,,,48,11,16,11,,,,,,,20,1,,,146,14,,,8,2,,,,,,,,,282,5,,,,,54,14,,,,,62,13,,,,,,,,,563,3,,,,,,,,,,,5,7,,,,,,,,,3,2,2884,2
2162,22664,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,11,30,,,,,,,149,12,,,,,29,26,1174,24,,,,,,,,,9849,10,,,639,24,,,,,,,157,16,,,1198,14,,,,,6,3,,,,,,,,,,,,,,,23,42,,,,,,,,,,,167,10,,,,,,,8,19,,,,,,,6,6,547,15,5,113,,,,,,,11,4,,,,,111,8,,,,,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,49,5,12,,,,,,,,,,,,,,,,,,,,,,,444,14,,,,,165,24,,,,,20,10,4945,4,,,,,,,,,,,,,,,,,6,8,,,,,6,16,,,,,24,12,,,,,85,24,,,,,,,,,,,,,,,,,,,50,16,,,,,139,6,,,,,,,,,26,16,,,,,,,,,,,,,,,,,,,,,,,2565,4
