bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,113827,1,148,1,32,1,38,1,29,1,28,1,2854,1,37,1,29,1,33,1,455,1,25,1,44,1,24,1,,,41,1,626,1,85,1,285,1,468,1,27,1,72,1,348,1,23,1,324,1,23,1,28,1,64,1,1027,1,24,1,71,1,447,1,5675,2,25,1,30,1,538,3,21,1,30032,1,55,1,12085,1,500,1,90,1,440,2,1092,4,39,1,3922,2,,,23,1,34,1,33,1,21,1,37,1,42,1,136,1,26,1,,,1601,1,3088,1,234,1,444,2,22,1,22,1,1140,2,309,1,,,34,1,2819,1,25,1,30,1,40,1,99,1,3762,2,2585,4,38,1,42,1,39,2,564,1,652,1,124,1,473,2,23,1,,,65,1,76,1,35,1,21,1,35,1,23,1,380,1,265,1,24,1,31,1,37,2,97,1,179,1,183,1,1610,1,133,3,22,1,38,1,32,1,31,1,33,1,18,1,1205,4,33,1,517,2,26,1,,,20,1,29,1,26,1,19,1,22,1,42,1,,,23,1,3387,2,23,1,32,1,4048,2,26,1,30,1,769,1,6168,2,28,1,28,1,37,1,23,1,21,1,39,1,31,1,18,1,155,3,104,1,348,1,274,1,,,318,1,322,3,,,26,2,1059,1,46,2,,,249,1,,,1261,1,2,1,522,3,37,1,166,1,460,2,38,1,,,674,1,85,1,362,1,35,1,28,1,3690,1,,,21,1,,,26,1,,,42,1,27,1,38,1,34,1,31,1,,,2445,4
2223,58114,2,,,,,,,,,,,773,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,5,,,,,,,884,2,,,,,165,5,2013,13,,,,,,,,,13867,4,,,4851,2,,,,,370,3,1629,1,,,4074,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,3,,,,,263,8,,,,,,,,,5091,1,1660,8,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,261,2,,,,,,,,,,,12,5,,,,,152,2,,,,,,,,,,,,,832,8,,,727,1,,,,,,,,,,,,,,,,,,,,,3730,1,,,,,6976,1,,,,,,,2654,7,,,,,,,,,,,,,,,,,,,4,6,,,176,2,,,,,74,7,,,,,239,11,,,,,,,,,,,,,603,2,,,,,2893,1,,,,,423,3,,,,,,,,,969,2,,,,,,,,,,,4,10,,,,,,,,,,,1605,7
1406,56737,3,54,2,,,,,,,,,10,20,,,,,25,3,70,3,,,,,,,,,,,384,3,,,,,,,,,,,,,,,91,3,,,,,,,410,5,,,17,3,223,4,4391,5,,,,,675,2,,,21773,2,19,4,3600,3,65,5,27,2,103,6,1118,3,,,3184,4,43,1,,,,,19,2,,,,,,,,,,,,,716,4,,,,,582,1,,,,,230,11,35,4,,,14,2,1825,2,,,,,,,25,2,2179,3,2659,2,,,31,2,21,3,,,,,,,,,,,,,,,20,2,,,,,,,,,155,4,52,6,,,,,,,,,,,,,,,97,4,,,,,,,,,,,,,2015,1,15,5,346,3,,,,,,,,,,,,,,,,,,,,,787,8,,,,,879,6,,,,,224,5,4690,3,,,,,,,,,,,20,2,18,2,,,510,1,,,56,11,70,6,,,,,257,4,,,,,530,3,,,,,,,,,,,,,,,,,,,91,7,,,,,241,5,16,3,,,,,,,130,9,,,,,,,20,3,,,13,4,,,,,,,19,2,,,848,10
10816,38059,4,,,,,,,,,,,332,6,,,,,27,2,,,,,,,22,2,,,23,2,127,9,,,,,,,,,,,31,2,,,49,13,,,,,,,365,6,,,,,162,7,3409,7,,,,,78,8,,,10868,8,,,2904,4,70,4,,,152,5,328,7,,,2352,5,,,,,,,,,,,,,,,,,,,,,354,6,82,6,,,170,7,,,,,737,4,,,,,,,392,5,,,,,,,,,2028,5,1934,6,,,,,,,,,,,29,2,233,5,,,,,,,,,,,,,,,,,,,82,3,,,,,,,,,,,,,,,,,,,,,,,,,33,2,,,719,13,22,2,242,4,,,30,1,,,,,,,,,,,,,,,,,1313,4,,,,,1263,3,,,,,175,7,3290,6,,,,,,,,,,,,,,,,,28,6,,,113,5,,,,,,,82,6,,,,,527,4,,,,,,,,,28,3,,,,,,,24,2,104,6,,,,,134,7,,,,,,,,,376,7,,,,,,,23,2,,,29,3,,,,,,,,,,,2164,5
2397,34282,5,10,4,12,2,,,7,2,,,949,2,,,,,8,5,140,2,,,8,3,,,,,9,5,405,2,,,,,18,5,,,44,2,25,3,,,74,6,,,12,2,9,2,297,8,,,16,4,373,2,6208,1,,,,,334,4,,,11135,7,13,8,1803,8,44,8,11,8,494,1,234,14,,,1629,10,,,,,8,2,,,,,,,23,2,,,,,,,717,3,,,5,2,158,9,,,,,455,7,70,2,,,6,3,76,11,,,,,12,3,20,3,991,12,1637,9,,,,,,,85,2,38,2,,,19,31,10,2,,,,,10,3,,,,,7,3,9,3,67,6,51,7,,,,,,,61,2,8,6,,,,,21,8,,,,,,,,,,,,,466,15,12,8,211,6,,,,,,,6,4,,,,,,,6,3,,,,,688,11,6,2,,,664,7,,,,,,,1621,10,,,,,,,,,,,10,4,,,,,44,4,,,79,10,48,7,,,,,130,5,,,,,340,6,19,3,,,22,5,,,,,,,66,7,,,14,4,185,4,,,,,105,9,15,4,,,,,9,2,67,12,22,1,,,,,7,4,,,8,7,,,,,,,12,3,,,515,16
2093,28252,6,,,,,,,,,,,47,15,,,,,,,19,5,,,,,,,,,,,41,12,,,,,11,6,8,3,,,,,,,35,20,15,2,,,,,87,21,,,,,54,19,1471,20,,,,,,,,,11557,6,10,13,1246,16,,,,,16,15,105,28,,,921,19,,,,,,,,,19,2,,,,,,,17,2,,,90,19,20,7,,,41,13,,,,,92,23,14,6,,,,,144,10,,,,,,,,,691,19,4151,1,,,22,3,11,4,,,,,,,183,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,7,,,,,,,,,,,,,314,22,,,55,18,,,,,,,,,,,,,,,,,,,,,359,20,,,,,492,12,,,,,,,1532,11,,,,,8,2,,,,,,,,,,,,,,,46,12,18,13,,,,,,,20,1,,,329,7,,,6,2,,,,,,,,,331,5,,,,,35,15,,,,,70,15,,,,,,,,,615,4,,,,,,,,,,,36,2,,,,,,,,,12,1,2799,2
2181,25122,7,,,,,,,,,,,,,,,,,,,,,,,22,2,,,,,,,329,4,,,,,,,,,,,,,,,44,16,,,,,,,140,16,,,,,161,8,2006,14,,,,,267,5,,,7479,15,17,6,2157,6,117,2,12,6,,,191,17,,,1506,11,,,,,,,,,,,,,,,,,,,,,247,8,,,,,102,10,,,,,219,12,,,,,,,378,6,,,,,,,6,8,1117,11,951,13,,,,,,,47,3,,,,,31,20,,,,,,,,,,,,,,,14,2,52,8,71,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,11,19,3,168,7,,,,,,,,,,,,,,,,,,,,,1275,6,,,,,313,19,,,,,200,6,2088,8,,,,,,,,,,,18,3,,,,,38,5,,,94,9,30,9,,,,,33,11,20,2,,,707,2,,,,,,,,,,,,,232,6,,,,,113,5,,,,,143,6,19,2,,,,,,,,,,,,,,,,,,,11,5,,,,,,,,,,,1136,9
463,25072,8,,,11,3,,,,,,,,,,,,,,,12,6,,,,,,,,,,,31,13,,,,,,,,,13,4,,,,,44,15,,,,,,,230,9,,,,,75,15,2356,12,,,,,,,,,11735,5,10,12,1161,18,34,13,11,7,10,20,157,23,,,1261,15,,,,,,,,,,,,,,,,,,,,,114,14,,,,,40,14,,,,,103,20,,,,,,,40,13,,,,,,,,,865,16,2420,5,,,,,,,,,,,,,68,12,,,,,,,8,5,,,,,,,,,39,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,19,12,7,56,17,,,,,,,,,,,,,,,,,,,,,370,19,,,,,933,5,,,,,,,1301,12,,,,,,,,,,,,,,,,,,,,,,,28,10,,,,,22,12,,,,,121,20,,,,,,,,,,,,,62,9,,,,,46,13,,,,,68,16,,,,,,,,,36,14,,,,,,,,,,,,,,,,,,,,,,,804,12
13,21544,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,14,,,,,,,122,17,,,3,9,53,20,1785,15,,,,,45,10,,,9699,9,4,28,2011,7,,,6,9,,,60,39,5,2,1120,18,,,,,,,,,,,8,4,,,,,,,,,843,2,,,,,,,,,,,235,10,,,6,1,,,,,,,,,,,,,413,30,1852,7,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,28,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,12,13,6,65,16,,,,,,,,,,,,,,,,,,,,,245,25,,,,,532,10,,,,,46,9,743,18,,,,,,,,,,,,,,,,,,,,,23,14,33,8,,,,,71,8,,,,,249,9,,,,,,,,,,,,,,,,,,,18,22,,,,,,,,,,,,,,,22,18,,,,,,,,,,,,,,,,,,,,,,,352,22
2425,20546,10,,,,,,,,,,,99,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,35,21,,,,,,,211,10,,,,,162,6,1579,19,,,,,,,,,4942,20,6,19,1598,12,,,3,16,31,9,233,15,,,1327,13,,,,,,,,,,,,,,,,,,,,,109,15,,,,,,,,,,,471,6,,,,,,,,,,,,,,,,,1435,7,624,16,,,,,,,,,,,,,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,25,,,,,,,,,,,,,,,,,,,,,,,,,1184,7,,,,,949,4,,,,,294,2,4081,5,,,,,,,,,,,,,,,,,,,,,110,6,,,,,,,,,,,,,174,16,,,,,13,8,,,,,,,,,,,,,,,,,,,377,4,,,,,,,,,25,17,,,,,,,,,,,,,,,,,,,,,,,151,32
