bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,as,as_rank,ast,ast_rank,avk,avk_rank,awa,awa_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,diq,diq_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fj,fj_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gcr,gcr_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,kw,kw_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,ti,ti_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,138529,1,103,1,24,1,18,1,11,1,23,1,3281,1,16,1,24,1,24,1,26,1,4,1,17,1,373,1,28,1,25,1,24,1,,,29,1,488,1,130,1,124,1,488,1,15,1,22,1,292,1,20,1,270,1,24,1,14,1,29,1,1165,1,12,1,22,1,441,1,6898,1,12,1,14,1,15,1,636,1,12,1,37231,1,51,1,17082,1,964,1,53,1,4539,1,1788,1,13,1,24,1,5715,1,,,16,1,22,1,26,1,16,1,12,1,23,1,125,1,115,1,13,1,,,2072,1,1053,1,65,1,452,1,17,1,11,1,1515,1,224,1,,,17,1,1739,2,21,1,15,1,26,1,113,1,5490,1,3441,2,16,1,24,1,20,2,625,1,1158,1,104,1,312,2,27,1,9,1,195,1,51,1,17,1,19,1,14,1,16,1,312,1,200,1,13,1,16,1,28,1,69,1,258,1,126,1,779,1,1274,1,15,1,91,1,14,1,19,1,18,1,11,1,1358,5,30,2,481,1,12,1,,,12,1,21,2,12,1,20,1,18,1,20,1,,,19,1,5199,1,12,1,23,1,4436,2,17,1,19,1,748,1,7608,1,15,1,14,1,22,1,10,1,13,1,24,1,22,1,10,1,192,3,98,1,410,1,303,1,,,260,1,389,2,,,9,3,1088,2,34,3,,,180,1,,,184,1,16,1,577,2,16,1,71,1,171,1,1744,1,22,1,,,409,2,74,1,183,1,23,1,19,1,2707,1,,,25,1,,,20,1,,,21,1,14,1,16,1,25,1,12,2,,,3880,1
2223,69330,2,,,,,,,,,,,1113,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,13,,,,,,,977,2,,,,,179,5,2513,14,,,,,,,,,,,20553,2,,,5553,2,,,,,2715,3,1780,2,,,,,4129,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,2,,,,,494,5,,,,,,,,,3687,2,2470,4,,,,,7,6,,,,,,,89,9,,,,,,,,,,,,,,,,,123,3,,,,,,,,,,,22,5,,,,,181,3,,,,,,,,,,,,,1222,7,,,444,2,,,,,,,,,,,,,,,,,,,,,4168,2,,,,,7803,1,,,,,,,2728,8,,,,,,,,,,,,,,,,,,,18,3,,,200,2,,,14,2,72,8,,,,,241,11,,,,,,,,,,,,,837,1,,,,,,,1301,2,,,,,370,3,,,,,,,,,1477,2,,,,,,,,,,,5,9,,,,,,,,,,,1729,7
1406,51770,3,23,2,,,,,,,,,567,4,,,,,,,18,3,,,,,62,3,,,,,,,,,,,209,5,,,,,,,,,,,,,,,54,7,,,,,,,252,9,,,12,2,191,4,3948,6,,,,,,,385,3,,,19808,3,10,7,2961,4,45,6,6,10,453,5,947,3,,,,,4168,3,24,1,,,,,11,2,,,,,,,,,,,,,,,760,5,,,,,366,3,,,,,235,10,53,4,,,10,3,2125,1,,,,,,,9,7,1473,7,2074,6,,,10,3,9,4,,,,,,,73,11,,,,,39,2,5,8,,,,,,,,,54,6,16,9,,,,,,,,,,,,,,,80,6,,,,,,,,,,,,,2288,1,9,11,322,3,,,,,,,47,1,,,,,,,,,,,,,623,12,,,,,648,9,,,,,105,7,3032,7,,,,,,,,,,,6,4,14,2,,,477,1,,,53,11,51,8,,,,,173,4,,,,,642,3,,,,,,,,,,,,,,,,,,,,,153,11,,,,,120,9,7,4,,,,,,,284,8,,,,,,,5,4,,,6,7,,,,,,,8,3,,,1152,9
10816,42013,4,,,,,,,,,,,304,8,,,,,,,19,2,,,,,,,,,,,20,2,,,26,2,119,8,,,,,,,,,,,23,3,,,51,9,,,,,,,291,6,,,,,159,7,3316,8,,,,,,,83,9,,,11436,7,,,3216,3,56,5,,,356,6,259,7,,,,,1820,10,,,,,,,,,,,,,,,,,,,,,,,462,6,35,6,,,172,6,,,,,365,5,,,,,,,514,4,,,,,,,,,1684,5,1788,8,,,,,,,,,,,13,2,137,7,,,,,,,,,,,,,,,,,,,77,3,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,702,13,12,8,160,5,,,18,1,,,,,,,,,,,,,,,,,1514,4,,,,,1928,3,,,,,132,6,7493,2,,,,,,,,,,,,,,,,,22,6,,,67,9,,,,,,,81,7,,,,,352,6,,,,,,,,,,,,,,,,,,,17,2,188,7,,,,,160,5,,,,,,,,,309,7,,,,,,,10,2,,,13,2,,,,,,,,,,,2019,5
2397,40606,5,19,3,7,3,,,9,2,,,1152,2,,,,,,,10,5,,,,,163,2,,,8,3,,,,,12,3,275,2,,,,,14,6,,,12,2,23,2,,,48,11,,,14,2,11,2,289,7,,,7,7,402,2,4619,2,,,,,,,381,4,,,14853,4,16,3,2444,7,33,7,11,4,2800,2,207,13,,,,,2573,5,,,,,12,3,,,,,,,,,17,2,,,,,,,963,2,,,8,2,147,8,,,,,277,7,65,3,,,12,2,35,12,,,,,7,2,28,2,1077,9,1427,10,,,,,,,71,2,27,2,,,36,21,17,2,,,,,13,2,,,,,8,2,7,3,57,5,54,5,,,,,,,67,2,9,7,,,,,14,9,,,,,,,,,,,,,620,14,15,7,189,4,,,,,,,10,3,,,,,,,6,2,,,,,665,10,7,2,,,591,11,,,,,,,1645,11,,,,,,,,,,,7,3,,,,,37,4,,,57,10,69,6,,,,,131,6,,,,,434,5,13,4,,,26,4,,,,,,,65,8,,,,,13,4,363,5,,,,,121,8,23,2,,,,,11,2,100,11,14,1,,,,,7,3,,,10,5,,,,,,,14,1,,,476,17
2093,32621,6,,,,,,,,,,,55,18,,,,,,,,,,,,,15,4,,,,,,,,,,,40,11,,,,,16,5,10,2,,,,,,,49,10,9,2,,,,,124,21,,,,,63,18,1185,30,,,,,,,,,,,14453,5,10,8,1421,17,,,,,55,15,144,26,,,,,1129,17,,,,,,,,,4,2,,,,,,,,,10,2,,,103,22,18,7,,,63,12,,,,,101,21,7,9,,,,,126,10,,,,,,,,,627,18,4961,1,,,17,2,11,3,,,7,3,,,158,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,7,,,,,,,,,,,,,413,22,,,52,19,,,,,,,,,,,,,,,,,,,,,514,14,,,,,685,8,,,,,,,1250,13,,,,,10,2,,,,,,,,,,,,,,,41,12,17,15,,,,,,,9,2,,,198,14,,,10,2,,,,,,,,,342,4,,,,,,,78,13,,,,,62,15,,,,,,,,,465,4,,,,,,,,,,,11,4,,,,,,,,,5,1,3396,2
2162,28708,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,16,29,,,,,,,251,10,,,,,64,16,1947,17,,,,,,,,,,,14442,6,,,1287,20,,,,,,,182,20,,,,,1079,21,,,,,3,6,,,,,,,,,,,,,,,,,21,48,,,,,,,,,,,212,11,,,,,,,9,18,,,,,,,7,9,620,19,248,30,,,,,,,5,4,,,,,47,17,,,,,,,,,,,,,,,,,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,42,6,12,,,,,,,,,,,,,,,,,,,,,,,672,9,,,,,303,18,,,,,15,12,4517,5,,,,,,,,,,,,,,,,,5,10,,,,,5,18,,,,,18,17,,,,,136,18,,,,,,,,,,,,,,,,,,,,,65,16,,,,,146,6,,,,,,,,,274,9,,,,,,,,,,,,,,,,,,,,,,,1933,6
2425,23380,8,,,,,,,,,,,112,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,46,12,,,,,,,280,8,,,,,142,8,1704,22,,,,,,,,,,,5718,23,6,20,2661,5,,,4,14,132,9,236,10,,,,,1690,11,,,,,10,4,,,,,,,,,,,,,,,,,163,12,,,,,,,,,,,265,8,19,7,,,,,,,,,,,,,,,1070,10,544,20,,,,,,,,,,,,,8,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,23,,,,,,,,,,,,,,,,,,,,,,,,,1303,5,,,,,1170,5,,,,,223,3,4505,6,,,,,,,,,,,,,,,,,,,,,106,6,,,,,,,,,,,,,246,10,,,,,4,8,,,,,,,,,,,,,,,,,,,,,362,4,,,,,,,,,31,17,,,,,,,,,,,,,,,,,,,,,,,202,28
2181,23194,9,,,,,,,,,,,116,11,,,,,,,,,,,,,,,,,10,2,,,,,,,251,4,,,,,,,,,,,,,,,56,5,,,,,,,186,16,,,,,282,3,1767,20,,,,,,,248,5,,,6410,19,9,11,1590,13,155,2,13,2,,,204,15,,,,,1195,15,,,,,,,,,,,,,,,,,,,,,,,229,9,,,,,74,11,,,,,241,9,,,,,,,342,8,,,,,,,17,3,724,16,835,13,,,,,,,57,3,,,,,22,37,,,,,,,,,,,,,,,9,2,42,8,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553,17,17,5,155,6,,,,,,,,,,,,,,,,,,,,,1218,6,,,,,399,14,,,,,151,5,2138,9,,,,,,,,,,,9,2,,,,,32,5,,,123,4,35,9,,,,,30,14,15,1,,,1485,1,,,,,,,,,,,,,131,6,,,,,,,250,6,,,,,142,7,21,3,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,1162,8
463,22228,10,15,4,7,2,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,24,15,,,,,,,,,10,3,,,,,41,16,,,,,,,208,15,,,,,80,13,1855,19,,,,,,,,,,,10099,9,8,12,1337,19,20,12,7,6,14,20,121,28,,,,,1082,20,,,,,,,,,,,,,,,,,,,,,,,129,16,,,,,27,14,,,,,76,23,,,,,,,57,11,,,,,,,,,899,13,1797,7,,,,,,,,,,,,,67,12,,,,,,,6,6,,,,,,,,,23,11,,,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,338,29,9,10,53,18,,,,,,,,,,,,,,,,,,,,,360,18,,,,,1190,4,,,,,,,1074,14,,,,,,,,,,,,,,,,,,,,,,,32,10,,,,,20,15,,,,,178,15,,,,,,,,,,,,,51,9,,,,,,,38,21,,,,,87,11,,,,,,,,,27,18,,,,,,,,,,,,,,,,,,,,,,,747,13
