bgg_id,page_views,rank,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
171,111738,1,104,1,48,1,30,1,31,1,31,1,2669,1,16,1,34,1,28,1,362,1,25,1,30,1,,,50,1,386,2,44,1,124,1,339,1,25,1,45,1,221,1,30,1,232,1,37,1,26,1,29,1,622,1,31,1,51,1,515,2,5095,2,23,1,20,1,617,1,,,31419,1,75,1,16186,1,434,1,81,1,1669,2,1071,1,39,1,3723,1,,,31,1,38,1,30,1,25,1,32,1,63,1,150,1,21,1,1283,4,2181,1,34,1,393,1,30,1,26,1,811,1,259,1,35,1,1946,1,33,1,36,1,34,1,83,1,3112,2,3106,2,32,1,39,1,36,2,453,1,492,1,71,1,405,3,38,1,44,1,58,1,33,1,37,1,23,1,275,2,180,1,33,1,,,90,1,90,1,112,1,1131,1,217,2,32,1,25,1,38,1,32,1,28,1,23,1,1185,3,43,1,451,1,,,23,1,39,1,28,1,26,1,27,1,31,1,,,30,1,2066,1,26,1,30,1,4865,1,27,1,866,1,8453,2,28,1,27,1,21,1,41,1,31,1,24,1,130,3,76,1,318,1,176,1,,,207,1,342,2,,,52,3,1039,2,39,1,,,248,1,,,101,1,526,1,34,1,210,1,425,1,37,1,,,344,2,65,1,118,1,25,1,34,1,1685,1,,,27,1,,,30,1,,,33,1,31,1,38,1,22,1,30,1,,,2382,3
10816,40425,2,,,,,,,,,,,474,3,,,,,,,,,,,4,2,,,7,4,130,7,,,,,,,,,,,13,3,,,24,13,,,,,,,177,8,,,,,165,5,2727,7,,,,,34,10,,,17366,2,,,3183,3,51,4,,,396,5,352,5,,,1831,5,,,,,,,,,,,,,,,,,,,463,7,33,6,,,100,9,,,,,219,5,,,,,198,7,,,,,,,,,2239,4,2471,3,,,,,,,,,,,5,3,178,5,,,,,,,,,,,,,,,33,5,,,,,,,,,,,,,,,,,,,,,,,4,2,,,791,7,6,10,178,5,4,1,,,,,,,,,,,,,,,,,912,4,,,,,677,9,,,112,5,3861,4,,,,,,,,,,,,,58,4,,,47,8,,,,,,,,,,,,,504,3,,,,,,,,,10,3,,,,,5,4,81,7,,,,,130,4,,,,,,,,,150,5,,,,,,,4,4,,,,,,,,,,,,,,,18,118
1406,39560,3,31,2,,,,,,,,,26,16,,,,,,,,,,,,,,,,,174,3,,,,,,,,,,,,,,,102,2,,,,,,,123,12,,,12,2,245,3,2600,8,,,,,386,4,,,17191,3,13,4,2387,5,24,8,9,4,384,6,518,4,,,1883,4,37,1,,,,,4,3,,,,,,,,,,,1523,2,,,,,246,3,,,,,129,12,17,3,4,3,1555,2,,,,,,,9,5,1200,5,1967,6,,,15,2,7,3,,,,,,,,,,,,,10,2,,,,,,,41,6,,,,,,,,,,,,,,,50,5,,,,,,,,,,,,,1344,1,10,6,211,4,,,,,,,,,,,,,,,,,,,472,10,,,,,369,11,,,84,7,1716,9,,,,,,,10,2,15,2,,,250,1,,,32,11,28,9,,,,,295,3,,,,,468,4,,,,,,,,,,,,,,,,,63,8,,,,,73,10,,,,,,,,,128,6,,,,,,,5,3,,,,,,,,,,,8,2,,,1057,7
2223,36951,4,,,,,,,,,,,435,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,25,,,,,,,468,3,,,,,,,1228,18,,,,,,,,,10050,10,,,2755,4,,,,,1532,3,812,2,,,1827,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,,,147,10,,,,,,,,,3899,1,1650,8,,,,,4,5,,,,,,,,,,,,,,,,,,,,,317,1,,,,,,,,,7,3,,,,,60,4,,,,,,,,,,,,,384,14,,,417,2,,,,,,,,,,,,,,,,,,,2042,2,,,,,4016,2,,,,,1752,8,,,,,,,,,,,,,,,18,2,,,92,2,,,,,48,6,,,,,127,16,,,,,,,,,,,184,4,,,,,236,3,,,,,284,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128,4
2397,35500,5,13,3,10,2,,,5,2,,,670,2,,,,,19,2,86,2,8,2,,,,,8,3,491,1,,,,,13,4,,,23,2,32,2,,,65,4,,,8,2,12,2,255,6,,,6,4,523,1,3494,5,,,,,333,5,,,13670,5,9,7,1939,8,27,7,17,2,2637,1,271,7,,,1468,7,,,,,7,2,,,,,,,10,2,,,,,1070,5,,,5,2,144,5,,,,,277,3,25,2,7,2,177,9,,,,,11,2,13,3,809,8,1456,10,,,,,,,58,2,12,2,,,34,23,8,2,,,5,7,,,,,5,3,57,5,25,6,,,,,19,2,4,7,,,,,8,9,,,,,,,,,,,,,389,13,14,5,298,3,,,,,7,2,,,,,,,7,2,,,,,619,8,5,2,,,861,4,,,,,1327,12,,,,,,,6,3,,,,,52,5,,,72,4,46,8,,,,,121,4,,,,,403,5,19,2,,,19,4,,,,,47,7,,,9,3,253,2,,,,,,,7,3,,,,,6,2,85,7,8,1,,,,,9,2,,,,,,,,,,,4,3,,,449,13
29351,29220,6,,,,,,,,,,,,,,,,,,,,,,,,,,,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418,10,,,,,,,,,4269,22,,,117,58,165,2,,,,,87,24,,,97,90,,,,,,,,,,,,,,,,,,,606,6,,,,,,,,,,,23,34,7,5,,,,,,,,,,,,,,,122,47,,,,,,,,,,,,,,,,,,,,,,,,,,,267,3,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,63,52,,,,,,,,,,,,,,,,,,,,,,,388,15,,,,,,,,,,,18799,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,33,,,,,,,,,,,,,,,,,,,,,,,1285,1,,,,,,,,,318,4,,,,,,,,,,,,,,,,,,,,,,,,
2093,24301,7,,,,,,,,,,,42,12,,,,,,,10,3,,,,,,,,,16,15,,,,,6,5,3,2,,,,,,,30,11,9,2,,,,,153,11,,,,,41,18,851,26,,,,,,,,,10455,9,7,11,1135,16,,,,,31,15,61,31,,,777,16,,,,,,,,,11,2,,,,,,,13,2,81,21,12,7,,,37,12,,,,,72,22,4,6,,,115,11,,,,,,,,,523,18,3462,1,,,15,3,,,,,,,,,153,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3,,,,,,,,,,,,,228,19,,,47,17,,,,,,,,,,,,,,,,,,,203,23,,,,,350,13,,,,,1562,10,,,,,12,2,,,,,,,,,,,28,12,8,15,,,,,,,12,1,,,155,12,,,7,2,,,,,,,234,2,,,,,28,20,,,,,27,18,,,,,,,,,385,3,,,,,,,,,,,14,2,,,,,,,,,7,1,2809,2
2162,22630,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,16,23,,,,,,,160,9,,,,,13,33,1640,14,,,,,,,,,10669,8,,,1,138,,,,,,,163,12,,,1043,12,,,,,3,3,,,,,,,,,,,,,35,35,,,,,,,,,,,272,4,,,,,,,,,,,,,6,6,593,15,3,107,,,,,,,4,4,,,,,56,12,,,,,,,,,,,,,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,31,4,14,,,,,,,,,,,,,,,,,,,,,682,7,,,,,247,18,,,14,11,5947,3,,,,,,,,,,,,,7,9,,,,,9,13,,,,,,,,,,,103,18,,,,,,,,,,,,,,,,,30,17,,,,,75,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,11
2181,21958,9,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,161,4,,,,,,,,,,,,,,,31,10,,,,,,,154,10,,,,,193,4,1443,15,,,,,577,2,,,6616,15,12,5,1059,17,58,3,13,3,,,226,8,,,1417,9,,,,,,,,,,,,,,,,,,,273,10,,,,,72,10,,,,,215,6,,,,,428,5,,,,,,,13,2,58,86,963,14,,,,,,,30,3,,,,,38,21,,,,,,,,,,,6,2,36,7,34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,777,8,17,2,158,6,,,,,,,,,,,,,,,,,,,1255,3,,,,,256,17,,,112,4,1896,7,,,,,,,5,4,,,,,28,7,,,54,6,46,7,,,,,,,6,2,,,1075,1,,,,,,,,,,,149,5,,,,,104,5,,,,,90,7,62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1735,6
463,21262,10,,,6,3,,,,,,,,,,,,,,,7,4,,,,,,,,,19,14,,,,,,,,,7,3,,,,,14,26,,,,,,,259,5,,,,,60,14,1743,12,,,,,,,,,10942,7,6,14,,,11,14,5,9,18,17,170,11,,,825,15,,,,,,,,,,,,,,,,,,,82,20,,,,,24,14,,,,,129,11,,,,,59,12,,,,,,,,,849,7,1738,7,,,,,,,,,,,,,46,15,,,,,5,6,,,,,,,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,15,6,9,42,21,,,,,,,,,,,,,,,,,,,392,14,,,,,794,5,,,,,1550,11,,,,,,,,,,,,,,,,,,,22,10,,,,,19,9,,,,,127,15,,,,,,,,,,,42,8,,,,,20,23,,,,,54,11,,,,,,,,,21,11,,,,,,,,,,,,,,,,,,,,,,,792,9
